# Words with one root. Used by RussianWordRootRepeatRule.
# This file must be encoded in UTF-8.
# Imported from /Dicts/SrcBinDict/troiki_suff.txt seman.sf.net (AOT), LGPL v2.1
абажур;абажурный
нозография;нозографический
нозология;нозологический
номенклатура;номенклатурный
номер;номерной
номинал;номинальный
номинальность;номинальный
номинатив;номинативный
номография;номографический
нониус;нониусный
нонконформист;нонконформистский
но;ноский
нонпарель;нонпарельный
нора;норный
нормаль;нормальный
нормальность;нормальный
норманн;норманнский
норматив;нормативный
нормативность;нормативный
нормотворчество;нормотворческий
норовистость;норовистый
Норфолк;норфолкский
носкость;ноский
носок;носочный
ностальгия;ностальгический
нота;нотный
ноторность;ноторный
ночлег;ночлежный
ночь;ночной
ноябрь;ноябрьский
нрав;нравный
нравоучительность;нравоучительный
нравственность;нравственный
Нуакшот;нуакшотский
нуда;нудный
нудность;нудный
нудь;нудный
нужность;нужный
нуклеотид;нуклеотидный
нуклон;нуклонный
нут;нутация
Нью-Гемпшир;нью-гемпширский
Нью-Йорк;нью-йоркский
ньюфаундленд;ньюфаундлендский
нэпман;нэпманский
Нюрнберг;нюрнбергский
Нямунас;нямунасский
оазис;оазисный
обалделость;обалделый
обаятельность;обаятельный
обвал;обвальный
обветренность;обветренный
обветшалость;обветшалый
обвинитель;обвинительный
обвислость;обвислый
обвод;обводной
обвод;обводный
обворожительность;обворожительный
обгон;обгонный
обдир;обдирный
обдуманность;обдуманный
обездоленность;обездоленный
обезличенность;обезличенный
обезьянник;обезьянничество
обер-офицер;обер-офицерский
обеспеченность;обеспеченный
обеспокоенность;обеспокоенный
обжигала;обжигальный
обжим;обжимной
обжим;обжимный
обжора;обжорный
обжорливость;обжорливый
обзол;обзольный
обзорность;обзорный
обзор;обзорный
обида;обидный
обидчивость;обидчивый
обиженность;обиженный
обитаемость;обитаемый
обитель;обительский
обиходность;обиходный
обиход;обиходный
обкат;обкатной
обкат;обкатный
облава;облавный
областник;областнический
областник;областничество
областничество;областнический
область;областной
облачность;облачный
облегченность;облегченный
обледенелость;обледенелый
облик;облический
обличитель;обличительный
обломок;обломочный
облупленность;облупленный
обман;обманный
обманчивость;обманчивый
обмен;обменный
обмер;обмерный
обморок;обморочный
обнаженность;обнаженный
обновитель;обновительный
обновитель;обновительский
обновленчество;обновленческий
об;обский
обобщенность;обобщенный
обогатитель;обогатительный
обогреватель;обогревательный
обод;ободный
ободок;ободочный
обоз;обозный
обольстительность;обольстительный
обольститель;обольстительный
оборванность;оборванный
оборона;оборонный
обороноспособность;обороноспособный
оборончество;оборонческий
оборотистость;оборотистый
оборотливость;оборотливый
оборотность;оборотный
оборот;оборотный
обоснованность;обоснованный
обособленность;обособленный
обостренность;обостренный
обоюдность;обоюдный
образность;образной
образность;образный
образ;образной
образ;образный
образованность;образованный
образцовость;образцовый
обратимость;обратимый
обрат;обратный
обращенность;обращенный
обрез;обрезной
обрезок;обрезочный
обрезь;обрезной
обременительность;обременительный
обреченность;обреченный
оброк;оброчный
обруб;обрубной
обрубок;обрубочный
обруситель;обрусительный
обруч;обручный
обрывистость;обрывистый
обрывок;обрывочный
обрывочность;обрывочный
обрюзглость;обрюзглый
обрядность;обрядный
обряд;обрядный
обрядовость;обрядовый
обскурантист;обскурантистский
обскурант;обскурантский
обследователь;обследовательский
обстоятельность;обстоятельный
обструкционист;обструкционистский
обструкционность;обструкционный
обтекаемость;обтекаемый
обтуратор;обтураторный
обтюратор;обтюраторный
обувь;обувной
обух;обушный
обходительность;обходительный
обход;обходной
обход;обходный
обшарпанность;обшарпанный
обшив;обшивной
обширность;обширный
обшлаг;обшлажный
общедоступность;общедоступный
общезначимость;общезначимый
общеизвестность;общеизвестный
общеобязательность;общеобязательный
общеполезность;общеполезный
общепонятность;общепонятный
общепризнанность;общепризнанный
общепринятость;общепринятый
общераспространенность;общераспространенный
общерекурсивность;общерекурсивный
общественность;общественный
общеупотребительность;общеупотребительный
община;общинный
общинность;общинный
общительность;общительный
объединитель;объединительный
объезд;объездной
объективист;объективистский
объективность;объективный
объектив;объективация
объектив;объективизация
объектив;объективный
объект;объектный
объемистость;объемистый
объемность;объемный
объем;объемный
обыватель;обывательский
обыденность;обыденный
обыкновенность;обыкновенный
обыск;обыскной
обычность;обычный
обязанность;обязанный
обязательность;обязательный
овал;овальный
овальность;овальный
овердрафт;овердрафтный
оверлей;оверлейный
овин;овинный
овощ;овощной
овраг;овражный
овражистость;овражистый
овчина;овчинный
огарок;огарочный
оглушительность;оглушительный
огнезащита;огнезащитный
огнемет;огнеметный
огнеопасность;огнеопасный
огнепоклонник;огнепоклоннический
огнепоклонник;огнепоклонничество
огнепоклонничество;огнепоклоннический
огнепровод;огнепроводный
огнестойкость;огнестойкий
огнетушитель;огнетушительный
огнеупорность;огнеупорный
огнеупор;огнеупорный
огнецвет;огнецветный
оголтелость;оголтелый
огородник;огороднический
огородник;огородничество
огородничество;огороднический
огород;огородный
ограда;оградный
оградитель;оградительный
ограниченность;ограниченный
ограничитель;ограничительный
огромность;огромный
огрубелость;огрубелый
огузок;огузочный
огульность;огульный
одаренность;одаренный
одежа;одежный
одеколон;одеколонный
одеревенелость;одеревенелый
одержимость;одержимый
одер;одерский
одинаковость;одинаковый
одинокость;одинокий
одиозность;одиозный
одичалость;одичалый
одноатомность;одноатомный
однобокость;однобокий
одновалентность;одновалентный
одновременность;одновременный
однодетность;однодетный
однодомность;однодомный
однозвучность;однозвучный
однозначность;однозначный
одноименность;одноименный
однократность;однократный
однолистность;однолистный
одномерность;одномерный
однообразность;однообразный
одноосность;одноосный
однополость;однополостный
однополость;однополый
однородность;однородный
односвязность;односвязный
односложность;односложный
односторонность;односторонний
однотипность;однотипный
однотонность;однотонный
одноцветность;одноцветный
одноцвет;одноцветный
одночлен;одночленный
однояйцовость;однояйцовый
одобрительность;одобрительный
одонтология;одонтологический
одурелость;одурелый
одутловатость;одутловатый
одутлость;одутлый
одухотворенность;одухотворенный
одушевленность;одушевленный
ожесточенность;ожесточенный
оживленность;оживленный
озабоченность;озабоченный
озадаченность;озадаченный
озверелость;озверелый
озеленитель;озеленительный
озлобленность;озлобленный
озноб;ознобный
озон;озонизация
озон;озонный
озоностойкость;озоностойкий
ойрот;ойротский
окалина;окалинный
окаменелость;окаменелый
Океания;океанический
океанография;океанографический
океан;океанизация
океан;океанский
океанология;океанологический
окислитель;окислительный
окись;окисный
окказионалист;окказионалистский
окказиональность;окказиональный
оккупант;оккупантский
оккупационность;оккупационный
оклад;окладной
околичность;околичный
околоток;околоточный
окольность;окольный
оконечность;оконечный
окончательность;окончательный
окоп;окопный
окорок;окорочный
окостенелость;окостенелый
окоченелость;окоченелый
окраина;окраинный
окрестность;окрестный
окрест;окрестный
округленность;округленный
округлость;округлый
округ;окружный
окружность;окружной
окружность;окружный
оксид;оксидация
оксид;оксидный
оксиликвит;оксиликвитный
Оксфорд;оксфордский
октава;октавный
октант;октантный
октоплоид;октоплоидный
октябрист;октябристский
октябрь;октябрьский
окуляр;окулярный
Оленек;оленекский
олеография;олеографический
олеофильность;олеофильный
олигархия;олигархический
олигомер;олигомерный
олимпиада;олимпиадный
Оман;оманский
омерзительность;омерзительный
омертвелость;омертвелый
омнибус;омнибусный
омография;омографический
омоморф;омоморфный
ом;омский
омонимичность;омонимичный
омонимия;омонимический
омофон;омофонный
омыляемость;омыляемый
Онегин;онегинский
онемелость;онемелый
онкоген;онкогенный
онкология;онкологический
онколь;онкольный
Онтарио;онтариоский
онтология;онтологический
оология;оологический
#о;оный
опала;опальный
опал;опальный
опара;опарный
опасливость;опасливый
опасность;опасный
опекун;опекунский
опекунство;опекунский
операбельность;операбельный
опера;оперный
оперативность;оперативный
оператор;операторный
оператор;операторский
опий;опийный
описательность;описательный
описатель;описательный
опиум;опиумный
оплата;оплатный
оплошность;оплошный
опоек;опоечный
опознаватель;опознавательный
опора;опорный
опор;опорный
опосредствованность;опосредствованный
оппозиционность;оппозиционный
оправданность;оправданный
определенность;определенный
определимость;определимый
определительность;определительный
определитель;определительный
опрелость;опрелый
опреснитель;опреснительный
опричь;опричный
опровержимость;опровержимый
опрометчивость;опрометчивый
опрос;опросный
опрятность;опрятный
оптатив;оптативный
оптик;оптический
оптимальность;оптимальный
оптимистичность;оптимистичный
опт;оптация
оптрон;оптронный
опуск;опускной
опустелость;опустелый
опустошенность;опустошенный
опустошительность;опустошительный
опустошитель;опустошительный
опухлость;опухлый
опцион;опционный
опылитель;опылительный
опытник;опытнический
опытность;опытный
опыт;опытный
оратор;ораторный
оратор;ораторский
ораторство;ораторский
орбиталь;орбитальный
орбита;орбитный
организатор;организаторский
организованность;организованный
органик;органический
органик;органичный
органичность;органичный
органоген;органогенный
органография;органографический
органология;органологический
орган;организация
орган;органный
орден;орденский
ордер;ордерный
ординарность;ординарный
ординар;ординарный
ординатор;ординаторский
ордовик;ордовикский
Орегон;орегонский
Оренбург;оренбургский
ореол;ореольный
оригинал;оригинальный
оригинальность;оригинальный
ориентированность;ориентированный
ориентир;ориентирный
оркестрант;оркестрантский
орлеан;орлеанский
Орлов;орловский
орнамент;орнаментация
орнамент;орнаментный
орнитология;орнитологический
ороговелость;ороговелый
орография;орографический
орометрия;орометрический
ороситель;оросительный
орочон;орочонский
ортогональность;ортогональный
ортодоксальность;ортодоксальный
ортодонтия;ортодонтический
ортодромия;ортодромический
ортопедия;ортопедический
ортопсихиатрия;ортопсихиатрический
ортоскопия;ортоскопический
орфография;орфографический
орфоэпия;орфоэпический
осада;осадный
осадитель;осадительный
осадок;осадочный
осанистость;осанистый
осведомитель;осведомительный
осведомленность;осведомленный
освежитель;освежительный
осветитель;осветительный
осветлитель;осветлительный
освободитель;освободительный
освобожденность;освобожденный
оседлость;оседлый
осетин;осетинский
осетрина;осетринный
осиплость;осиплый
осколок;осколочный
оскомина;оскоминный
оскорбительность;оскорбительный
оскорбитель;оскорбительный
ослабелость;ослабелый
ослепительность;ослепительный
осман;османский
осмотрительность;осмотрительный
осмысленность;осмысленный
основа;основный
основательность;основательный
основатель;основательный
основность;основной
основность;основный
особенность;особенный
осознанность;осознанный
оспопрививатель;оспопрививательный
оспоримость;оспоримый
остаток;остаточный
остгот;остготский
остеография;остеографический
остеология;остеологический
остеопатия;остеопатический
остервенелость;остервенелый
остистость;остистый
остойчивость;остойчивый
осторожность;осторожный
островершинность;островершинный
остров;островной
острог;острожный
остролист;остролистный
остроумность;остроумный
остроум;остроумный
ость;ой
осушитель;осушительный
осуществимость;осуществимый
осциллография;осциллографический
осязаемость;осязаемый
осязательность;осязательный
отава;отавный
отбел;отбельный
отбив;отбивной
отбой;отбойный
отборность;отборный
отбор;отборный
отброс;отбросный
отважность;отважный
отвал;отвальный
отвар;отварной
отвар;отварный
отверделость;отверделый
отверженность;отверженный
отвесность;отвесный
отвес;отвесный
ответвитель;ответвительный
ответ;ответный
ответственность;ответственный
отвислость;отвислый
отвлеченность;отвлеченный
отводок;отводочный
отвод;отводной
отвод;отводный
отворот;отворотный
отвратительность;отвратительный
отглагольность;отглагольный
отгон;отгонный
отгул;отгульный
отдаленность;отдаленный
отделимость;отделимый
отделитель;отделительный
отдел;отдельный
отдельность;отдельный
отдушистость;отдушистый
отек;отеческий
отек;отечество
отек;отечный
отел;отельный
отель;отельный
отеплитель;отеплительный
отечество;отеческий
отечность;отечный
отечь;отечный
отжим;отжимной
отжим;отжимный
отзвук;отзвучный
отзовист;отзовистский
отзол;отзольный
отзыв;отзывной
отзыв;отзывный
отзывчивость;отзывчивый
отказ;отказный
отказоустойчивость;отказоустойчивый
откат;откатный
откол;откольный
отколь;откольный
откормленность;откормленный
откормок;откормочный
откорм;откормный
откос;откосный
откровенность;откровенный
открытость;открытый
откуп;откупной
отлет;отлетный
отлив;отливной
отлив;отливный
отличительность;отличительный
отлогость;отлогий
отмена;отменный
отменность;отменный
относимость;относимый
относительность;относительный
отоларингология;отоларингологический
отология;отологический
отопитель;отопительный
оторопелость;оторопелый
отоскопия;отоскопический
отплата;отплатный
отпор;отпорный
отправитель;отправительский
отпуск;отпускной
отрава;отравный
отравитель;отравительный
отрада;отрадный
отрадность;отрадный
отражатель;отражательный
отрез;отрезной
отрешенность;отрешенный
отрицательность;отрицательный
отрицатель;отрицательный
отрок;отроческий
отрок;отрочество
отрочество;отроческий
отруб;отрубной
отруб;отрубный
отруб;отрубяной
отрывистость;отрывистый
отрывок;отрывочный
отрыв;отрывной
отрывочность;отрывочный
отряд;отрядный
отсадок;отсадочный
отсев;отсевной
отсек;отсечный
отсечь;отсечный
отсос;отсосный
отстав;отставной
отсталость;отсталый
отстой;отстойный
отстраненность;отстраненный
отступник;отступнический
отступник;отступничество
отступничество;отступнический
отступ;отступной
отсчет;отсчетный
оттенок;оттеночный
оттепель;оттепельный
оттоман;оттоманский
отходник;отходничество
отход;отходный
отходчивость;отходчивый
отцеп;отцепной
отцов;отцовский
отцовство;отцовский
отчаянность;отчаянный
отчество;отческий
отчетливость;отчетливый
отчетность;отчетный
отчет;отчетный
отчужденность;отчужденный
отшельник;отшельнический
отшельник;отшельничество
отшельничество;отшельнический
отъем;отъемный
офис;офисный
офицер;офицерский
офицерство;офицерский
официал;официальный
официальность;официальный
официант;официантский
официозность;официозный
официоз;официозный
оформитель;оформительский
оформительство;оформительский
офорт;офортный
офсет;офсетный
офтальмология;офтальмологический
офтальмометрия;офтальмометрический
офтальмоскопия;офтальмоскопический
охват;охватный
охладитель;охладительный
охлократия;охлократический
охота;охотный
охрана;охранный
охранитель;охранительный
охра;охряной
охриплость;охриплый
оцепенелость;оцепенелый
очаг;очажный
очаровательность;очаровательный
очарователь;очаровательный
очевидность;очевидный
очередность;очередной
очередь;очередной
очеркист;очеркистский
очернительство;очернительский
очерствелость;очерствелый
очиститель;очистительный
очковтиратель;очковтирательский
очковтирательство;очковтирательский
очумелость;очумелый
ошалелость;ошалелый
ошеломительность;ошеломительный
ошибкоустойчивость;ошибкоустойчивый
ошибочность;ошибочный
Ош;ошский
ощутимость;ощутимый
ощутительность;ощутительный
павильон;павильонный
Павлов;павловский
Павлодар;павлодарский
паводок;паводочный
пагуба;пагубный
пагубность;пагубный
падеж;падежный
падишах;падишахский
падкость;падкий
паек;паечный
пажить;пажитный
пакгауз;пакгаузный
пакет;пакетный
Пакистан;пакистанский
пакля;пакляный
пакостник;пакостничество
пакость;пакостный
палаван;палаванский
палатальность;палатальный
палата;палатный
палатинат;палатинатный
палачество;палаческий
палеоазиат;палеоазиатский
палеография;палеографический
палеозой;палеозойский
палеонтология;палеонтологический
палеотип;палеотипный
Палех;палехский
палисад;палисадный
паллиатив;паллиативный
паломник;паломнический
паломник;паломничество
паломничество;паломнический
палуба;палубный
пальчатость;пальчатый
Памир;памирский
памфлет;памфлетный
памятливость;памятливый
память;памятный
пандемия;пандемический
Паневежис;паневежисский
панегирик;панегирический
панель;панельный
панибратство;панибратский
паникер;паникерский
паникерство;паникерский
панихида;панихидный
панорама;панорамный
пан;панский
пансион;пансионный
пансион;пансионский
панславист;панславистский
панство;панский
пантограф;пантографный
пантокрин;пантокринный
пантомима;пантомимный
панцирь;панцирный
паперть;папертный
папироса;папиросный
папирус;папирусный
папист;папистский
папство;папский
папуас;папуасский
параболоид;параболоидный
Парагвай;парагвайский
парадность;парадный
парадоксальность;парадоксальный
парад;парадный
паразит;паразитный
паралитик;паралитический
паралич;параличный
параллелограмм;параллелограммный
параллельность;параллельный
параллель;параллельный
параметр;параметризация
параноик;параноический
пара;парный
парапет;парапетный
парапсихология;парапсихологический
парашют;парашютный
Париж;парижский
парикмахер;парикмахерский
паритетность;паритетный
паритет;паритетный
паркет;паркетный
парламентер;парламентерский
парламентерство;парламентерский
парламент;парламентский
парность;парной
парность;парный
паровоз;паровозный
пародийность;пародийный
пародия;пародический
пароизмеритель;пароизмерительный
пароль;парольный
паром;паромный
паронепроницаемость;паронепроницаемый
паронимия;паронимический
паропровод;паропроводный
парораспределитель;парораспределительный
паротурбина;паротурбинный
пароход;пароходный
пар;парной
пар;парный
партер;партерный
партизан;партизанский
партизанство;партизанский
партийность;партийный
партитура;партитурный
партнер;партнерский
партнерство;партнерский
партократия;партократический
парусина;парусинный
парусность;парусный
парус;парусный
парфорс;парфорсный
парфюмер;парфюмерный
парцелла;парцелльный
парцель;парцельный
паршивость;паршивый
пасквиль;пасквильный
пасквилянт;пасквилянтский
пасквилянтство;пасквилянтский
паскуда;паскудный
пасмурность;пасмурный
пас;пасский
паспорт;паспортизация
паспорт;паспортный
пассажир;пассажирский
пассаж;пассажный
пассат;пассатный
пассеист;пассеистский
пассивность;пассивный
пассив;пассивация
пассив;пассивизация
пассив;пассивный
пастель;пастельный
пастила;пастильный
пастообразность;пастообразный
пастораль;пасторальный
пастор;пасторский
пасторство;пасторский
пастушество;пастушеский
пастырство;пастырский
пасьянс;пасьянсный
патентоспособность;патентоспособный
патент;патентный
патетичность;патетичный
патефон;патефонный
патогенность;патогенный
патология;патологический
патофизиология;патофизиологический
патриархальность;патриархальный
патриаршество;патриаршеский
патрилинейность;патрилинейный
патриотичность;патриотичный
патронаж;патронажный
патронимия;патронимический
патрон;патронный
патронташ;патронташный
патруль;патрульный
пауза;паузный
паупер;пауперизация
паутина;паутинный
пафос;пафосный
пафос;пафосский
пахота;пахотный
пахотопригодность;пахотопригодный
пацифист;пацифистский
паштет;паштетный
паюс;паюсный
педагогичность;педагогичный
педагогия;педагогический
педаль;педальный
педантичность;педантичный
педант;педантский
педантство;педантский
педерастия;педерастический
педиатрия;педиатрический
педикюр;педикюрный
педология;педологический
пейзаж;пейзажный
пейзан;пейзанский
пейсмекер;пейсмекерный
пекарь;пекарный
Пекин;пекинский
пектораль;пекторальный
пелагия;пелагический
пеленгатор;пеленгаторный
пеленг;пеленгация
пельмень;пельменный
пенал;пенализация
пена;пенный
Пенджаб;пенджабский
пенистость;пенистый
пенкосниматель;пенкоснимательский
пенкоснимательство;пенкоснимательский
пенобетон;пенобетонный
пеногенератор;пеногенераторный
пенология;пенологический
пеноотделитель;пеноотделительный
пенополистирол;пенополистирольный
пеносиликат;пеносиликатный
пенсионер;пенсионерский
пенсион;пенсионный
пентод;пентодный
пень;пенный
пеньюар;пеньюарный
пепел;пепельный
пепсин;пепсинный
пептид;пептидный
пептон;пептонизация
первичность;первичный
первобытность;первобытный
первозданность;первозданный
первоклассность;первоклассный
первоначальность;первоначальный
первообраз;первообразный
первооснова;первоосновный
первоочередность;первоочередной
первоочередность;первоочередный
первосвятительство;первосвятительский
первосвященник;первосвященнический
первосортность;первосортный
первотел;первотельный
первоцвет;первоцветный
пергамен;пергаменный
пергамент;пергаментный
перебой;перебойный
перебор;переборный
переброс;перебросный
перевал;перевальный
перевар;переварной
перевив;перевивной
перевод;переводной
перевод;переводный
перевоз;перевозный
переворот;переворотный
перегар;перегарный
перегной;перегнойный
перегон;перегонный
передвижник;передвижнический
передвижник;передвижничество
передвижничество;передвижнический
передел;передельный
переезд;переездной
переезд;переездный
пережим;пережимный
пережиток;пережиточный
перезаряд;перезарядный
перезрелость;перезрелый
переимчивость;переимчивый
перекал;перекальный
перекат;перекатный
перекись;перекисный
переклад;перекладной
переключатель;переключательный
перекоп;перекопский
перекрест;перекрестный
перекуп;перекупной
перелет;перелетный
перелив;переливной
переливчатость;переливчатый
перелог;переложный
перелом;переломный
перемена;переменный
переменность;переменный
переменчивость;переменчивый
переместительность;переместительный
перемет;переметный
перенабор;перенаборный
перенаселенность;перенаселенный
перенормируемость;перенормируемый
переносимость;переносимый
переносность;переносной
переносность;переносный
перенос;переносной
перенос;переносный
перепад;перепадный
перепись;переписной
переплав;переплавной
переплет;переплетный
переприем;переприемный
перепродажа;перепродажный
перепуск;перепускной
переразвитость;переразвитый
перерасчет;перерасчетный
перерожденчество;перерожденческий
пересадок;пересадочный
пересеченность;пересеченный
перестановочность;перестановочный
перестой;перестойный
пересчет;пересчетный
пересып;пересыпной
пересыпь;пересыпной
переулок;переулочный
переучет;переучетный
переходность;переходной
переходность;переходный
переход;переходной
переход;переходный
перешеек;перешеечный
перешив;перешивной
перила;перильный
периметрия;периметрический
перина;перинный
периодичность;периодичный
период;периодизация
перипатетик;перипатетический
перископ;перископный
перистиль;перистильный
перистость;перистый
периферия;периферический
перлит;перлитный
перманганат;перманганатный
перманентность;перманентный
перманент;перманентный
перм;пермский
пероксид;пероксидный
перпендикулярность;перпендикулярный
перпендикуляр;перпендикулярный
перрон;перронный
персонал;персональный
перспектива;перспективный
перспективность;перспективный
перст;перстный
перст;перстяной
персть;перстный
персть;перстяной
перфект;перфектный
перфокарта;перфокартный
перфоратор;перфораторный
перхота;перхотный
перхоть;перхотный
першерон;першеронский
пескомет;пескометный
песок;песочный
пессимистичность;пессимистичный
пестик;пестичный
пестролистность;пестролистный
пестрядина;пестрядинный
петарда;петардный
петел;петельный
Петербург;петербургский
петит;петитный
Петров;петровский
Петроград;петроградский
петрография;петрографический
петрология;петрологический
пехота;пехотный
печаль;печальный
печать;печатный
печь;печной
пешеход;пешеходный
пещера;пещерный
пещь;пещной
пигмей;пигмейский
пигмент;пигментация
пигмент;пигментный
пиджак;пиджачный
пиелография;пиелографический
пиемия;пиемический
пижама;пижамный
пижон;пижонский
пижонство;пижонский
пикантность;пикантный
пикант;пикантный
пикетаж;пикетажный
пикет;пикетный
пикник;пикнический
пиктография;пиктографический
пила;пильный
пилигрим;пилигримский
пилон;пилонный
пилообразность;пилообразный
пилотаж;пилотажный
пилот;пилотный
пилот;пилотский
пиль;пильный
пим;пимский
пинцет;пинцетный
пионер;пионерный
пионер;пионерский
пионерство;пионерский
