伶	龄,冷,铃,另,磷,邻,陵,灵,玲,凝,林,零,临,怜,领,令,凌,岭
耍	女,要,刷,妥
名	命,鸣,明,民,敏
杂	咋,炸,扎
腊	猎,拉,借,哪,那,娜,拿,呐,钠,惜,辣,错,蜡,措,啦,纳
绕	老,牢,扰,捞,烧,劳,饶
断	迷,米,短,锻,段,端,继
区	取,屈,趣,驱,渠,欧,躯,去,曲,趋
挨	矮,爱,碍,哎,哀,埃,唉,艾
救	舅,究,旧,久,酒,九,纠,就
惶	荒,缓,皇,幻,煌,环,欢,黄,患,换,晃,慌,唤
水	髓,虽,税,碎,岁,睡,遂,随
哼	冯,风,狠,疯,蜂,衡,恒,锋,缝,很,峰,封,凤,奉,丰,横,恨,逢,痕
叛	判,盼,半,伴,盘,潘,庞,攀,旁,胖
插	叉,擦,察,茶,差,查
渲	悬,恒,选,旋,玄,宣
妖	腰,跃,要,耀,药,邀,遥,摇,咬,姚
然	懒,篮,烂,栏,滥,嚷,染,拦,兰,览,让,燃,蓝,壤
疫	异,逸,役,医,抑,毅,义,一,益,议,疑,亦,乙,姨,宜,蚁,椅,移,译,谊,亿,已,衣,依,遗,矣,易,仪,以,艺,伊,意,忆,翼
馏	柳,纽,流,瘤,硫,刘,牛,留,溜,扭,六
劣	裂,猎,捏,烈,咧,列
反	凡,范,泛,犯,妨,饭,板,房,寒,防,汉,仿,纺,方,罕,贩,函,烦,番,繁,返,版,翻,喊,涵,韩,放,芳,含,访,旱,汗
译	异,逸,役,医,抑,毅,义,一,益,议,疑,亦,乙,姨,宜,蚁,椅,泽,移,疫,谊,亿,已,衣,依,遗,矣,易,择,仪,以,艺,伊,意,忆,翼
疲	披,譬,匹,皮,辟,屁,脾,批
愤	喷,冯,风,狠,疯,蜂,份,锋,氛,缝,很,芬,峰,粉,封,凤,奉,丰,粪,奋,恨,逢,分,坟,纷,痕
覆	抚,扶,忽,副,服,湖,富,糊,乎,赋,复,夫,傅,妇,幅,肤,呼,父,佛,辅,伏,付,胡,符,户,互,弗,腹,赴,咐,缚,浮,府,福,履,护,虎,腐,辐,负,甫,附
陡	超,趣,越,起,趟,兜,徒,斗,抖,走,豆,趋,都
吟	鹰,英,映,姻,赢,影,因,迎,殷,隐,盈,应,印,阴,引,硬,贪,营,颖,婴,念,音,饮,银,今
嗜	市,实,司,寺,尸,四,使,拾,室,适,食,世,私,是,施,逝,势,死,识,师,石,试,诗,始,释,蚀,斯,撕,十,湿,思,式,似,士,示,氏,丝,史,事,饲,视,驶,时,饰,失
洋	群,焰,氧,鲜,阳,厌,严,言,养,验,颜,央,沿,样,宴,燕,咽,秧,扬,盐,研,眼,炎,艳,烟,延,演,杨,详,掩,衍,仰,羊,岩
肢	字,执,滞,址,姿,致,稚,旨,志,直,滋,制,脂,织,技,支,汁,知,纸,指,资,兹,自,职,鼓,止,质,歧,紫,芝,值,智,之,置,秩,治,子,至,殖,植,只,枝
庐	努,辱,录,怒,炉,儒,如,露,房,芦,入,驴,户,奴,陆,路,鲁,乳,碌,卢,鹿
肖	萧,孝,笑,校,梢,效,稍,晓,小,悄,哨,硝,销,消
徘	菲,排,匪,牌,非,悲,拍,辈,派
闪	闭,上,门,衫,赏,珊,陕,三,阔,商,散,闯,善,伤,山,扇,闷,尚,闲
物	吴,五,乌,雾,舞,屋,无,务,污,悟,午,伍,呜,武,吾,误
渗	生,审,婶,伸,升,身,绳,肾,惨,参,省,什,慎,圣,声,申,牲,神,剩,深,沈,胜,甚,盛,森
危	跪,畏,慰,委,胃,惟,威,味,围,伟,未,为,位,伪,谓,尾,卫,维,纬,微,魏,喂,脆,唯,违
耙	爸,拔,八,坝,叭,吧,霸,罢,把,巴
穴	穷,空,学,血,雪,削
阿	啊
功	宫,控,巩,工,孔,贡,弓,供,空,共,公,攻,恐,恭
丸	万,汪,往,网,湾,忘,亡,旺,完,玩,顽,望,碗,挽,晚,妄,王,弯
歹	呆,代,逮,戴,袋,带,待,贷
靖	禁,净,静,惊,金,京,敬,近,精,劲,锦,筋,镜,津,晋,境,景,竟,浸,尽,巾,经,井,茎,警,颈,竞,进,仅,睛,晶,紧,谨,今,径,斤
些	鞋,携,谢,斜,此,柴,写,协,谐,紫,械,歇,邪,卸,泄,胁
皖	万,汪,往,网,湾,忘,亡,旺,完,玩,顽,望,碗,挽,晚,妄,王,弯
咸	享,项,宪,显,乡,象,献,鲜,线,香,县,贤,想,现,翔,减,祥,箱,掀,橡,相,腺,弦,仙,嫌,响,详,险,限,先,纤,陷,喊,像,湘,向,闲
椭	托,拖,驼,脱,妥
减	碱,蒋,讲,匠,简,见,尖,箭,键,降,姜,剪,渐,奖,剑,件,健,建,江,疆,检,坚,将,兼,监,肩,鉴,间,艰,喊,舰,僵,践,奸,歼,浆
跛	披,博,剥,彼,伯,玻,拨,勃,脖,播,波,搏,被,坡,皮,驳,皱,膊,疲,破,卜
涕	体,踢,替,题,梯,提
蹭	城,曾,层,称,诚,程,呈,成,惩,撑,乘,承
缉	基,挤,集,济,鸡,寂,脊,际,机,既,疾,祭,技,及,辑,吉,迹,级,急,极,积,饥,即,几,击,己,绩,肌,激,忌,计,季,继,寄,籍,剂,记,纪
丙	饼,兵,冰,滨,并,宾,病
气	汽,期,岂,骑,凄,栖,棋,奇,齐,旗,起,其,弃,歧,器,企,漆,戚,七,契,启,妻,欺
库	姑,骨,股,故,苦,固,酷,鼓,雇,咕,孤,古,枯,谷,哭,裤,顾,估
域	与,裕,玉,育,愚,誉,语,豫,遇,雨,宇,愉,喻,于,愈,渔,预,余,予,欲,寓,郁,狱,娱,羽,舆,鱼,御,浴
悔	绘,辉,汇,毁,梅,灰,海,霉,回,慧,惠,恢,挥,徽,会,每
疤	爸,拔,八,坝,叭,吧,霸,罢,把,巴
蛮	忙,慢,曼,满,亦,盲,迹,漫,恋,变,茫
恳	坑,跟,垦,肯,恨,狼,娘,狠,根
高	搞,靠,告,考,稿
斩	暂,账,展,粘,章,长,占,掌,涨,障,渐,仗,张,咱,战,沾,丈,胀,赞,帐,站
淫	鹰,英,映,姻,吟,赢,影,因,迎,殷,隐,盈,应,印,阴,引,硬,营,颖,婴,音,饮,银
蚊	温,吻,翁,文,纹,稳,问,闻
北	贝,杯,卑,背,悲,碑,备,被,辈,倍
陌	怕,默,伯,莫,拍,泊,漠,柏,帕,摸,沫,白,膜,摩,末,墨,魔,抹,模,磨
如	辱,录,炉,儒,露,芦,入,陆,路,鲁,乳,碌,卢,鹿
镰	梁,凉,谅,良,链,辆,恋,亮,连,练,炼,联,两,怜,廉,粮,念,莲,年,量,帘,脸
拥	泳,庸,用,涌,永,勇
犯	凡,范,泛,妨,饭,房,寒,反,防,汉,仿,纺,方,罕,贩,函,烦,番,繁,返,翻,喊,涵,韩,放,芳,含,访,旱,汗
准	维,尊,堆,住,推,遵
磁	词,次,池,齿,瓷,刺,持,滋,驰,此,辞,耻,兹,斥,尺,迟,慈,吃,翅,雌,赤
哑	芽,押,雅,压,鸦,鸭,崖,牙,呀,亚
查	叉,插,擦,察,茶,差
鼠	诉,疏,束,数,蔬,淑,署,树,叔,宿,枢,肃,输,术,属,抒,俗,素,书,熟,舒,速,苏,塑,述,竖,殊
掺	渗,阐,苍,藏,缠,惨,参,残,仓,蚕,禅,颤,舱,餐,产
拧	龄,铃,另,您,陵,灵,玲,凝,零,领,令,凌,岭,宁
耀	姚,咬,摇,腰,邀,要,药,遥
伐	罚,哈,阀,乏,法,发
盯	顶,打,丁,叮,钉,定,订
快	缺,块,拐,决,怪
萧	效,硝,销,孝,消,笑,晓,校,小,肖
映	鹰,英,姻,吟,赢,影,因,迎,殷,隐,盈,央,应,印,阴,秧,引,硬,营,颖,婴,音,饮,银
寻	训,讯,旬,扫,迅,询,逊,循,雪,灵,巡
湿	市,实,司,寺,尸,四,使,拾,室,适,食,世,私,是,施,逝,势,死,识,师,石,试,诗,始,释,蚀,斯,撕,十,思,式,似,士,示,氏,丝,史,事,饲,视,驶,时,饰,失
校	胶,萧,孝,笑,郊,效,效,晓,小,肖,交,咬,硝,销,消
扰	老,牢,捞,劳,饶,绕
颖	鹰,英,映,姻,吟,赢,影,因,迎,殷,隐,盈,应,印,阴,引,硬,营,婴,音,饮,银
桶	筒,痛,童,涌,通,统,铜,同
纹	温,吻,翁,文,稳,问,闻
袄	傲,奥,跃,澳,凹
幻	荒,缓,皇,惶,煌,环,欢,黄,患,换,晃,慌,唤
碱	蒋,讲,匠,简,见,减,尖,箭,键,降,姜,剪,渐,奖,剑,件,健,建,江,疆,检,坚,将,兼,监,肩,鉴,间,艰,舰,僵,践,奸,歼,浆
撤	测,策,朝,彻,车,扯,册,侧,潮
匠	碱,蒋,讲,简,见,减,尖,箭,键,降,姜,剪,渐,奖,剑,件,健,建,江,疆,检,坚,将,兼,监,肩,鉴,间,艰,舰,僵,践,奸,歼,浆
距	巨,惧,拒,聚,俱,举,居,据,剧,柜,菊,局,矩,拘,句,具
怕	陌,白,拍,爬,伯,泊,柏,帕
禾	喝,盒,合,何,贺,荷,赫,呵,河,核,和
核	喝,盒,合,何,贺,荷,赫,该,呵,河,咳,刻,和
隙	晰,戏,袭,析,悉,稀,习,吸,希,席,西,嘻,锡,细,夕,息,溪,牺,系,惜,洗,喜,媳
村	过,醇,唇,春,栖,材,衬,存,纯,付,寸,守,框,讨,林,对,木,时
萨	沙,纱,刹,洒,杀,啥,撒,厦,砂,傻
撼	凡,含,范,杭,泛,犯,饭,寒,反,汉,航,贩,罕,烦,番,繁,返,翻,喊,涵,韩,函,旱,汗
茎	禁,净,静,惊,金,京,敬,近,精,劲,锦,筋,镜,津,晋,境,景,竟,浸,尽,巾,经,井,警,颈,竞,进,仅,睛,晶,紧,谨,今,径,斤
芋	与,裕,玉,育,愚,誉,语,豫,遇,雨,宇,愉,喻,于,愈,渔,预,余,予,欲,寓,域,郁,狱,娱,羽,舆,鱼,御,浴
不	布,环,步,坏,补,捕,部
揭	借,界,喝,介,截,街,渴,姐,皆,劫,捷,戒,届,杰,接,洁,竭,阶,节,结,解
愚	与,裕,玉,育,誉,语,豫,遇,雨,宇,愉,喻,于,愈,渔,预,余,予,欲,寓,域,郁,狱,娱,羽,舆,鱼,御,浴
奠	垫,典,淀,电,殿,店,点,颠
劳	老,闹,牢,扰,捞,脑,恼,饶,绕
渔	与,裕,玉,育,愚,誉,语,豫,遇,雨,宇,愉,喻,于,愈,预,余,予,欲,寓,域,郁,狱,娱,羽,舆,鱼,御,浴
曼	忙,蛮,漫,茫,慢,盲,满
漆	汽,期,岂,骑,凄,栖,棋,气,奇,齐,旗,起,其,弃,歧,器,企,戚,七,契,启,妻,欺
两	梁,凉,谅,娘,良,链,辆,恋,亮,连,练,炼,联,怜,廉,粮,莲,量,帘,脸
梳	诉,疏,束,数,蔬,淑,署,树,叔,宿,枢,肃,输,术,属,抒,俗,素,书,鼠,熟,舒,速,苏,塑,述,竖,殊
揍	奏,州,凑,宙,昼,洲,走,轴,皱,骤,周
涛	陶,萄,桃,铸,筹,讨,寿,淘,套,逃,掏
眼	焰,氧,阳,厌,严,言,养,验,颜,洋,央,沿,样,宴,燕,咽,秧,扬,盐,研,炎,艳,烟,延,演,杨,掩,衍,仰,羊,岩
苇	畏,慰,委,胃,惟,威,味,围,危,伟,韦,未,为,位,伪,谓,尾,卫,维,纬,微,魏,喂,唯,违
拔	爸,八,坝,叭,吧,霸,罢,把,巴
迈	卖,埋,麦,买,脉
势	市,实,司,寺,尸,四,使,拾,室,适,食,世,私,是,施,逝,死,识,师,石,试,诗,始,释,蚀,斯,撕,十,湿,思,式,似,士,示,氏,丝,史,事,饲,视,驶,时,饰,失
朱	阻,柱,煮,驻,租,贮,嘱,主,祝,助,筑,珠,足,住,竹,铸,逐,组,祖,诸,猪,株,族,注
瘸	缺,雀,确,却
复	抚,扶,忽,副,服,湖,富,糊,乎,赋,夫,傅,妇,覆,幅,肤,呼,父,佛,辅,伏,付,胡,符,户,互,弗,腹,赴,咐,缚,浮,府,福,履,护,虎,腐,辐,负,甫,附
根	跟,垦,耕,肯,更,恳
鼻	闭,笔,比,彼,逼,毕,壁,蔽,碧,必,币,弊,避,臂
何	喝,盒,合,贺,荷,赫,呵,河,核,和
的	地,约,得,德
穆	亩,木,牧,姆,墓,幕,慕,目,母
细	晰,戏,袭,析,悉,稀,习,吸,希,席,西,嘻,锡,隙,夕,息,溪,牺,系,惜,洗,喜,媳
打	答,丁,叮,搭,盯,钉,达,订,大
负	抚,扶,忽,副,服,湖,富,糊,账,乎,赋,贫,复,夫,傅,妇,覆,幅,肤,呼,父,佛,辅,责,伏,付,胡,符,货,户,互,弗,贪,腹,财,赴,咐,缚,浮,贝,府,福,护,虎,腐,贺,辐,甫,附
哭	姑,骨,股,故,苦,固,酷,鼓,雇,咕,库,孤,古,枯,谷,裤,顾,估
报	堡,薄,爆,饱,包,保,胞,抱,暴,宝
性	生,醒,行,杏,兴,新,信,幸,欣,型,辛,心,姓,形,星,刑
躏	淋,龄,铃,另,您,磷,邻,陵,灵,玲,林,零,临,领,令,凌,岭
吸	晰,戏,袭,析,悉,稀,习,希,席,及,西,嘻,锡,细,级,隙,夕,极,息,溪,牺,系,惜,洗,喜,媳
及	基,挤,集,济,鸡,寂,脊,际,机,既,疾,祭,技,吸,辑,吉,迹,级,急,极,积,饥,即,几,击,己,绩,肌,激,忌,计,季,继,寄,籍,剂,记,纪
糕	高,搞,靠,告,考,稿
念	娘,吟,链,恋,连,练,今,贪,炼,联,怜,廉,莲,年,帘,脸
睫	借,界,介,截,街,姐,皆,劫,捷,戒,届,杰,接,洁,竭,阶,节,结,解,揭
决	缺,掘,块,快,觉,绝
阴	鹰,英,映,姻,吟,赢,影,因,迎,殷,隐,盈,应,印,引,硬,营,颖,婴,音,饮,银
殷	鹰,英,映,姻,吟,赢,影,因,迎,隐,盈,应,印,阴,引,硬,营,颖,婴,音,饮,银
怨	源,员,元,愿,远,原,渊,圆,援,冤,园,缘,袁,院
粤	曰,越,岳,约,悦,跃,月,阅
信	醒,行,杏,兴,新,幸,欣,性,型,辛,心,姓,形,星,刑
借	猎,界,腊,介,截,街,姐,皆,劫,捷,惜,戒,届,杰,接,错,蜡,措,洁,竭,阶,节,结,解,揭
咨	次,字,执,肢,滞,址,姿,致,稚,旨,志,直,滋,制,脂,织,支,汁,知,纸,指,资,兹,自,职,止,质,紫,芝,值,智,之,置,秩,治,子,至,殖,植,只,枝
萝	逻,弱,诺,螺,若,络,落,裸,洛,罗
兽	收,搜,瘦,售,受,守,首,寿,手,授
榄	懒,郎,篮,然,南,烂,难,栏,滥,染,浪,拦,兰,廊,览,燃,蓝,男,朗,狼
炭	坦,滩,躺,谈,倘,堂,灰,碳,糖,探,贪,坛,塘,恢,汤,唐,趟,叹,摊
颗	葛,格,隔,课,个,歌,棵,哥,可,革,胳,壳,阁,克,各,果,科,割,渴,客,鸽,刻,戈
虫	匆,从,聪,冲,蚕,崇,独,充,丛,蛋
用	泳,庸,涌,拥,永,勇
劲	禁,净,静,惊,金,京,敬,近,精,锦,筋,镜,津,晋,境,景,竟,浸,尽,巾,经,井,茎,警,颈,竞,进,仅,睛,晶,紧,谨,今,径,斤
侦	诊,争,整,珍,症,振,政,怎,挣,证,睁,镇,阵,郑,真,针,蒸,震,贞,正,征
刊	看,干,康,感,堪,甘,肝,赶,坎,敢,抗,杆,砍,炕
拒	巨,距,惧,聚,俱,举,居,据,剧,柜,菊,局,矩,拘,句,具
冉	懒,篮,然,烂,栏,滥,嚷,染,拦,兰,览,让,燃,蓝,壤
裙	群,君
凳	灯,瞪,登,等,邓
置	字,执,肢,滞,址,姿,致,稚,旨,志,直,滋,制,脂,织,支,汁,知,纸,指,资,兹,自,职,止,质,紫,芝,值,智,之,秩,治,子,至,殖,植,只,枝
柳	纽,流,瘤,硫,刘,牛,留,溜,扭,六
怡	异,逸,役,医,抑,毅,义,一,益,议,疑,亦,乙,姨,宜,蚁,椅,移,译,疫,谊,亿,已,衣,依,遗,矣,易,仪,以,艺,伊,意,忆,翼
纬	畏,慰,委,胃,惟,威,味,围,危,伟,韦,未,为,位,伪,谓,尾,卫,维,微,魏,喂,唯,违
应	鹰,英,映,姻,吟,赢,影,因,迎,殷,隐,盈,印,阴,引,硬,营,颖,婴,音,饮,银
争	诊,整,珍,症,振,政,侦,挣,证,睁,镇,增,阵,郑,真,针,蒸,震,贞,正,征
临	淋,龄,篮,铃,另,您,磷,邻,陵,灵,玲,林,零,领,蓝,监,令,鉴,凌,岭
国	括,扩,过,郭,锅,裹,果,阔
杠	干,港,康,感,甘,肝,赶,敢,岗,刚,纲,抗,杆,钢,炕
明	命,鸣,民,名,敏
挽	逸,万,汪,往,网,湾,忘,亡,勉,旺,完,玩,免,顽,望,碗,晚,妄,王,弯
晶	禁,净,静,惊,金,京,敬,近,精,劲,锦,筋,镜,津,晋,境,景,竟,浸,尽,巾,经,井,茎,警,颈,竞,进,仅,睛,紧,谨,今,径,斤
妄	万,汪,往,网,湾,忘,亡,旺,完,玩,顽,望,碗,挽,晚,王,弯
滨	饼,兵,冰,并,丙,宾,病
烤	高,煤,搞,靠,告,考,稿,烧,灾,炎,火
咒	奏,州,宙,昼,洲,走,轴,皱,骤,周
须	序,吁,需,顺,绪,许,叙,徐,页,蓄,烦,顽,领,续,虚
尔	耳,而,儿,弥,你,二
陪	胚,培,配,佩,赔,倍,部
帮	榜,斑,板,邦,膀,半,傍,伴,班,棒,搬,扮,办,版,颁,般
官	广,贯,馆,惯,灌,宽,罐,观,冠,管,关,光,款
费	菲,黑,匪,肥,肺,非,嘿,废,飞,沸
鬼	规,跪,愧,桂,贵,硅,轨,亏,龟,魂,柜,归,魏,溃
垢	扣,钩,狗,够,口,构,沟,购,勾
箕	基,挤,集,济,鸡,寂,脊,际,机,既,疾,祭,技,及,辑,吉,迹,级,急,极,积,饥,即,几,击,己,绩,肌,激,忌,计,季,继,寄,籍,剂,记,纪
演	焰,氧,阳,厌,严,言,养,验,颜,洋,央,沿,样,宴,燕,咽,秧,扬,盐,研,眼,炎,艳,烟,延,杨,掩,衍,仰,羊,岩
晌	上,衫,赏,珊,陕,商,丧,善,伤,闪,山,响,嗓,扇,桑,尚,向
狼	懒,郎,篮,娘,狠,烂,恳,良,栏,滥,嚷,囊,垦,浪,拦,兰,廊,览,让,蓝,恨,朗,壤
玲	淋,龄,冷,铃,另,磷,邻,陵,灵,凝,林,零,临,怜,领,令,凌,岭,宁
宫	控,贡,功,巩,工,共,恭,铝,吕,攻,恐,孔,弓,供,空,公
恃	市,实,司,寺,尸,四,使,拾,室,适,食,世,私,是,施,逝,势,死,识,师,石,试,诗,始,释,蚀,斯,撕,十,湿,思,式,似,士,示,氏,丝,史,事,饲,视,驶,时,饰,失
凭	频,苹,品,平,拼,屏,瓶,萍,贫,评
跪	规,鬼,愧,危,桂,贵,硅,轨,亏,龟,柜,归,脆,溃
誊	藤,誉,倦,疼,券,卷,腾
绷	奔,笨,本
幼	优,犹,幽,游,由,又,悠,忧,有,诱,油,右,邮,友,尤
屁	披,譬,匹,皮,辟,疲,脾,批
讯	训,旬,寻,迅,询,逊,循,巡
服	抚,扶,忽,副,湖,富,糊,乎,赋,复,夫,傅,妇,覆,幅,肤,呼,父,佛,辅,伏,付,胡,符,户,互,弗,腹,赴,咐,缚,浮,府,福,护,虎,腐,辐,负,甫,附
塘	坦,滩,躺,谈,倘,堂,碳,糖,炭,探,贪,坛,汤,唐,趟,叹,摊
冗	绒,溶,熔,拢,容,笼,融,龙,隆,荣,垄
窿	农,绒,溶,熔,容,笼,浓,融,龙,隆,荣,拢,垄,弄
怜	龄,梁,凉,谅,冷,铃,良,链,邻,辆,玲,恋,亮,连,练,炼,联,两,廉,粮,领,念,令,岭,莲,年,量,帘,脸
台	太,抬,泰,胎,态
淘	陶,涛,萄,桃,讨,套,逃,掏
昆	困,棍,滚
油	优,犹,抽,幽,游,由,又,庙,悠,忧,有,诱,袖,右,邮,迪,幼,友,尤
许	序,叙,续,蓄,须,需,徐,虚,吁,绪
畜	础,储,粗,初,出,楚,促,触,厨,处,除
扁	变,遍,辩,编,辨,鞭,篇,骗,便,边,偏
涤	底,帝,弟,递,低,抵,蒂,第,滴,迪,堤,敌
痰	坦,滩,躺,谈,倘,堂,碳,糖,炭,探,贪,坛,塘,汤,唐,趟,叹,摊
菌	峻,军,俊,君,均
袭	晰,戏,析,悉,稀,习,吸,希,席,西,嘻,锡,细,隙,夕,息,溪,牺,系,惜,洗,喜,媳
悖	贝,杯,卑,北,背,悲,碑,备,被,辈,倍
鸦	芽,押,雅,压,哑,鸭,崖,牙,呀,亚
娜	钠,辣,拉,蜡,拿,哪,啦,那,呐,纳,腊
电	奠,垫,典,淀,殿,店,点,颠
铭	命,鸣,明,民,名,敏
虐	掠,略
郑	诊,争,整,珍,症,振,政,侦,挣,证,睁,镇,增,阵,真,针,蒸,震,贞,正,征
墙	前,千,强,潜,迁,钱,歉,谦,遣,欠,腔,签,抢,浅,铅,牵,枪
赴	抚,扶,忽,副,服,湖,富,糊,乎,赋,复,夫,傅,妇,覆,幅,肤,呼,父,佛,辅,伏,付,胡,符,户,互,弗,腹,咐,缚,浮,府,福,护,虎,腐,辐,负,甫,附
鞍	暗,氨,岸,俺,案,按,昂,安
苑	源,员,元,愿,远,原,渊,怨,圆,援,冤,园,缘,袁,院
终	忠,仲,纵,众,重,总,宗,种,综,钟,衷,中,踪,肿
攻	功,宫,控,巩,工,孔,贡,弓,供,空,共,公,恐,恭
宙	奏,州,昼,洲,走,轴,皱,骤,周
节	借,界,介,截,街,姐,皆,劫,捷,戒,届,杰,接,洁,竭,阶,结,解,揭
猛	监,蒙,萌,盒,盐,门,们,梦,盟,闷,孟,盆
垫	奠,典,淀,电,殿,店,点,颠
漾	焰,氧,阳,厌,严,言,养,验,颜,洋,央,沿,样,宴,燕,咽,秧,扬,盐,研,眼,炎,艳,烟,延,演,杨,掩,衍,仰,羊,岩
四	市,实,司,寺,尸,使,拾,室,适,食,世,私,是,施,逝,势,死,识,师,石,试,诗,始,释,蚀,斯,撕,十,湿,思,式,似,士,示,氏,丝,史,事,饲,视,驶,时,饰,失
琅	懒,郎,篮,烂,栏,滥,嚷,囊,浪,拦,兰,廊,览,让,蓝,朗,狼,壤
拱	控,贡,功,宫,巩,工,共,恭,洪,攻,恐,哄,孔,弓,供,空,公
尉	畏,慰,委,胃,惟,威,味,围,危,伟,未,为,位,伪,谓,尾,卫,维,纬,微,魏,喂,唯,违
芥	借,界,介,截,街,姐,皆,劫,捷,戒,届,杰,接,洁,竭,阶,节,结,解,揭
堡	报,薄,爆,饱,包,保,胞,抱,暴,宝
冒	茅,貌,帽,毛,茂,贸,猫,矛
抑	异,逸,役,医,毅,义,一,益,议,疑,亦,乙,姨,宜,蚁,椅,移,译,疫,谊,亿,已,衣,依,遗,矣,易,仪,以,艺,伊,意,忆,翼
抽	凑,仇,愁,筹,由,袖,臭,丑,油,瞅,酬,邮,迪,庙,畴
勇	泳,庸,用,涌,拥,永
仙	享,项,宪,显,乡,象,献,鲜,线,香,县,贤,想,现,翔,祥,箱,掀,橡,相,腺,弦,嫌,响,详,险,限,先,纤,陷,像,湘,向,闲
蚂	马,嘛,吗,麻,妈,码,玛,骂
惯	广,贯,馆,灌,宽,官,罐,观,冠,管,关,光,款
逻	弱,诺,螺,萝,若,络,落,裸,洛,罗
屑	鞋,写,些,协,卸,斜,谐,携,械,歇,泄,胁,邪,谢
含	凡,范,杭,泛,犯,饭,寒,反,汉,航,贩,罕,烦,番,繁,返,翻,喊,涵,韩,函,旱,汗
倾	轻,庆,琴,侵,晴,请,清,氢,亲,青,情,勤,秦
栈	暂,账,展,粘,章,长,占,掌,涨,障,仗,张,咱,战,沾,丈,胀,赞,帐,站
实	市,司,寺,尸,四,使,拾,室,适,食,世,私,是,施,逝,势,死,识,师,石,试,诗,始,释,蚀,斯,撕,十,湿,思,式,似,士,示,氏,丝,史,事,饲,视,驶,时,饰,失
飘	疯,票,漂,风
杰	借,界,介,截,街,姐,皆,劫,捷,戒,届,接,洁,竭,阶,节,结,解,揭
勾	扣,钩,狗,够,口,构,沟,购
悦	曰,越,岳,说,约,脱,跃,月,阅
扑	铺,葡,仆,朴,补,谱,普,卜
氮	胆,单,弹,丹,党,但,当,旦,诞,荡,档,淡,挡,蛋,担
枫	冯,风,疯,蜂,份,衡,恒,氛,锋,缝,芬,峰,粉,封,凤,奉,丰,粪,横,奋,哼,飘,逢,分,坟,纷,愤
尧	腰,饶,烧,要,耀,药,邀,遥,摇,绕,咬,姚
探	坦,滩,躺,谈,倘,堂,碳,糖,炭,贪,坛,塘,汤,唐,趟,叹,摊
糊	抚,扶,忽,副,服,湖,富,乎,赋,复,夫,傅,妇,覆,幅,肤,呼,父,佛,辅,伏,付,胡,符,户,互,弗,腹,赴,咐,缚,浮,府,福,护,虎,腐,辐,负,甫,附
被	披,彼,玻,波,卑,北,悲,碑,辈,倍,坡,杯,皮,皱,贝,疲,背,破,备
衬	过,尘,称,程,沉,惩,城,诚,村,臣,付,承,寸,守,呈,讨,趁,对,陈,时,成,晨,撑,乘
视	市,实,司,寺,尸,四,使,拾,室,适,觉,食,世,私,现,见,是,施,逝,势,死,识,师,石,试,诗,始,释,蚀,斯,撕,十,湿,思,式,似,士,示,观,氏,丝,史,事,饲,驶,时,饰,失
鸡	基,挤,集,济,寂,脊,际,机,既,疾,祭,技,及,辑,吉,迹,级,急,极,积,饥,即,几,击,己,绩,肌,激,忌,计,季,继,寄,籍,剂,记,纪
宾	饼,兵,冰,滨,并,丙,病
坚	碱,蒋,讲,匠,简,见,减,尖,箭,键,降,姜,剪,渐,奖,剑,件,健,建,江,疆,检,将,兼,监,肩,鉴,间,艰,舰,僵,践,奸,歼,浆
丛	匆,从,聪,纵,冲,众,崇,充,虫
幸	醒,行,杏,兴,新,信,欣,性,型,辛,心,姓,形,星,刑
劝	权,拳,圈,全,泉,券
材	才,栖,采,村,柴,裁,蔡,框,财,林,猜,拆,彩,菜,木
曰	越,岳,约,悦,跃,月,阅
盗	倒,岛,稻,导,蹈,刀,到,道
是	市,实,司,寺,尸,四,使,拾,室,适,食,世,提,私,施,逝,势,死,识,师,石,试,诗,始,释,蚀,斯,撕,十,湿,思,式,似,题,士,示,堤,氏,丝,史,事,饲,视,驶,时,饰,失
里	逆,黎,厉,梨,理,李,利,立,离,童,礼,吏,厘,莉,历,埋,著,哩,隶,你,丽,拟,尼,励,力,泥,日,例,粒,璃
巾	禁,净,静,惊,金,京,敬,近,精,劲,锦,筋,镜,津,晋,境,景,竟,浸,尽,经,井,茎,警,颈,竞,进,仅,睛,晶,紧,谨,今,径,斤
佑	游,友,优,由,又,邮,犹,油,幽,悠,右,忧,有,诱,幼,尤
沫	墨,陌,魔,莫,默,抹,模,漠,膜,摸,磨,摩,末
速	诉,疏,束,数,蔬,淑,署,树,叔,宿,枢,肃,输,术,属,抒,俗,素,书,鼠,熟,舒,苏,塑,述,竖,殊
谢	鞋,写,些,协,卸,斜,谐,携,械,歇,泄,胁,邪
朦	蒙,萌,猛,门,们,梦,盟,闷,孟
跟	垦,耕,肯,更,根,恳
汉	凡,含,范,杭,泛,犯,饭,寒,反,航,贩,罕,烦,番,繁,返,翻,喊,涵,韩,函,旱,汗
扇	上,衫,赏,珊,陕,三,商,散,善,伤,闪,山,尚
鄂	恶,鹅,俄,饿,额
睁	诊,争,整,珍,症,振,政,侦,挣,证,镇,增,阵,郑,真,针,蒸,震,贞,正,征
帜	字,执,肢,滞,址,姿,致,稚,旨,志,直,滋,制,脂,织,支,汁,知,纸,识,指,资,兹,自,职,止,质,紫,芝,值,智,之,置,秩,治,子,至,殖,植,只,枝
