бам	бам	INTERJECTION
интрадермальная	интрадермальный	ADJ:Posit:Fem:Nom
интрадермального	интрадермальный	ADJ:Posit:Masc:R
интрадермального	интрадермальный	ADJ:Posit:Masc:V
интрадермального	интрадермальный	ADJ:Posit:Neut:R
интрадермальное	интрадермальный	ADJ:Posit:Neut:Nom
интрадермальное	интрадермальный	ADJ:Posit:Neut:V
интрадермально	интрадермальный	ADJ:Short:Neut
интрадермальной	интрадермальный	ADJ:Posit:Fem:D
интрадермальной	интрадермальный	ADJ:Posit:Fem:P
интрадермальной	интрадермальный	ADJ:Posit:Fem:R
интрадермальной	интрадермальный	ADJ:Posit:Fem:T
интрадермальном	интрадермальный	ADJ:Posit:Masc:P
интрадермальном	интрадермальный	ADJ:Posit:Neut:P
интрадермальному	интрадермальный	ADJ:Posit:Masc:D
интрадермальному	интрадермальный	ADJ:Posit:Neut:D
интрадермальную	интрадермальный	ADJ:Posit:Fem:V
интрадермальные	интрадермальный	ADJ:Posit:PL:Nom
интрадермальные	интрадермальный	ADJ:Posit:PL:V
интрадермальны	интрадермальный	ADJ:Short:PL
интрадермальный	интрадермальный	ADJ:Posit:Masc:Nom
интрадермальный	интрадермальный	ADJ:Posit:Masc:V
интрадермальными	интрадермальный	ADJ:Posit:PL:T
интрадермальным	интрадермальный	ADJ:Posit:Masc:T
интрадермальным	интрадермальный	ADJ:Posit:Neut:T
интрадермальным	интрадермальный	ADJ:Posit:PL:D
интрадермальных	интрадермальный	ADJ:Posit:PL:P
интрадермальных	интрадермальный	ADJ:Posit:PL:R
интрадермальных	интрадермальный	ADJ:Posit:PL:V
исчерпывающе-научен	исчерпывающе-научный	ADJ:Short:Masc
исчерпывающе-научна	исчерпывающе-научный	ADJ:Short:Fem
исчерпывающе-научная	исчерпывающе-научный	ADJ:Posit:Fem:Nom
исчерпывающе-научного	исчерпывающе-научный	ADJ:Posit:Masc:R
исчерпывающе-научного	исчерпывающе-научный	ADJ:Posit:Masc:V
исчерпывающе-научного	исчерпывающе-научный	ADJ:Posit:Neut:R
исчерпывающе-научное	исчерпывающе-научный	ADJ:Posit:Neut:Nom
исчерпывающе-научное	исчерпывающе-научный	ADJ:Posit:Neut:V
исчерпывающе-научно	исчерпывающе-научный	ADJ:Short:Neut
исчерпывающе-научной	исчерпывающе-научный	ADJ:Posit:Fem:D
исчерпывающе-научной	исчерпывающе-научный	ADJ:Posit:Fem:P
исчерпывающе-научной	исчерпывающе-научный	ADJ:Posit:Fem:R
исчерпывающе-научной	исчерпывающе-научный	ADJ:Posit:Fem:T
исчерпывающе-научном	исчерпывающе-научный	ADJ:Posit:Masc:P
исчерпывающе-научном	исчерпывающе-научный	ADJ:Posit:Neut:P
исчерпывающе-научному	исчерпывающе-научный	ADJ:Posit:Masc:D
исчерпывающе-научному	исчерпывающе-научный	ADJ:Posit:Neut:D
исчерпывающе-научную	исчерпывающе-научный	ADJ:Posit:Fem:V
исчерпывающе-научные	исчерпывающе-научный	ADJ:Posit:PL:Nom
исчерпывающе-научные	исчерпывающе-научный	ADJ:Posit:PL:V
исчерпывающе-научны	исчерпывающе-научный	ADJ:Short:PL
исчерпывающе-научный	исчерпывающе-научный	ADJ:Posit:Masc:Nom
исчерпывающе-научный	исчерпывающе-научный	ADJ:Posit:Masc:V
исчерпывающе-научными	исчерпывающе-научный	ADJ:Posit:PL:T
исчерпывающе-научным	исчерпывающе-научный	ADJ:Posit:Masc:T
исчерпывающе-научным	исчерпывающе-научный	ADJ:Posit:Neut:T
исчерпывающе-научным	исчерпывающе-научный	ADJ:Posit:PL:D
исчерпывающе-научных	исчерпывающе-научный	ADJ:Posit:PL:P
исчерпывающе-научных	исчерпывающе-научный	ADJ:Posit:PL:R
исчерпывающе-научных	исчерпывающе-научный	ADJ:Posit:PL:V
карнотавра	карнотавр	NN:Anim:Masc:Sin:R
карнотавра	карнотавр	NN:Anim:Masc:Sin:V
карнотаврами	карнотавр	NN:Anim:Masc:PL:T
карнотаврам	карнотавр	NN:Anim:Masc:PL:D
карнотаврах	карнотавр	NN:Anim:Masc:PL:P
карнотавре	карнотавр	NN:Anim:Masc:Sin:P
карнотавр	карнотавр	NN:Anim:Masc:Sin:Nom
карнотавров	карнотавр	NN:Anim:Masc:PL:R
карнотавров	карнотавр	NN:Anim:Masc:PL:V
карнотавром	карнотавр	NN:Anim:Masc:Sin:T
карнотавру	карнотавр	NN:Anim:Masc:Sin:D
карнотавры	карнотавр	NN:Anim:Masc:PL:Nom
каршеринга	каршеринг	NN:Inanim:Masc:Sin:R
каршерингами	каршеринг	NN:Inanim:Masc:PL:T
каршерингам	каршеринг	NN:Inanim:Masc:PL:D
каршерингах	каршеринг	NN:Inanim:Masc:PL:P
каршеринге	каршеринг	NN:Inanim:Masc:Sin:P
каршеринги	каршеринг	NN:Inanim:Masc:PL:Nom
каршеринги	каршеринг	NN:Inanim:Masc:PL:V
каршеринг	каршеринг	NN:Inanim:Masc:Sin:Nom
каршеринг	каршеринг	NN:Inanim:Masc:Sin:V
каршерингов	каршеринг	NN:Inanim:Masc:PL:R
каршерингом	каршеринг	NN:Inanim:Masc:Sin:T
каршерингу	каршеринг	NN:Inanim:Masc:Sin:D
кастинга	кастинг	NN:Inanim:Masc:Sin:R
кастингами	кастинг	NN:Inanim:Masc:PL:T
кастингам	кастинг	NN:Inanim:Masc:PL:D
кастингах	кастинг	NN:Inanim:Masc:PL:P
кастинге	кастинг	NN:Inanim:Masc:Sin:P
кастинги	кастинг	NN:Inanim:Masc:PL:Nom
кастинги	кастинг	NN:Inanim:Masc:PL:V
кастинг	кастинг	NN:Inanim:Masc:Sin:Nom
кастинг	кастинг	NN:Inanim:Masc:Sin:V
кастингов	кастинг	NN:Inanim:Masc:PL:R
кастингом	кастинг	NN:Inanim:Masc:Sin:T
кастингу	кастинг	NN:Inanim:Masc:Sin:D
кастомизированен	кастомизированный	ADJ:Short:Masc
кастомизированна	кастомизированный	ADJ:Short:Fem
кастомизированная	кастомизированный	ADJ:Posit:Fem:Nom
кастомизированного	кастомизированный	ADJ:Posit:Masc:R
кастомизированного	кастомизированный	ADJ:Posit:Masc:V
кастомизированного	кастомизированный	ADJ:Posit:Neut:R
кастомизированное	кастомизированный	ADJ:Posit:Neut:Nom
кастомизированное	кастомизированный	ADJ:Posit:Neut:V
кастомизированной	кастомизированный	ADJ:Posit:Fem:D
кастомизированной	кастомизированный	ADJ:Posit:Fem:P
кастомизированной	кастомизированный	ADJ:Posit:Fem:R
кастомизированной	кастомизированный	ADJ:Posit:Fem:T
кастомизированно	кастомизированный	ADJ:Short:Neut
кастомизированном	кастомизированный	ADJ:Posit:Masc:P
кастомизированном	кастомизированный	ADJ:Posit:Neut:P
кастомизированному	кастомизированный	ADJ:Posit:Masc:D
кастомизированному	кастомизированный	ADJ:Posit:Neut:D
кастомизированную	кастомизированный	ADJ:Posit:Fem:V
кастомизированные	кастомизированный	ADJ:Posit:PL:Nom
кастомизированные	кастомизированный	ADJ:Posit:PL:V
кастомизированный	кастомизированный	ADJ:Posit:Masc:Nom
кастомизированный	кастомизированный	ADJ:Posit:Masc:V
кастомизированны	кастомизированный	ADJ:Short:PL
кастомизированными	кастомизированный	ADJ:Posit:PL:T
кастомизированным	кастомизированный	ADJ:Posit:Masc:T
кастомизированным	кастомизированный	ADJ:Posit:Neut:T
кастомизированным	кастомизированный	ADJ:Posit:PL:D
кастомизированных	кастомизированный	ADJ:Posit:PL:P
кастомизированных	кастомизированный	ADJ:Posit:PL:R
кастомизированных	кастомизированный	ADJ:Posit:PL:V
катаклизменен	катаклизменный	ADJ:Short:Masc
катаклизменна	катаклизменный	ADJ:Short:Fem
катаклизменная	катаклизменный	ADJ:Posit:Fem:Nom
катаклизменного	катаклизменный	ADJ:Posit:Masc:R
катаклизменного	катаклизменный	ADJ:Posit:Masc:V
катаклизменного	катаклизменный	ADJ:Posit:Neut:R
катаклизменное	катаклизменный	ADJ:Posit:Neut:Nom
катаклизменное	катаклизменный	ADJ:Posit:Neut:V
катаклизменной	катаклизменный	ADJ:Posit:Fem:D
катаклизменной	катаклизменный	ADJ:Posit:Fem:P
катаклизменной	катаклизменный	ADJ:Posit:Fem:R
катаклизменной	катаклизменный	ADJ:Posit:Fem:T
катаклизменно	катаклизменный	ADJ:Short:Neut
катаклизменном	катаклизменный	ADJ:Posit:Masc:P
катаклизменном	катаклизменный	ADJ:Posit:Neut:P
катаклизменному	катаклизменный	ADJ:Posit:Masc:D
катаклизменному	катаклизменный	ADJ:Posit:Neut:D
катаклизменную	катаклизменный	ADJ:Posit:Fem:V
катаклизменные	катаклизменный	ADJ:Posit:PL:Nom
катаклизменные	катаклизменный	ADJ:Posit:PL:V
катаклизменный	катаклизменный	ADJ:Posit:Masc:Nom
катаклизменный	катаклизменный	ADJ:Posit:Masc:V
катаклизменны	катаклизменный	ADJ:Short:PL
катаклизменными	катаклизменный	ADJ:Posit:PL:T
катаклизменным	катаклизменный	ADJ:Posit:Masc:T
катаклизменным	катаклизменный	ADJ:Posit:Neut:T
катаклизменным	катаклизменный	ADJ:Posit:PL:D
катаклизменных	катаклизменный	ADJ:Posit:PL:P
катаклизменных	катаклизменный	ADJ:Posit:PL:R
катаклизменных	катаклизменный	ADJ:Posit:PL:V
квадрокоптера	квадрокоптер	NN:Inanim:Masc:Sin:R
квадрокоптерами	квадрокоптер	NN:Inanim:Masc:PL:T
квадрокоптерам	квадрокоптер	NN:Inanim:Masc:PL:D
квадрокоптерах	квадрокоптер	NN:Inanim:Masc:PL:P
квадрокоптере	квадрокоптер	NN:Inanim:Masc:Sin:P
квадрокоптер	квадрокоптер	NN:Inanim:Masc:PL:R
квадрокоптер	квадрокоптер	NN:Inanim:Masc:Sin:Nom
квадрокоптер	квадрокоптер	NN:Inanim:Masc:Sin:V
квадрокоптером	квадрокоптер	NN:Inanim:Masc:Sin:T
квадрокоптеру	квадрокоптер	NN:Inanim:Masc:Sin:D
квадрокоптеры	квадрокоптер	NN:Inanim:Masc:PL:Nom
квадрокоптеры	квадрокоптер	NN:Inanim:Masc:PL:V
киберспортивен	киберспортивный	ADJ:Short:Masc
киберспортивна	киберспортивный	ADJ:Short:Fem
киберспортивная	киберспортивный	ADJ:Posit:Fem:Nom
киберспортивного	киберспортивный	ADJ:Posit:Masc:R
киберспортивного	киберспортивный	ADJ:Posit:Masc:V
киберспортивного	киберспортивный	ADJ:Posit:Neut:R
киберспортивное	киберспортивный	ADJ:Posit:Neut:Nom
киберспортивное	киберспортивный	ADJ:Posit:Neut:V
киберспортивной	киберспортивный	ADJ:Posit:Fem:D
киберспортивной	киберспортивный	ADJ:Posit:Fem:P
киберспортивной	киберспортивный	ADJ:Posit:Fem:R
киберспортивной	киберспортивный	ADJ:Posit:Fem:T
киберспортивно	киберспортивный	ADJ:Short:Neut
киберспортивном	киберспортивный	ADJ:Posit:Masc:P
киберспортивном	киберспортивный	ADJ:Posit:Neut:P
киберспортивному	киберспортивный	ADJ:Posit:Masc:D
киберспортивному	киберспортивный	ADJ:Posit:Neut:D
киберспортивную	киберспортивный	ADJ:Posit:Fem:V
киберспортивные	киберспортивный	ADJ:Posit:PL:Nom
киберспортивные	киберспортивный	ADJ:Posit:PL:V
киберспортивный	киберспортивный	ADJ:Posit:Masc:Nom
киберспортивный	киберспортивный	ADJ:Posit:Masc:V
киберспортивны	киберспортивный	ADJ:Short:PL
киберспортивными	киберспортивный	ADJ:Posit:PL:T
киберспортивным	киберспортивный	ADJ:Posit:Masc:T
киберспортивным	киберспортивный	ADJ:Posit:Neut:T
киберспортивным	киберспортивный	ADJ:Posit:PL:D
киберспортивных	киберспортивный	ADJ:Posit:PL:P
киберспортивных	киберспортивный	ADJ:Posit:PL:R
киберспортивных	киберспортивный	ADJ:Posit:PL:V
кислотно-салатен	кислотно-салатный	ADJ:Short:Masc
кислотно-салатна	кислотно-салатный	ADJ:Short:Fem
кислотно-салатная	кислотно-салатный	ADJ:Posit:Fem:Nom
кислотно-салатного	кислотно-салатный	ADJ:Posit:Masc:R
кислотно-салатного	кислотно-салатный	ADJ:Posit:Masc:V
кислотно-салатного	кислотно-салатный	ADJ:Posit:Neut:R
кислотно-салатное	кислотно-салатный	ADJ:Posit:Neut:Nom
кислотно-салатное	кислотно-салатный	ADJ:Posit:Neut:V
кислотно-салатной	кислотно-салатный	ADJ:Posit:Fem:D
кислотно-салатной	кислотно-салатный	ADJ:Posit:Fem:P
кислотно-салатной	кислотно-салатный	ADJ:Posit:Fem:R
кислотно-салатной	кислотно-салатный	ADJ:Posit:Fem:T
кислотно-салатно	кислотно-салатный	ADJ:Short:Neut
кислотно-салатном	кислотно-салатный	ADJ:Posit:Masc:P
кислотно-салатном	кислотно-салатный	ADJ:Posit:Neut:P
кислотно-салатному	кислотно-салатный	ADJ:Posit:Masc:D
кислотно-салатному	кислотно-салатный	ADJ:Posit:Neut:D
кислотно-салатную	кислотно-салатный	ADJ:Posit:Fem:V
кислотно-салатные	кислотно-салатный	ADJ:Posit:PL:Nom
кислотно-салатные	кислотно-салатный	ADJ:Posit:PL:V
кислотно-салатный	кислотно-салатный	ADJ:Posit:Masc:Nom
кислотно-салатный	кислотно-салатный	ADJ:Posit:Masc:V
кислотно-салатны	кислотно-салатный	ADJ:Short:PL
кислотно-салатными	кислотно-салатный	ADJ:Posit:PL:T
кислотно-салатным	кислотно-салатный	ADJ:Posit:Masc:T
кислотно-салатным	кислотно-салатный	ADJ:Posit:Neut:T
кислотно-салатным	кислотно-салатный	ADJ:Posit:PL:D
кислотно-салатных	кислотно-салатный	ADJ:Posit:PL:P
кислотно-салатных	кислотно-салатный	ADJ:Posit:PL:R
кислотно-салатных	кислотно-салатный	ADJ:Posit:PL:V
кликабелен	кликабельный	ADJ:Short:Masc
кликабельна	кликабельный	ADJ:Short:Fem
кликабельная	кликабельный	ADJ:Posit:Fem:Nom
кликабельного	кликабельный	ADJ:Posit:Masc:R
кликабельного	кликабельный	ADJ:Posit:Masc:V
кликабельного	кликабельный	ADJ:Posit:Neut:R
кликабельное	кликабельный	ADJ:Posit:Neut:Nom
кликабельное	кликабельный	ADJ:Posit:Neut:V
кликабельной	кликабельный	ADJ:Posit:Fem:D
кликабельной	кликабельный	ADJ:Posit:Fem:P
кликабельной	кликабельный	ADJ:Posit:Fem:R
кликабельной	кликабельный	ADJ:Posit:Fem:T
кликабельно	кликабельный	ADJ:Short:Neut
кликабельном	кликабельный	ADJ:Posit:Masc:P
кликабельном	кликабельный	ADJ:Posit:Neut:P
кликабельному	кликабельный	ADJ:Posit:Masc:D
кликабельному	кликабельный	ADJ:Posit:Neut:D
кликабельную	кликабельный	ADJ:Posit:Fem:V
кликабельные	кликабельный	ADJ:Posit:PL:Nom
кликабельные	кликабельный	ADJ:Posit:PL:V
кликабельный	кликабельный	ADJ:Posit:Masc:Nom
кликабельный	кликабельный	ADJ:Posit:Masc:V
кликабельны	кликабельный	ADJ:Short:PL
кликабельными	кликабельный	ADJ:Posit:PL:T
кликабельным	кликабельный	ADJ:Posit:Masc:T
кликабельным	кликабельный	ADJ:Posit:Neut:T
кликабельным	кликабельный	ADJ:Posit:PL:D
кликабельных	кликабельный	ADJ:Posit:PL:P
кликабельных	кликабельный	ADJ:Posit:PL:R
кликабельных	кликабельный	ADJ:Posit:PL:V
клубнично-шоколаден	клубнично-шоколадный	ADJ:Short:Masc
клубнично-шоколадна	клубнично-шоколадный	ADJ:Short:Fem
клубнично-шоколадная	клубнично-шоколадный	ADJ:Posit:Fem:Nom
клубнично-шоколадного	клубнично-шоколадный	ADJ:Posit:Masc:R
клубнично-шоколадного	клубнично-шоколадный	ADJ:Posit:Masc:V
клубнично-шоколадного	клубнично-шоколадный	ADJ:Posit:Neut:R
клубнично-шоколадное	клубнично-шоколадный	ADJ:Posit:Neut:Nom
клубнично-шоколадное	клубнично-шоколадный	ADJ:Posit:Neut:V
клубнично-шоколадной	клубнично-шоколадный	ADJ:Posit:Fem:D
клубнично-шоколадной	клубнично-шоколадный	ADJ:Posit:Fem:P
клубнично-шоколадной	клубнично-шоколадный	ADJ:Posit:Fem:R
клубнично-шоколадной	клубнично-шоколадный	ADJ:Posit:Fem:T
клубнично-шоколадно	клубнично-шоколадный	ADJ:Short:Neut
клубнично-шоколадном	клубнично-шоколадный	ADJ:Posit:Masc:P
клубнично-шоколадном	клубнично-шоколадный	ADJ:Posit:Neut:P
клубнично-шоколадному	клубнично-шоколадный	ADJ:Posit:Masc:D
клубнично-шоколадному	клубнично-шоколадный	ADJ:Posit:Neut:D
клубнично-шоколадную	клубнично-шоколадный	ADJ:Posit:Fem:V
клубнично-шоколадные	клубнично-шоколадный	ADJ:Posit:PL:Nom
клубнично-шоколадные	клубнично-шоколадный	ADJ:Posit:PL:V
клубнично-шоколадный	клубнично-шоколадный	ADJ:Posit:Masc:Nom
клубнично-шоколадный	клубнично-шоколадный	ADJ:Posit:Masc:V
клубнично-шоколадны	клубнично-шоколадный	ADJ:Short:PL
клубнично-шоколадными	клубнично-шоколадный	ADJ:Posit:PL:T
клубнично-шоколадным	клубнично-шоколадный	ADJ:Posit:Masc:T
клубнично-шоколадным	клубнично-шоколадный	ADJ:Posit:Neut:T
клубнично-шоколадным	клубнично-шоколадный	ADJ:Posit:PL:D
клубнично-шоколадных	клубнично-шоколадный	ADJ:Posit:PL:P
клубнично-шоколадных	клубнично-шоколадный	ADJ:Posit:PL:R
клубнично-шоколадных	клубнично-шоколадный	ADJ:Posit:PL:V
когенерационен	когенерационный	ADJ:Short:Masc
когенерационна	когенерационный	ADJ:Short:Fem
когенерационная	когенерационный	ADJ:Posit:Fem:Nom
когенерационного	когенерационный	ADJ:Posit:Masc:R
когенерационного	когенерационный	ADJ:Posit:Masc:V
когенерационного	когенерационный	ADJ:Posit:Neut:R
когенерационное	когенерационный	ADJ:Posit:Neut:Nom
когенерационное	когенерационный	ADJ:Posit:Neut:V
когенерационной	когенерационный	ADJ:Posit:Fem:D
когенерационной	когенерационный	ADJ:Posit:Fem:P
когенерационной	когенерационный	ADJ:Posit:Fem:R
когенерационной	когенерационный	ADJ:Posit:Fem:T
когенерационно	когенерационный	ADJ:Short:Neut
когенерационном	когенерационный	ADJ:Posit:Masc:P
когенерационном	когенерационный	ADJ:Posit:Neut:P
когенерационному	когенерационный	ADJ:Posit:Masc:D
когенерационному	когенерационный	ADJ:Posit:Neut:D
когенерационную	когенерационный	ADJ:Posit:Fem:V
когенерационные	когенерационный	ADJ:Posit:PL:Nom
когенерационные	когенерационный	ADJ:Posit:PL:V
когенерационный	когенерационный	ADJ:Posit:Masc:Nom
когенерационный	когенерационный	ADJ:Posit:Masc:V
когенерационны	когенерационный	ADJ:Short:PL
когенерационными	когенерационный	ADJ:Posit:PL:T
когенерационным	когенерационный	ADJ:Posit:Masc:T
когенерационным	когенерационный	ADJ:Posit:Neut:T
когенерационным	когенерационный	ADJ:Posit:PL:D
когенерационных	когенерационный	ADJ:Posit:PL:P
когенерационных	когенерационный	ADJ:Posit:PL:R
когенерационных	когенерационный	ADJ:Posit:PL:V
колебательно-резонансен	колебательно-резонансный	ADJ:Short:Masc
колебательно-резонансна	колебательно-резонансный	ADJ:Short:Fem
колебательно-резонансная	колебательно-резонансный	ADJ:Posit:Fem:Nom
колебательно-резонансного	колебательно-резонансный	ADJ:Posit:Masc:R
колебательно-резонансного	колебательно-резонансный	ADJ:Posit:Masc:V
колебательно-резонансного	колебательно-резонансный	ADJ:Posit:Neut:R
колебательно-резонансное	колебательно-резонансный	ADJ:Posit:Neut:Nom
колебательно-резонансное	колебательно-резонансный	ADJ:Posit:Neut:V
колебательно-резонансной	колебательно-резонансный	ADJ:Posit:Fem:D
колебательно-резонансной	колебательно-резонансный	ADJ:Posit:Fem:P
колебательно-резонансной	колебательно-резонансный	ADJ:Posit:Fem:R
колебательно-резонансной	колебательно-резонансный	ADJ:Posit:Fem:T
колебательно-резонансно	колебательно-резонансный	ADJ:Short:Neut
колебательно-резонансном	колебательно-резонансный	ADJ:Posit:Masc:P
колебательно-резонансном	колебательно-резонансный	ADJ:Posit:Neut:P
колебательно-резонансному	колебательно-резонансный	ADJ:Posit:Masc:D
колебательно-резонансному	колебательно-резонансный	ADJ:Posit:Neut:D
колебательно-резонансную	колебательно-резонансный	ADJ:Posit:Fem:V
колебательно-резонансные	колебательно-резонансный	ADJ:Posit:PL:Nom
колебательно-резонансные	колебательно-резонансный	ADJ:Posit:PL:V
колебательно-резонансный	колебательно-резонансный	ADJ:Posit:Masc:Nom
колебательно-резонансный	колебательно-резонансный	ADJ:Posit:Masc:V
колебательно-резонансны	колебательно-резонансный	ADJ:Short:PL
колебательно-резонансными	колебательно-резонансный	ADJ:Posit:PL:T
колебательно-резонансным	колебательно-резонансный	ADJ:Posit:Masc:T
колебательно-резонансным	колебательно-резонансный	ADJ:Posit:Neut:T
колебательно-резонансным	колебательно-резонансный	ADJ:Posit:PL:D
колебательно-резонансных	колебательно-резонансный	ADJ:Posit:PL:P
колебательно-резонансных	колебательно-резонансный	ADJ:Posit:PL:R
колебательно-резонансных	колебательно-резонансный	ADJ:Posit:PL:V
коллаборативен	коллаборативный	ADJ:Short:Masc
коллаборативна	коллаборативный	ADJ:Short:Fem
коллаборативная	коллаборативный	ADJ:Posit:Fem:Nom
коллаборативного	коллаборативный	ADJ:Posit:Masc:R
коллаборативного	коллаборативный	ADJ:Posit:Masc:V
коллаборативного	коллаборативный	ADJ:Posit:Neut:R
коллаборативное	коллаборативный	ADJ:Posit:Neut:Nom
коллаборативное	коллаборативный	ADJ:Posit:Neut:V
коллаборативной	коллаборативный	ADJ:Posit:Fem:D
коллаборативной	коллаборативный	ADJ:Posit:Fem:P
коллаборативной	коллаборативный	ADJ:Posit:Fem:R
коллаборативной	коллаборативный	ADJ:Posit:Fem:T
коллаборативно	коллаборативный	ADJ:Short:Neut
коллаборативном	коллаборативный	ADJ:Posit:Masc:P
коллаборативном	коллаборативный	ADJ:Posit:Neut:P
коллаборативному	коллаборативный	ADJ:Posit:Masc:D
коллаборативному	коллаборативный	ADJ:Posit:Neut:D
коллаборативную	коллаборативный	ADJ:Posit:Fem:V
коллаборативные	коллаборативный	ADJ:Posit:PL:Nom
коллаборативные	коллаборативный	ADJ:Posit:PL:V
коллаборативный	коллаборативный	ADJ:Posit:Masc:Nom
коллаборативный	коллаборативный	ADJ:Posit:Masc:V
коллаборативны	коллаборативный	ADJ:Short:PL
коллаборативными	коллаборативный	ADJ:Posit:PL:T
коллаборативным	коллаборативный	ADJ:Posit:Masc:T
коллаборативным	коллаборативный	ADJ:Posit:Neut:T
коллаборативным	коллаборативный	ADJ:Posit:PL:D
коллаборативных	коллаборативный	ADJ:Posit:PL:P
коллаборативных	коллаборативный	ADJ:Posit:PL:R
коллаборативных	коллаборативный	ADJ:Posit:PL:V
колоректален	колоректальный	ADJ:Short:Masc
колоректальна	колоректальный	ADJ:Short:Fem
колоректальная	колоректальный	ADJ:Posit:Fem:Nom
колоректального	колоректальный	ADJ:Posit:Masc:R
колоректального	колоректальный	ADJ:Posit:Masc:V
колоректального	колоректальный	ADJ:Posit:Neut:R
колоректальное	колоректальный	ADJ:Posit:Neut:Nom
колоректальное	колоректальный	ADJ:Posit:Neut:V
колоректальной	колоректальный	ADJ:Posit:Fem:D
колоректальной	колоректальный	ADJ:Posit:Fem:P
колоректальной	колоректальный	ADJ:Posit:Fem:R
колоректальной	колоректальный	ADJ:Posit:Fem:T
колоректально	колоректальный	ADJ:Short:Neut
колоректальном	колоректальный	ADJ:Posit:Masc:P
колоректальном	колоректальный	ADJ:Posit:Neut:P
колоректальному	колоректальный	ADJ:Posit:Masc:D
колоректальному	колоректальный	ADJ:Posit:Neut:D
колоректальную	колоректальный	ADJ:Posit:Fem:V
колоректальные	колоректальный	ADJ:Posit:PL:Nom
колоректальные	колоректальный	ADJ:Posit:PL:V
колоректальный	колоректальный	ADJ:Posit:Masc:Nom
колоректальный	колоректальный	ADJ:Posit:Masc:V
колоректальны	колоректальный	ADJ:Short:PL
колоректальными	колоректальный	ADJ:Posit:PL:T
колоректальным	колоректальный	ADJ:Posit:Masc:T
колоректальным	колоректальный	ADJ:Posit:Neut:T
колоректальным	колоректальный	ADJ:Posit:PL:D
колоректальных	колоректальный	ADJ:Posit:PL:P
колоректальных	колоректальный	ADJ:Posit:PL:R
колоректальных	колоректальный	ADJ:Posit:PL:V
комплектно-распределительен	комплектно-распределительный	ADJ:Short:Masc
комплектно-распределительна	комплектно-распределительный	ADJ:Short:Fem
комплектно-распределительная	комплектно-распределительный	ADJ:Posit:Fem:Nom
комплектно-распределительного	комплектно-распределительный	ADJ:Posit:Masc:R
комплектно-распределительного	комплектно-распределительный	ADJ:Posit:Masc:V
комплектно-распределительного	комплектно-распределительный	ADJ:Posit:Neut:R
комплектно-распределительное	комплектно-распределительный	ADJ:Posit:Neut:Nom
комплектно-распределительное	комплектно-распределительный	ADJ:Posit:Neut:V
комплектно-распределительной	комплектно-распределительный	ADJ:Posit:Fem:D
комплектно-распределительной	комплектно-распределительный	ADJ:Posit:Fem:P
комплектно-распределительной	комплектно-распределительный	ADJ:Posit:Fem:R
комплектно-распределительной	комплектно-распределительный	ADJ:Posit:Fem:T
комплектно-распределительно	комплектно-распределительный	ADJ:Short:Neut
комплектно-распределительном	комплектно-распределительный	ADJ:Posit:Masc:P
комплектно-распределительном	комплектно-распределительный	ADJ:Posit:Neut:P
комплектно-распределительному	комплектно-распределительный	ADJ:Posit:Masc:D
комплектно-распределительному	комплектно-распределительный	ADJ:Posit:Neut:D
комплектно-распределительную	комплектно-распределительный	ADJ:Posit:Fem:V
комплектно-распределительные	комплектно-распределительный	ADJ:Posit:PL:Nom
комплектно-распределительные	комплектно-распределительный	ADJ:Posit:PL:V
комплектно-распределительный	комплектно-распределительный	ADJ:Posit:Masc:Nom
комплектно-распределительный	комплектно-распределительный	ADJ:Posit:Masc:V
комплектно-распределительны	комплектно-распределительный	ADJ:Short:PL
комплектно-распределительными	комплектно-распределительный	ADJ:Posit:PL:T
комплектно-распределительным	комплектно-распределительный	ADJ:Posit:Masc:T
комплектно-распределительным	комплектно-распределительный	ADJ:Posit:Neut:T
комплектно-распределительным	комплектно-распределительный	ADJ:Posit:PL:D
комплектно-распределительных	комплектно-распределительный	ADJ:Posit:PL:P
комплектно-распределительных	комплектно-распределительный	ADJ:Posit:PL:R
комплектно-распределительных	комплектно-распределительный	ADJ:Posit:PL:V
кондитерская	кондитерская	NN:Inanim:Fem:Sin:Nom
кондитерские	кондитерская	NN:Inanim:Fem:PL:Nom
кондитерские	кондитерская	NN:Inanim:Fem:PL:V
кондитерскими	кондитерская	NN:Inanim:Fem:PL:T
кондитерским	кондитерская	NN:Inanim:Fem:PL:D
кондитерских	кондитерская	NN:Inanim:Fem:PL:P
кондитерских	кондитерская	NN:Inanim:Fem:PL:R
кондитерской	кондитерская	NN:Inanim:Fem:Sin:D
кондитерской	кондитерская	NN:Inanim:Fem:Sin:P
кондитерской	кондитерская	NN:Inanim:Fem:Sin:R
кондитерской	кондитерская	NN:Inanim:Fem:Sin:T
кондитерскую	кондитерская	NN:Inanim:Fem:Sin:V
конкретно-содержательен	конкретно-содержательный	ADJ:Short:Masc
конкретно-содержательна	конкретно-содержательный	ADJ:Short:Fem
конкретно-содержательная	конкретно-содержательный	ADJ:Posit:Fem:Nom
конкретно-содержательного	конкретно-содержательный	ADJ:Posit:Masc:R
конкретно-содержательного	конкретно-содержательный	ADJ:Posit:Masc:V
конкретно-содержательного	конкретно-содержательный	ADJ:Posit:Neut:R
конкретно-содержательное	конкретно-содержательный	ADJ:Posit:Neut:Nom
конкретно-содержательное	конкретно-содержательный	ADJ:Posit:Neut:V
