النمط	المستبدل	ملاحظة1	الخطأ	الصحيح		
وقَعَ مُغْشىً عليه	وقَعَ مَغْشِيّاً عليه	الفعل هو: (غُشِيَ عليه)، لا: (أُغْشِيَ عليه)	وقَعَ مُغْشىً عليه	وقَعَ مَغْشِيّاً عليه		
غَطَّى المقالُ	شمل المقالُ		غَطَّى المقالُ النـِّقاطَ المطلوبة	شمل المقالُ النـِّقاطَ المطلوبة		
استَغْفَرَ اللهَ عن ذنْبه	استَغْفَرَ اللهَ ذنْبَهُ|استَغْفَرَ اللهَ لذنْبه|استَغْفَرَ اللهَ من ذنْبه		استَغْفَرَ اللهَ عن ذنْبه	استَغْفَرَ اللهَ ذنْبَهُ / لذنْبه / من ذنْبه		
غَفِيرُ البناءِ 	خَفِيرُ البناءِ	(الغفير): الكثير	غَفِيرُ البناءِ 	خَفِيرُ البناءِ		
غافَلَ اللصُّ	تغفَّلَ اللصُّ		غافَلَ اللصُّ الحارسَ ودخلَ البيتَ	تغفَّلَ اللصُّ الحارسَ ودخلَ البيتَ		
استغلَّيْتُ الأرضَ	استغلَلْتُ الأرض		استغلَّيْتُ الأرضَ	استغلَلْتُ الأرض		
ماء مَغْلِيّ	ماء مُغْلًى| ماء مُغلّى		غَلَيْتُ الماءَ، فهو مَغْلِيّ	أَغْلَيْتُ الماءَ، فهو مُغْلًى		
غَلَيْتُ الماءَ	أَغْلَيْتُ الماءَ|غَلَّيْتُ الماءَ		غَلَيْتُ الماءَ، فهو مَغْلِيّ	أَغْلَيْتُ الماءَ، فهو مُغْلًى		
#غَلَيْتُ الماءَ|ماء مَغْلِيّ	غَلَّيْتُ الماءَ|ماء مُغَلًّى	(غَلَى) فعلٌ لازم	غَلَيْتُ الماءَ، فهو مَغْلِيّ	غَلَّيْتُ الماءَ، فهو مُغَلًّى		
غَاوٍ للموسيقى	هَاوٍ للموسيقى	(الغاوي): الضال	فلانٌ غَاوٍ للموسيقى, وهم غواة 	فلانٌ هَاوٍ للموسيقى, وهم هواة 		
غير بالله	بغير الله		لا تستعِنْ غير بالله	لا تستعِنْ بغير الله		
غير أنا|غير نحن	غيري | غيرنا		لم يحضرْ غير أنا / نحن ...	لم يحضرْ غيري / غيرنا ...		
ذكيٌّ للغاية 	بلغ  من الذكاء الغاية|ذكيٌّ جداً		فلانٌ ذكيٌّ للغاية 	بلغ فلانٌ من الذكاء الغاية		
#ذكيٌّ للغاية 	ذكيٌّ جداً	(الغاية): النهاية والآخِر	فلانٌ ذكيٌّ للغاية 	فلانٌ ذكيٌّ جداً		
فترة النموّ	طور النمو|مرحلة النموّ	(الفترة) مدةٌ تتميّز بالفتور	في فترة النموّ	في طور / مرحلة النموّ		
فترة قصيرة	مدّة قصيرة		في فترة قصيرة	في مدّة قصيرة		
فَاتُورَةُ الحسابِ	بَيَانُ الحساب| وَرَقَةُ الحسابِ		فَاتُورَةُ الحسابِ	بَيَانُ / وَرَقَةُ الحسابِ		
فَتَّشَ على	فَتَّشَ عن		فَتَّشَ عليه	فَتَّشَ عنه		
فُحُوصاتٍ	فُحُوصٍ		خَضَعَ لفُحُوصاتٍ طبية	خَضَعَ لفُحُوصٍ طبية		
ثوبٌ مُفْتَخَر	ثوبٌ فاخِر		ثوبٌ مُفْتَخَر	ثوبٌ فاخِر		
فَداحَةُ المُصاب 	فَدْحُ المُصاب	(الفداحة) لم تُسمع عن العرب	فَداحَةُ المُصاب 	فَدْحُ المُصاب		
أَفْدَحَهُ الدَّيْنُ 	فَدَحَه الدَّيْنُ	الفعل هو: (فَدح)، لا: (أفدح)	أَفْدَحَهُ الدَّيْنُ 	فَدَحَه الدَّيْنُ		
تفادى	تفادى من		تفاديتُ الشيءَ 	تفاديتُ من الشيء		
لنفرض أن	لنفترض أن	(فَرَض الأمرَ): أوجبه، و(افترض الباحثُ): اتّخذ فَرْضاً ليصل إلى حلّ مسألة.	لنفرض أن س أكبر من ع	لنفترض أن س أكبر من ع		
أفْسَحَ له في المجلس	فَسَحَ له في المجلس		أفْسَحَ له في المجلس	فَسَحَ له في المجلس		
النتائج الأفضل	النتائج الفُضْلى|أفضل النتائج		حصل على النتائج الأفضل	حصل على النتائج الفُضْلى/حصل على أفضل النتائج		
تفتقد إلى	تفتقر إلى		تفتقد قريتُنا إلى كثير من الخدمات	تفتقر قريتُنا إلى كثير من الخدمات		
ما انْفَكَّ عن	ما انْفَكَّ يفعل |ما انفك فاعلا	أي: مازال يلعب، وهي من أخوات كان	ما انْفَكَّ عن اللَّعِب	ما انْفَكَّ يلعَبُ / لاعباً		
فَلَّسَ التاجرُ	أَفْلَسَ التاجرُ	(فَلَّسَ القاضي التاجرَ): حَكَمَ بإفلاسه	فَلَّسَ التاجرُ	أَفْلَسَ التاجرُ		
تفنيد النفقات	تبيين النفقات	(فَـنـَّدَ فلاناً): خـَطَّـأَ رأيَهُ. (فَـنـَّدَ رأْيَ فلان): أضْعَفَهُ وأبْطَلَهُ.	تفنيد النفقات الإجمالية	تبيين النفقات الإجمالية		
فَاقَ على	فَاقَ		فَاقَ على أقرانِه	فَاقَ أقرانـَه		
أفَاضَ الحديثَ	أفَاضَ في الحديث		أفَاضَ الحديثَ	أفَاضَ في الحديث		
قَبل ب	قبل		قَبلتُ بـالأمر / بـالقليل	قَبلتُ الأمرَ / القليل		
قابَلَ الكتابَ على أصله المخطوط	قابَلَ الكتابَ بأصله المخطوط		قابَلَ الكتابَ على أصله المخطوط	قابَلَ الكتابَ بأصله المخطوط		
قذف الحجارةَ على 	قذف بالحجارة		قذف الحجارةَ على القلعة	قذف القلعةَ بالحجارة		
يقاربُ عددُهم من	يقاربُ عددُهم		يقاربُ عددُهم من ألف	يقاربُ عددُهم ألفاً		
قاربَ الأمرُ على الانتهاء	قارب الأمرُ الانتهاءَ 		قاربَ الأمرُ على الانتهاء	قارب الأمرُ الانتهاءَ 		
استقرضتُ مالاً 	اقترضتُ مالاً	(الاستقراض): طلب القرض	استقرضتُ مالاً 	اقترضتُ مالاً		
قَرِفَ من	اشْمَأَزَّ من	(قَرِفَ فلانٌ): دَانـَى المرضَ	قَرِفَ منه 	اشْمَأَزَّ منه		
أَقْسَمَ بأنْ	أَقْسَمَ باللّهِ أنْ|أَقْسَمَ أنْ	الباء تدخل على المُقْسَم به	أَقْسَمَ بأنْ يَفعلَ كذا	أَقْسَمَ (باللّهِ) أنْ يَفعلَ كذا		
قَاسَى من ألـمٍ شديد	قَاسَى ألماً شديداً	الفعل (قاسى) يتعدّى بنفسه	قَاسَى من ألـمٍ شديد	قَاسَى ألماً شديداً		
اقتصدتُ مبلغاً من المال	ادَّخرتُ مبلغاً من المال	(اقتصد في النفقة): لم يسرف ولم يقتِّر	اقتصدتُ مبلغاً من المال	ادَّخرتُ مبلغاً من المال		
حديثـُهُ قَاصِرٌ على الشعر 	حديثـُهُ مَقْصُورٌ على الشعر		حديثـُهُ قَاصِرٌ على الشعر 	حديثـُهُ مَقْصُورٌ على الشعر		
تَقَصَّى عن الأمر| اسْتَقْصَى عن الأمر	تَقَصَّى الأمر|اسْتَقْصَى الأمرَ 	(تقصّى) و(استقصى) يتعديان بنفسيهما، وأجاز ع تعديتهما بـ (في)	تَقَصَّى / اسْتَقْصَى عن الأمر	تَقَصَّى / اسْتَقْصَى الأمرَ 		
تَقَطَّبَ الرجُلُ	قَطَبَ الرجل|قَطَّبَ الرجُلُ	الفعل هو: (قَطَب) أو (قَطَّب)، لا: (تقطَّب)	تَقَطَّبَ الرجُلُ	قَطَبَ / قَطَّبَ الرجُلُ		
قِطافُ القطن	قَطْفُ القطن	(القِطاف) ليس مصدراً لـ (قَطَفَ)، إنما هو اسمٌ يعني زمن القطف 	تمَّ قِطافُ القطن	تمَّ قَطْفُ القطن		
قطنتُ البلدَ	قطنتُ في البلد		قطنتُ البلدَ	قطنتُ في البلد		
تَقَاعَسَ في	تَقَاعَسَ عن		تَقَاعَسَ في أداء واجبه	تَقَاعَسَ عن أداء واجبه		
أرضٌ قَفْرَاءُ 	أرضٌ مُقْفِرَةٌ|أرض قَفْرَةٌ|أرض قَفْرٌ		أرضٌ قَفْرَاءُ 	أرضٌ مُقْفِرَةٌ / قَفْرَةٌ / قَفْرٌ		
قُفّازات 	قَفافيز		قُفّازات 	قَفافيز		
قَفَلَ البابَ|باب مَقْفُولٌ 	أَقْفَلَ البابَ |باب مُقْفَلٌ	(قَفَل): رجع من سَفره. (أقْفَلَ البابَ): أغْلَقَه بالقفل	قَفَلَ البابَ، فهو مَقْفُولٌ 	أَقْفَلَ البابَ، فهو مُقْفَلٌ 		
أقلَعَ المعملُ 	انطلق المعملُ		أقلَعَ المعملُ 	انطلق المعملُ		
اسْتَقَلَّ السيارةَ	ركبَ السيارةَ	(استقلَّ الشيءَ): حَمَلَه ورفعه	اسْتَقَلَّ فلانٌ السيارةَ	ركبَ فلانٌ السيارةَ		
استقلّيْتُ برأيي	استقلَلْتُ برأيي		استقلّيْتُ برأيي	استقلَلْتُ برأيي		
الأَقْنِيَة الفضائية|الأقنية الافتراضية	القَنـَوَاتٌ الفضائية| القنوات الافتراضية		الأَقْنِيَة الفضائية / الافتراضية	القَنـَوَاتٌ الفضائية / الافتراضية		
مُقَادٌ من بُعد	مَقُودٌ من بُعد	(أقادَ القاتلَ بالقتيل): قتَلَهُ به قَوْداً. (أقادَهُ خيلاً): أعطاهُ إيّاها ليقودَها	هذا الجهاز مُقَادٌ من بُعد	هذا الجهاز مَقُودٌ من بُعد		
كلامٌ مُقَالٌ	كلامٌ مَقُولٌ	(أقالَ البيعَ): فسَخـَهُ. (أقالَ عثـْرَتَه): تجاوز عنه. (أقالَه من عمله): نحّاه عنه	كلامٌ مُقَالٌ	كلامٌ مَقُولٌ		
قَيْدُ الإنجاز	في قَيْدِ الإنجاز	(في قَيْدِ كذا): في حَوْزَة كذا	المشروعُ قَيْدُ الإنجاز	المشروعُ في قَيْدِ الإنجاز		
على قَيْد الحياة	حيٌّ يُرزَق		فلانٌ على قَيْد الحياة	فلانٌ حيٌّ يُرزَق		
مُقَاسٌ بالمتر	مَقِيسٌ بالمتر	الفعل هو: (قاسَ)، لا: (أقاسَ)	مُقَاسٌ بالمتر	مَقِيسٌ بالمتر		
كَبَّدَهُ عناءً شديداً	حَمَّلَهُ عناء شديدا|جَشَّمَهُ عناءً شديداً	 (كبَّدَتِ الشمسُ السماءَ): صارت في وَسَطها	كَبَّدَهُ عناءً شديداً	حَمَّلَهُ / جَشَّمَهُ عناءً شديداً		
هي الأكبرُ	هي الكبرى	تجب المطابقة لدخول (أل) على أفعل التفضيل	آسيا هي الأكبرُ بين القارات	آسيا هي الكبرى بين القارات		
الأعداد الأكبر من	الأعداد التي هي أكبر من		الأعداد الأكبر من 10	الأعداد التي هي أكبر من 10		
كَبْلات	أكْبُل|كُبُول|أكبال| كِبال		كَبْلات	أكْبُل / كُبُول / أكبال / كِبال		
الحالات الأكثر شيوعاً	أكثر الحالات شيوعاً		الحالات الأكثر شيوعاً	أكثر الحالات شيوعاً		
الكادر	المَلاك | المِلاك		الكادر	المَلاك / المِلاك		
أَكْرَبَهُ الغَمُّ 	كَرَبَهُ الغَمُّ	(أَكْرَبَ الرجلُ): عَدَا. (أَكْرَبَ السِّقاءَ): ملأَه	أَكْرَبَهُ الغَمُّ 	كَرَبَهُ الغَمُّ		
الكَرْتُون 	المُقَوَّى		الكَرْتُون 	المُقَوَّى		
لا يُكْتَرَثُ به 	لا يُكْتَرَثُ له		لا يُكْتَرَثُ به 	لا يُكْتَرَثُ له		
كَرَى البيتَ 	أَكْرَى البيتَ	(كَرَى الأرضَ): حَفَرَهَا. (كَرِيَ الرجلُ): نـَعَسَ أو نامَ	كَرَى البيتَ 	أَكْرَى البيتَ		
وَحْشٌ كاسِرٌ	وحشٌ ضارٍ |وحش مُفْتَرِس	(الكاسِر) صفة للطائر الجارح، يقال: نـَسْرٌ كاسِرٌ	وَحْشٌ كاسِرٌ	وحشٌ ضارٍ / مُفْتَرِس		
كَسَرَ القانونَ 	خَالفَ القانونَ		كَسَرَ القانونَ 	خَالفَ القانونَ		
أَكِفَّاء	أَكْفَاء |أكفياء |كُفاة	(أَكْفَاء) جَمْعُ (كُفْء)، وهو القادر على تصريف العمل. (أَكِفَّاء) جَمْعُ (كفيف)، وهو الأعمى. (أكفياء) جَمْعُ (كَفِيّ)، وهو الكافي (وجمعه كُفاة)، والذي يَكفيك ويُغنيك عن غيره	هؤلاء مدرِّسونَ أَكِفَّاء	هؤلاء مدرِّسونَ أَكْفَاء / أكفياء / كُفاة		
كَلَّفَ ب	كَلَّفَ	(كلّف) فعل متعدّ بنفسه إلى مفعولين	كَلَّفَهُ بالعمل	كَلَّفَهُ العملَ		
أصابَهُ كَلَلٌ 	أصابَهُ كَلالٌ	(الكَلَل): الحالة. يقال: مات بكَلَلِ سوءٍ	أصابَهُ كَلَلٌ 	أصابَهُ كَلالٌ		
بكلِّ معنى الكلمة 	حقّاً|جِدُّ|كُلَّ		خالدٌ شجاعٌ بكلِّ معنى الكلمة 	خالدٌ شجاعٌ حقّاً		
#بكلِّ معنى الكلمة 	 جدُّ		خالدٌ شجاعٌ بكلِّ معنى الكلمة 	خالدٌ شجاعٌ جدُّ شجاع		
# بكلِّ معنى الكلمة 	 كلَّ		خالدٌ شجاعٌ بكلِّ معنى الكلمة 	خالدٌ شجاعٌ كلَّ الشجاعة		
كما أن	ثم أن|وهو إلى ذلك| وهي إلى ذلك 	كما = (ك) التشبيه+ (ما) المصدرية. ولا تستعمل (كما) للعطف والاستئناف	كان للجهاز أثر كبير ...، كما أن استخدامه سيزداد ...	كان للجهاز أثر كبير ...، ثم إن استخدامه سيزداد ...		
#كما أن	وهو إلى ذلك| وهي إلى ذلك 		الخدمة مجانية..، كما أنها تعطي..	الخدمة مجانية..، وهي إلى ذلك تعطي..		
كما يمكن أن	ويمكن أن		يعمل الحاسوب في ...، كما يمكن أن تحتاج تجهيزاتُه إلى...	يعمل الحاسوب في ...، ويمكن أن تحتاج تجهيزاته إلى...		
بأَكْمَلِه	كُلَّه|جَميعَه|برُمَّته 		اشتراهُ بأَكْمَلِه	اشتراهُ كُلَّه / جَميعَه / برُمَّته 		
شهر كانون أول	شهر كانون الأول		شهر كانون أول	شهر كانون الأول		
شهر كانون ثان |شهر كانون ثاني	شهر كانون الثاني		شهر كانون ثان / ثاني	شهر كانون الثاني		
لَجَأَ له	لَجَأَ إليه		لَجَأَ له	لَجَأَ إليه		
لَجَمَ الجوادَ 	ألْجَمَ الجوادَ	(لَجَمَ الثوبَ): خاطَه	لَجَمَ الجوادَ 	ألْجَمَ الجوادَ		
لَصَقَ الورقَ بالصمغِ	أَلْصَقَ الورقَ بالصمغِ	(لَصِقَ الشيءُ بغيره): لَزِقَ به. وهو فعلٌ لازم	لَصَقَ الورقَ بالصمغِ	أَلْصَقَ الورقَ بالصمغِ		
يلعب دوراً رئيسياً	يؤدي دوراً رئيسياً		يلعب دوراً رئيسياً	يؤدي دوراً رئيسياً		
لَغَا المشروعَ| مشروعُ لاغٍ	أَلْغَى  المشروعَ|مشروعُ مُلْغًى	(لغا الشيءُ): بَطَلَ، وهو فعلٌ لازم.. يقال: (بَطَلَ البيعُ، فالبيع باطلٌ/لاغٍ)	لَغَا خالدٌ المشروعَ، فالمشروعُ لاغٍ	أَلْغَى خالدٌ المشروعَ، فالمشروعُ مُلْغًى		
اسْتَلْفَتَ ببلاغتِه الأنظارَ	اسْتَرْعَى ببلاغتِه الأنظارَ|لَفَتَ ببلاغتِه الأنظارَ		اسْتَلْفَتَ ببلاغتِه الأنظارَ	اسْتَرْعَى ببلاغتِه الأنظارَ		
#اسْتَلْفَتَ ببلاغتِه الأنظارَ	لَفَتَ ببلاغتِه الأنظارَ		اسْتَلْفَتَ ببلاغتِه الأنظارَ	لَفَتَ ببلاغتِه الأنظارَ		
مشهدٌ مُلْفِتٌ للنظر 	مشهدٌ لافِتٌ للنظر	الفعل هو: (لَفَت)، لا: (ألْفَتَ)	مشهدٌ مُلْفِتٌ للنظر 	مشهدٌ لافِتٌ للنظر		
لفظ أنفاسَه	انقضتْ  أنفاس| انقطعتْ أنفاسُ 		لفظ فلانٌ أنفاسَه	انقضتْ / انقطعتْ أنفاسُ فلان 		
لَقَّبُوهُ الأمينَ	لَقَّبُوهُ بالأمين		لَقَّبُوهُ الأمينَ	لَقَّبُوهُ بالأمين		
لِقَاءَ أجْر	بأجر|مُقابلَ أجر	(اللقاء): المقابَلَةُ والاستقبال	اشتغل لِقَاءَ أجْر كبير	اشتغل بأجر كبير / مُقابلَ أجر كبير		
لَمْحة عن حياة 	لَمحَة إلى حياة |نـُبذَة من حياة		لَمْحة عن حياة المؤلف	لَمحَة إلى حياة المؤلف		
#لَمْحة عن حياة	نـُبذَة من حياة		لَمْحة عن حياة المؤلف	نـُبذَة من حياة المؤلف		
تلهَّفَ على | تلهف إلى	تشوَّقَ إلى	(التلهُّف): التحسّر والتوجع	تلهَّفَ عليه /إليه 	تشوَّقَ إليه		
بما فيهم	وفيهم		رأيت الأولادَ بما فيهم خالد وصالح	رأيت الأولادَ وفيهم خالد وصالح		
بما فيها	وفيها		اشتريت الدارَ بما فيها السطح	اشتريت الدارَ وفيها السطح		
مائةُ	مئةُ		مائةُ صفحة	مئةُ صفحة		
تماثل المريضُ للشفاء	تماثل المريضُ من مرضه		تماثل المريضُ للشفاء	تماثل المريضُ من مرضه		
امْتَثـَلَ للأمرِ	امْتَثـَلَ الأمرَ	الفعل (امتثل) يتعدّى بنفسه	امْتَثـَلَ للأمرِ	امْتَثـَلَ الأمرَ		
يَتَمَحْوَرُ هذا الأمرُ حول	يدور هذا الأمرُ حول		يَتَمَحْوَرُ هذا الأمرُ حول كذا	يدور هذا الأمرُ حول كذا		
تمادى على 	تطاول على		تمادى فلان على فلان	تطاول فلان على فلان		
تمادى على ضلاله	تمادى في ضلاله	(تمادى في غيّه): لجَّ فيه وأطال مدى غيّه	تمادى فلان على ضلالـه	تمادى فلان في ضلالـه		
تمرَّس على	تمرَّس ب		تمرَّس على الأعمال الدقيقة	تمرَّس بالأعمال الدقيقة		
اسْتَمْزَجَ رأيَه	الْتَمَسَ رأيَه | طَلَبَ رأيَه		اسْتَمْزَجَ رأيَه	الْتَمَسَ رأيَه / طَلَبَ رأيَه		
مَزَحَ مع	مَازَحَ	(مزح خالدٌ مع سعيد) تعني أنهما مزحا معاً، لا أنّ خالداً هو المازِح. ولو شارك سعيدٌ في المزح لقلنا: تمازَحَا	مَزَحَ خالدٌ مع سعيدٍ	مَازَحَ خالدٌ سعيداً		
أمسى المساء	وافَى المساء | دخل المساء		أمسى المساء	وافَى المساء / دخل المساء		
يتماشى مع 	يطابق| يجاري  | يساير | يشايع	فاعل (تماشى) لا يكون إلا مثنى أو جمعاً	هذا العمل لا يتماشى مع القانون	هذا العمل لا يطابق / يجاري القانون هذا العمل لا يساير / يشايع القانون		
لا يتمشَّى مع 	ينافي		هذا العمل لا يتمشَّى مع الأخلاق	هذا العمل ينافي الأخلاق		
تَمَعَّنَ في الامر	أَمْعَنَ النظر في الأمر|أنعم النظر في الأمر	بالَغَ في استقصائه	تَمَعَّنَ في الامر	أَمْعَنَ النظر في الأمر = بالَغَ في استقصائه		
#تَمَعَّنَ في الامر	أنعم النظر في الأمر 	(تَمَعَّن): تصاغَرَ وتذلَّل, أنعم النظر في الأمر= أطال الفِكرة فيه	تَمَعَّنَ في الامر	أنعم النظر في الأمر = أطال الفِكرة فيه		
يجب إمْلاءُ الفراغ 	يجب مَلْءُ الفراغ		يجب إمْلاءُ الفراغ 	يجب مَلْءُ الفراغ		
أملأتُ الوعاءَ بالماء	ملأتُ الوعاءَ بالماء	(أَمْلأهُ): سبّب له الزكام	أملأتُ الوعاءَ بالماء	ملأتُ الوعاءَ بالماء		
ما تَمَالَكَ نفسَه أن بكى 	ما تَمَالَكَ أن بكى|لم يَمْلِكْ نفسَه أن بكى	(تمالك) فعلٌ لازم	ما تَمَالَكَ نفسَه أن بكى 	ما تَمَالَكَ أن بكى		
ما تَمَالَكَ نفسَه أن بكى 	لم يَمْلِكْ نفسَه أن بكى	(تمالك) فعلٌ لازم	ما تَمَالَكَ نفسَه أن بكى 	لم يَمْلِكْ نفسَه أن بكى		
مما دعا إلى	وهذا دعا إلى		كلفني وألحّ عليّ، مما دعاني إلى ...	كلّفني وألحّ عليّ، وهذا ما دعاني إلى..		
مُمْتَنٌّ لك|مَمْنـُونٌ لك	شَاكِرٌ لك	(الممنون): المقطوع.(امْتنَّ عليه): ذكّره بنعمته عليه وآذاه بمَنـِّهِ	أنا مُمْتَنٌّ / مَمْنـُونٌ لك	أنا شَاكِرٌ لك		
المَيِّزَة	المِيزَة |المَزِيَّة		المَيِّزَة	المِيزَة / المَزِيَّة		
نـَبَّهَ عمّا	نـَبَّهَ على ما		نـَبَّهَ الطلابَ عمّا ارتكبوه من أخطاءٍ	نـَبَّهَ الطلابَ على ما ارتكبوه من أخطاءٍ		
نـَخَرَ السُّوسُ الخشبَ	نـَخِرَ الخشبُ	(نـَخِرَ) فعلٌ لازم. (نـَخـَر): صَوَّتَ بخياشيمه. (نـَخـَرَ الحالبُ الناقَةَ): دَلَكَ مَنْخِرَها بيدِهِ لِتَدِرّ	نـَخَرَ السُّوسُ الخشبَ	نـَخِرَ الخشبُ		
الموظفون الْمُنْدَبون	الموظفون الْمَنْدُوبون|  الموظفون الْمُنْتدَبون		الموظفون الْمُنْدَبون	الموظفون الْمَنْدُوبون / الْمُنْتدَبون		
عَطاءٌ نـَذْرٌ 	عطاءٌ نـَزْرٌ	(النذْر): ما يوجبه المرء على نفسه من صدقة أو نحوها	عَطاءٌ نـَذْرٌ 	عطاءٌ نـَزْرٌ		
نـَزَفَ فلانٌ 	نـَزَفَ دماً	(نـَزَفَ الشيءُ): نـَفِدَ وفَني. (نـَزَفَ الدمُ فلاناً): أضعفَهُ بكثرة خروجه منه	نـَزَفَ فلانٌ 	نـَزَفَ فلانٌ دماً		
نـَزَلَ عند إرادتِه 	نـَزَلَ على إرادتِه		نـَزَلَ عند إرادتِه 	نـَزَلَ على إرادتِه		
تنازل عن حقِّه 	نزل عن حقِّه 		تنازل فلانٌ عن حقِّه 	نزل فلانٌ عن حقِّه 		
نـَزَّهَهُ مِن الخطأِ	نـَزَّهَهُ عن الخطأِ		نـَزَّهَهُ مِن الخطأِ	نـَزَّهَهُ عن الخطأِ		
رأيُك لا يَتَناسَبُ ورأيَه	رأيُك لا يَتَناسَبُ هو ورأيُه |رأيُك لا يَتَناسَبُ مع رأيه	ومِثل يتناسب: يتلاءم ويتنافى...	رأيُك لا يَتَناسَبُ ورأيَه	رأيُك لا يَتَناسَبُ هو ورأيُه 		
#رأيُك لا يَتَناسَبُ ورأيَه	رأيُك لا يَتَناسَبُ مع رأيه	ومِثل يتناسب: يتلاءم ويتنافى...	رأيُك لا يَتَناسَبُ ورأيَه	رأيُك لا يَتَناسَبُ مع رأيه		
اسْتَنْسَبَ الشيءَ	اسْتَحْسَنَ الشيءَ	(استنسبَ الرجُلُ): ذَكَرَ نسبَه. (استنسبَ الرجُلَ): سأله أن يذكر نسبه	اسْتَنْسَبَ الشيءَ	اسْتَحْسَنَ الشيءَ		
بالنسبة إلى | أما بالنسبة إلى	 ما يتعلق| أما ما يخصّ 		...هذا بالنسبة إلى المقررات النظرية، أما بالنسبة إلى المقررات العملية...	...هذا ما يتعلق بالمقررات النظرية، أما ما يخصّ المقررات العملية...		
أما بالنسبة إلى 	أما		أما بالنسبة إلى بناء الكلية فيجب...	أما بناء الكلية فيجب...		
بالنسبة لنا|بالنسبة له|بالنسبة لي|بالنسبة لها	لنا|له|لي|لها		هذا لا يعني شيئاً بالنسبة لنا	هذا لا يعني لنا شيئاً		
مَنْسُوبُ الماءِ	مُسْتَوَى الماءِ	(المنسوب): ذو الحسب والنسب، والشيءُ يُنسَب إلى غيره	مَنْسُوبُ الماءِ	مُسْتَوَى الماءِ		
تنسيق الآلات القديمة	استبعاد الآلات القديمة|طرح الآلات القديمة جانباً 	(نـَسَّق): نظَّم	لا بدّ من تنسيق الآلات القديمة	لا بدّ من استبعاد الآلات القديمة 		
#تنسيق الآلات القديمة	طرح الآلات القديمة جانباً	(نـَسَّق): نظَّم	لا بدّ من تنسيق الآلات القديمة	لا بدّ من طرح الآلات القديمة جانباً		
نَشِطٌ	 نشيطٌ | ناشطٌ		فلانٌ نَشِطٌ	فلانٌ نشيطٌ / ناشطٌ		
نَصُوحٌ	ناصِحٌ		رجلٌ نَصُوحٌ	رجلٌ ناصِحٌ		
نـَعَى وفاةَ	نـَعَى		نـَعَى وفاةَ صديقِه	نـَعَى صديقَه		
نغز الدابةَ	نخز الدابةَ		نغز الدابةَ بعصاه	نخز الدابةَ بعصاه		
نـَفَخَ بالنـَّاي	نفخ في النـّاي 	(الباء) تدخل على أداة النفخ، نحو: نفخ الكرة بالمنفاخ	نـَفَخَ بالنـَّاي	نفخ في النـّاي 		
ضَرَبَهُ على نافُوخِه	ضَرَبَهُ على يَافُوخِه		ضَرَبَهُ على نافُوخِه	ضَرَبَهُ على يَافُوخِه		
نـَفَذَ صَبْرُهُ	نـَفِدَ صَبْرُهُ		نـَفَذَ صَبْرُهُ	نـَفِدَ صَبْرُهُ		
تَنافَسُوا على الأمرِ	تَنافَسُوا في الأمرِ		تَنافَسُوا على الأمرِ	تَنافَسُوا في الأمرِ		
ينقصه شيء	يُعْوِزُهُ شيء		العمل جيد لا ينقصه شيء	العمل جيد لا يُعْوِزُهُ شيء		
تنقصه التجارب	تُعْوِزُهُ التجارب		هو عالِمٌ فذ ولكن تنقصه التجارب	هو عالِمٌ فذ ولكن تُعْوِزُهُ التجارب		
علامات التنقيط	علامات الترقيم		الفاصلة هي إحدى علامات التنقيط	الفاصلة هي إحدى علامات الترقيم		
دَوْرِ النَّقاهة	دَوْرِ النَّقَه	(النَّقاهة): الفهم وسرعة الفطنة	فلانٌ في دَوْرِ النَّقاهة	فلانٌ في دَوْرِ النَّقَه		
نـَمَّلَتْ رِجْلُهُ 	نـَمِلَتْ رجله| خَدِرَتْ رِجْلُهُ		نـَمَّلَتْ رِجْلُهُ 	نـَمِلَتْ / خَدِرَتْ رِجْلُهُ		
ينمّ عن 	ينمّ على		ينمّ حديثه عن علمه وذكائه	ينمّ حديثه على علمه وذكائه 		
ناهِيكَ عن 	بَلْهَ|فضلاً على	(ناهيك) كلمة تعجب واستعظام، نحو: ناهيك بخالدٍ كاتباً	يجيد لغتين، ناهِيكَ عن لغته الأصلية 	يجيد لغتين، بَلْهَ لغتَه الأصلية 		
#ناهِيكَ عن 	فضلاً على	(ناهيك) كلمة تعجب واستعظام، نحو: ناهيك بخالدٍ كاتباً	يجيد لغتين، ناهِيكَ عن لغته الأصلية 	يجيد لغتين، فضلاً على لغته الأصلية 		
يَنـُوفُ العددُ على	يُنِيفُ العدد على| يُنـَيِّفُ العددُ على	(ناف الشيءُ): علا وارتفع وأشرَف	يَنـُوفُ العددُ على كذا 	يُنِيفُ / يُنـَيِّفُ العددُ على كذا		
نـَيِّفٌ ومئةُ	 مئةُ ونـَيِّفٌ	(النـَّيِّف): الأعداد من واحد إلى ثلاثة، ويأتي بعد العقود والمئات والآلاف	جاء نـَيِّفٌ ومئةُ رجلٍ	جاء مئةُ رجلٍ ونـَيِّفٌ		
رأى مَناماً	رأى حُلُماً |رأى رؤيا	(المنام): النـَّوم، وموضِعُ النوم	رأى مَناماً	رأى حُلُماً / رؤيا		
نـَوَّهَ إلى	أشار إلى	(نـَوَّه بالشيء): أشاد به وأظهره	نـَوَّهَ إلى الشيء 	أشار إلى الشيء		
