# Manually added:

be; me; 1000000                         # p=0.999, r=0.819, 1000+953, 3grams, 2017-03-09
gauged; gauges; 1000000                 # p=1.000, r=0.395, 771+1000
gauged; gauges; 100000                  # p=0.996, r=0.453, 771+1000
gauged; gauges; 10000                   # p=0.995, r=0.519, 771+1000
gauged; gauges; 1000                    # p=0.991, r=0.596, 771+1000
gaunt; haunt; 1000000                   # p=0.992, r=0.245, 1000+999
gaunt; haunt; 100000                    # p=0.991, r=0.275, 1000+999
gaunt; taunt; 1000000                   # p=0.994, r=0.167, 1000+1000
gaunt; taunt; 10000                     # p=0.991, r=0.226, 1000+1000
gays; bays; 1000000                     # p=0.992, r=0.243, 1000+1000
gazed; fazed; 1000000                   # p=1.000, r=0.605, 321+170
gazed; fazed; 100000                    # p=1.000, r=0.654, 321+170
gazed; fazed; 10000                     # p=0.991, r=0.709, 321+170
gazetted; gazettes; 1000000             # p=1.000, r=0.525, 1000+338
gazetted; gazettes; 100000              # p=1.000, r=0.568, 1000+338
gazetted; gazettes; 10000               # p=0.999, r=0.599, 1000+338
gazetted; gazettes; 1000                # p=0.999, r=0.642, 1000+338
gazetted; gazettes; 100                 # p=0.996, r=0.691, 1000+338
gazetted; gazettes; 10                  # p=0.993, r=0.762, 1000+338
geared; teared; 1000000                 # p=0.991, r=0.720, 1000+36
geared; teared; 100000                  # p=0.991, r=0.751, 1000+36
geared; teared; 10000                   # p=0.992, r=0.790, 1000+36
gear; hear; 1000000                     # p=1.000, r=0.402, 994+1000
gear; hear; 100000                      # p=0.999, r=0.465, 994+1000
gear; hear; 10000                       # p=0.999, r=0.604, 994+1000
gear; hear; 1000                        # p=0.999, r=0.638, 994+1000
gear; hear; 100                         # p=0.997, r=0.722, 994+1000
gears; hears; 1000000                   # p=1.000, r=0.359, 997+1000
gears; hears; 100000                    # p=1.000, r=0.422, 997+1000
gears; hears; 10000                     # p=1.000, r=0.556, 997+1000
gears; hears; 1000                      # p=1.000, r=0.611, 997+1000
gears; hears; 100                       # p=0.998, r=0.674, 997+1000
gears; hears; 10                        # p=0.995, r=0.735, 997+1000
gears; hears; 10                        # p=0.994, r=0.782, 997+1000
gees; fees; 1000000                     # p=0.993, r=0.370, 1000+1000
gees; fees; 100000                      # p=0.994, r=0.396, 1000+1000
gelled; belled; 1000                    # p=1.000, r=0.163, 204+48
gelled; belled; 100                     # p=1.000, r=0.262, 204+48
gems; gens; 100000                      # p=0.995, r=0.105, 999+999
gems; gens; 10000                       # p=0.996, r=0.128, 999+999
gems; gens; 1000                        # p=0.994, r=0.161, 999+999
gems; gens; 100                         # p=0.993, r=0.214, 999+999
gender; bender; 1000000                 # p=0.998, r=0.337, 965+1000
gender; bender; 100000                  # p=0.993, r=0.360, 965+1000
gendered; tendered; 1000000             # p=0.996, r=0.363, 1000+1000
genders; tenders; 1000000               # p=1.000, r=0.254, 1000+1000
genders; tenders; 100000                # p=1.000, r=0.301, 1000+1000
genders; tenders; 10000                 # p=0.997, r=0.386, 1000+1000
genders; tenders; 1000                  # p=0.995, r=0.461, 1000+1000
generated; generates; 1000000           # p=1.000, r=0.317, 1000+1000
generated; generates; 100000            # p=1.000, r=0.348, 1000+1000
generated; generates; 10000             # p=0.999, r=0.380, 1000+1000
generated; generates; 1000              # p=0.992, r=0.423, 1000+1000
generically; genetically; 1000000       # p=0.998, r=0.262, 1000+1000
generically; genetically; 100000        # p=0.995, r=0.312, 1000+1000
generically; genetically; 10000         # p=0.991, r=0.396, 1000+1000
gens; fens; 10000                       # p=0.996, r=0.112, 999+996
germinated; germinates; 10000           # p=0.991, r=0.371, 404+159
germinates; terminates; 1000000         # p=0.996, r=0.245, 159+1000
germinates; terminates; 100000          # p=0.994, r=0.306, 159+1000
germinate; terminate; 1000000           # p=0.990, r=0.208, 1000+1000
germinate; terminate; 100000            # p=0.992, r=0.248, 1000+1000
germination; termination; 1000000       # p=0.997, r=0.167, 1000+997
gestate; testate; 1000000               # p=1.000, r=0.388, 53+76
gestate; testate; 100000                # p=1.000, r=0.434, 53+76
gestate; testate; 10000                 # p=1.000, r=0.512, 53+76
gestate; testate; 1000                  # p=1.000, r=0.558, 53+76
gestate; testate; 100                   # p=1.000, r=0.690, 53+76
gestate; testate; 10                    # p=0.990, r=0.775, 53+76
gestured; gestures; 1000000             # p=1.000, r=0.492, 182+1000
gestured; gestures; 100000              # p=0.997, r=0.558, 182+1000
gestured; gestures; 10000               # p=0.995, r=0.626, 182+1000
ghats; gnats; 1000000                   # p=0.997, r=0.441, 1000+424
ghats; gnats; 100000                    # p=0.996, r=0.518, 1000+424
ghats; gnats; 10000                     # p=0.994, r=0.603, 1000+424
ghats; gnats; 1000                      # p=0.990, r=0.645, 1000+424
gibber; gibbet; 1000000                 # p=0.993, r=0.229, 143+447
gibber; gibbet; 100000                  # p=0.995, r=0.332, 143+447
gibber; gibbet; 10000                   # p=0.992, r=0.397, 143+447
gibbering; gibbeting; 1000000           # p=1.000, r=0.246, 97+33
gibbering; gibbeting; 100000            # p=1.000, r=0.262, 97+33
gibbering; gibbeting; 10000             # p=1.000, r=0.315, 97+33
gibbering; gibbeting; 1000              # p=1.000, r=0.362, 97+33
gibes; gives; 1000000                   # p=0.994, r=0.750, 47+988
gibes; gives; 100000                    # p=0.991, r=0.788, 47+988
gibes; gives; 10000                     # p=0.991, r=0.820, 47+988
gifts; girts; 1000000                   # p=0.992, r=0.563, 999+41
gillies; gullies; 1000000               # p=0.992, r=0.123, 1000+1000
gillies; gullies; 100000                # p=0.991, r=0.172, 1000+1000
gills; fills; 1000000                   # p=0.999, r=0.377, 1000+1000
gills; fills; 100000                    # p=0.996, r=0.447, 1000+1000
gills; fills; 10000                     # p=0.996, r=0.576, 1000+1000
gills; fills; 1000                      # p=0.996, r=0.673, 1000+1000
gills; fills; 100                       # p=0.995, r=0.738, 1000+1000
gills; fills; 10                        # p=0.991, r=0.813, 1000+1000
ginned; gunned; 1000000                 # p=1.000, r=0.827, 49+1000
ginned; gunned; 100000                  # p=1.000, r=0.849, 49+1000
ginned; gunned; 10000                   # p=1.000, r=0.875, 49+1000
ginned; gunned; 1000                    # p=0.999, r=0.907, 49+1000
ginned; gunned; 100                     # p=0.998, r=0.926, 49+1000
ginned; gunned; 10                      # p=0.998, r=0.939, 49+1000
ginned; gunned; 10                      # p=0.995, r=0.959, 49+1000
ginned; tinned; 1000000                 # p=1.000, r=0.370, 49+384
ginning; gunning; 1000000               # p=0.996, r=0.190, 242+1000
ginning; gunning; 100000                # p=0.996, r=0.224, 242+1000
ginning; gunning; 10000                 # p=0.997, r=0.256, 242+1000
ginning; gunning; 1000                  # p=0.995, r=0.300, 242+1000
ginning; gunning; 100                   # p=0.993, r=0.326, 242+1000
ginning; tinning; 1000000               # p=0.991, r=0.270, 242+155
gins; bins; 1000000                     # p=0.997, r=0.266, 479+1000
gins; bins; 100000                      # p=0.998, r=0.334, 479+1000
gins; bins; 10000                       # p=0.998, r=0.400, 479+1000
gins; bins; 1000                        # p=0.991, r=0.471, 479+1000
gins; fins; 1000000                     # p=0.999, r=0.526, 479+999
gins; fins; 100000                      # p=0.998, r=0.564, 479+999
gins; fins; 10000                       # p=0.997, r=0.606, 479+999
girdled; girdles; 1000000               # p=1.000, r=0.260, 307+350
girdled; girdles; 100000                # p=1.000, r=0.307, 307+350
girdled; girdles; 10000                 # p=1.000, r=0.359, 307+350
girdled; girdles; 1000                  # p=0.996, r=0.432, 307+350
girdled; girdles; 100                   # p=0.994, r=0.498, 307+350
gist; gust; 1000000                     # p=0.998, r=0.208, 999+1000
gist; gust; 100000                      # p=0.995, r=0.300, 999+1000
gites; bites; 1000000                   # p=0.992, r=0.448, 59+997
givers; fivers; 1000000                 # p=0.995, r=0.325, 568+57
givers; fivers; 100000                  # p=0.992, r=0.419, 568+57
givers; fivers; 10000                   # p=0.993, r=0.482, 568+57
givers; fivers; 1000                    # p=0.991, r=0.534, 568+57
glace; glade; 1000000                   # p=1.000, r=0.109, 918+1000
glace; glade; 100000                    # p=0.997, r=0.155, 918+1000
glace; glade; 10000                     # p=0.992, r=0.183, 918+1000
glaces; glades; 10000                   # p=0.992, r=0.313, 143+1000
glaces; glades; 1000                    # p=0.991, r=0.395, 143+1000
glad; goad; 1000000                     # p=0.993, r=0.405, 998+983
glads; glass; 1000000                   # p=0.994, r=0.624, 21+984
glads; glass; 100000                    # p=0.993, r=0.664, 21+984
glads; glass; 10000                     # p=0.993, r=0.696, 21+984
glads; glass; 1000                      # p=0.992, r=0.733, 21+984
glads; goads; 1000000                   # p=1.000, r=0.119, 21+316
glads; goads; 100000                    # p=1.000, r=0.154, 21+316
glads; goads; 10000                     # p=1.000, r=0.181, 21+316
glads; goads; 1000                      # p=1.000, r=0.258, 21+316
glads; goads; 100                       # p=1.000, r=0.306, 21+316
glads; goads; 10                        # p=0.992, r=0.356, 21+316
glamorized; glamorizes; 1000000         # p=1.000, r=0.117, 107+21
glans; flans; 1000000                   # p=0.993, r=0.456, 728+142
glans; flans; 100000                    # p=0.993, r=0.503, 728+142
glans; flans; 10000                     # p=0.994, r=0.571, 728+142
glare; blare; 1000000                   # p=0.994, r=0.276, 998+142
glare; blare; 100000                    # p=0.990, r=0.358, 998+142
glassed; glasses; 1000000               # p=0.996, r=0.576, 227+998
glassed; glasses; 100000                # p=0.994, r=0.630, 227+998
glazed; glazes; 1000000                 # p=0.997, r=0.311, 1000+901
glazed; glazes; 100000                  # p=0.997, r=0.383, 1000+901
glazed; glazes; 10000                   # p=0.997, r=0.459, 1000+901
glazed; glazes; 1000                    # p=0.994, r=0.530, 1000+901
gleams; gleans; 1000000                 # p=1.000, r=0.159, 111+78
glee; flee; 1000000                     # p=1.000, r=0.343, 998+999
glee; flee; 100000                      # p=1.000, r=0.375, 998+999
glee; flee; 10000                       # p=1.000, r=0.400, 998+999
glee; flee; 1000                        # p=0.994, r=0.427, 998+999
glib; glob; 1000000                     # p=1.000, r=0.119, 479+394
glib; glob; 100000                      # p=1.000, r=0.150, 479+394
glimpsed; glimpses; 1000000             # p=0.995, r=0.535, 559+1000
glimpsed; glimpses; 100000              # p=0.994, r=0.624, 559+1000
glimpsed; glimpses; 10000               # p=0.992, r=0.670, 559+1000
globes; gloves; 1000000                 # p=0.991, r=0.108, 1000+1000
gloried; glories; 1000000               # p=0.999, r=0.674, 50+1000
gloried; glories; 100000                # p=0.999, r=0.719, 50+1000
gloried; glories; 10000                 # p=0.999, r=0.746, 50+1000
gloried; glories; 1000                  # p=0.998, r=0.767, 50+1000
gloried; glories; 100                   # p=0.996, r=0.807, 50+1000
gloried; glories; 10                    # p=0.991, r=0.867, 50+1000
glorified; glorifies; 10000             # p=0.991, r=0.400, 1000+366
glossed; glosses; 1000000               # p=0.994, r=0.264, 819+1000
glossed; glosses; 100000                # p=0.994, r=0.345, 819+1000
glossed; glosses; 10000                 # p=0.995, r=0.417, 819+1000
gloved; gloves; 1000000                 # p=0.998, r=0.445, 390+1000
gloved; gloves; 100000                  # p=0.999, r=0.505, 390+1000
gloved; gloves; 10000                   # p=0.996, r=0.571, 390+1000
glued; glues; 1000000                   # p=1.000, r=0.456, 1000+423
glued; glues; 100000                    # p=0.996, r=0.521, 1000+423
glued; glues; 10000                     # p=0.993, r=0.579, 1000+423
glue; flue; 1000000                     # p=0.995, r=0.310, 997+1000
glue; flue; 100000                      # p=0.992, r=0.357, 997+1000
glue; flue; 10000                       # p=0.992, r=0.420, 997+1000
glue; flue; 1000                        # p=0.991, r=0.509, 997+1000
glues; flues; 100000                    # p=1.000, r=0.140, 422+276
glues; flues; 10000                     # p=0.993, r=0.203, 422+276
glues; flues; 1000                      # p=0.991, r=0.322, 422+276
glut; gout; 1000000                     # p=0.992, r=0.197, 1000+1000
glut; gout; 100000                      # p=0.995, r=0.324, 1000+1000
gobbles; hobbles; 1000000               # p=1.000, r=0.103, 62+94
gobbles; hobbles; 100000                # p=1.000, r=0.135, 62+94
gobbles; hobbles; 10000                 # p=1.000, r=0.147, 62+94
gobbles; hobbles; 1000                  # p=1.000, r=0.250, 62+94
gobbles; hobbles; 100                   # p=1.000, r=0.327, 62+94
gobs; fobs; 1000000                     # p=1.000, r=0.102, 164+179
gobs; fobs; 100000                      # p=1.000, r=0.181, 164+179
gobs; fobs; 10000                       # p=1.000, r=0.239, 164+179
gobs; fobs; 1000                        # p=0.990, r=0.300, 164+179
gods; goes; 1000000                     # p=0.999, r=0.672, 993+994
gods; goes; 100000                      # p=0.999, r=0.694, 993+994
gods; goes; 10000                       # p=0.997, r=0.742, 993+994
gods; goes; 1000                        # p=0.993, r=0.765, 993+994
gods; goes; 100                         # p=0.991, r=0.794, 993+994
goes; foes; 1000000                     # p=0.996, r=0.489, 997+1000
goes; foes; 100000                      # p=0.994, r=0.533, 997+1000
goes; foes; 10000                       # p=0.991, r=0.578, 997+1000
goggled; goggles; 1000000               # p=1.000, r=0.377, 28+1000
goggled; goggles; 100000                # p=1.000, r=0.454, 28+1000
goggled; goggles; 10000                 # p=1.000, r=0.558, 28+1000
goggled; goggles; 1000                  # p=0.998, r=0.641, 28+1000
goggled; goggles; 100                   # p=0.997, r=0.711, 28+1000
goggled; goggles; 10                    # p=0.996, r=0.831, 28+1000
goggled; toggled; 1000000               # p=1.000, r=0.415, 28+206
goggled; toggled; 100000                # p=1.000, r=0.470, 28+206
goggled; toggled; 10000                 # p=1.000, r=0.581, 28+206
goggled; toggled; 1000                  # p=1.000, r=0.658, 28+206
goggled; toggled; 100                   # p=1.000, r=0.692, 28+206
goggled; toggled; 10                    # p=0.995, r=0.791, 28+206
goggles; toggles; 1000000               # p=1.000, r=0.224, 1000+175
goggles; toggles; 100000                # p=1.000, r=0.275, 1000+175
goggles; toggles; 10000                 # p=0.998, r=0.354, 1000+175
goggles; toggles; 1000                  # p=0.990, r=0.442, 1000+175
gold; bold; 1000000                     # p=0.995, r=0.111, 948+979
golds; golfs; 100000                    # p=0.991, r=0.200, 1000+73
golfed; goofed; 1000000                 # p=1.000, r=0.177, 34+169
golfed; goofed; 100000                  # p=1.000, r=0.271, 34+169
golfed; goofed; 10000                   # p=1.000, r=0.355, 34+169
golfed; goofed; 1000                    # p=1.000, r=0.424, 34+169
golfed; goofed; 100                     # p=1.000, r=0.493, 34+169
golfing; goofing; 1000000               # p=1.000, r=0.242, 1000+257
golfing; goofing; 100000                # p=0.997, r=0.314, 1000+257
golfing; goofing; 10000                 # p=0.998, r=0.394, 1000+257
golfing; goofing; 1000                  # p=0.995, r=0.494, 1000+257
golfing; goofing; 100                   # p=0.995, r=0.597, 1000+257
golfing; goofing; 10                    # p=0.994, r=0.692, 1000+257
golfs; goofs; 10000                     # p=1.000, r=0.131, 73+240
golfs; goofs; 1000                      # p=1.000, r=0.163, 73+240
golfs; goofs; 100                       # p=1.000, r=0.211, 73+240
gone; bone; 1000000                     # p=0.998, r=0.259, 991+997
gone; bone; 100000                      # p=0.997, r=0.336, 991+997
gone; bone; 10000                       # p=0.991, r=0.396, 991+997
goners; toners; 1000000                 # p=1.000, r=0.140, 50+114
goners; toners; 100000                  # p=1.000, r=0.195, 50+114
goners; toners; 10000                   # p=1.000, r=0.256, 50+114
goners; toners; 1000                    # p=1.000, r=0.354, 50+114
gonks; honks; 1000000                   # p=1.000, r=0.233, 33+83
gonks; honks; 100000                    # p=1.000, r=0.284, 33+83
gonks; honks; 10000                     # p=1.000, r=0.310, 33+83
good; gold; 1000000                     # p=0.997, r=0.154, 997+949
gooey; hooey; 10000                     # p=1.000, r=0.134, 339+124
goofed; hoofed; 1000000                 # p=1.000, r=0.397, 169+290
goofed; hoofed; 100000                  # p=1.000, r=0.444, 169+290
goofed; hoofed; 10000                   # p=0.996, r=0.536, 169+290
goofed; hoofed; 1000                    # p=0.996, r=0.595, 169+290
goofed; hoofed; 100                     # p=0.991, r=0.684, 169+290
goofed; hoofed; 10                      # p=0.992, r=0.769, 169+290
goofing; hoofing; 1000000               # p=1.000, r=0.336, 257+20
goofing; hoofing; 100000                # p=1.000, r=0.401, 257+20
goofing; hoofing; 10000                 # p=1.000, r=0.448, 257+20
goofing; hoofing; 1000                  # p=1.000, r=0.523, 257+20
goofing; hoofing; 100                   # p=0.995, r=0.700, 257+20
gore; bore; 1000000                     # p=0.995, r=0.197, 993+997
gored; gores; 1000000                   # p=0.992, r=0.154, 285+503
gored; gores; 100000                    # p=0.993, r=0.181, 285+503
gorged; forged; 1000000                 # p=0.992, r=0.318, 166+1000
gorged; gorges; 1000000                 # p=0.995, r=0.180, 166+1000
gorged; gorges; 100000                  # p=0.993, r=0.231, 166+1000
gorged; gorges; 10000                   # p=0.992, r=0.314, 166+1000
gorged; gorges; 1000                    # p=0.991, r=0.361, 166+1000
gorged; gorges; 100                     # p=0.992, r=0.418, 166+1000
gorging; forging; 1000000               # p=1.000, r=0.345, 78+1000
gorging; forging; 100000                # p=0.998, r=0.452, 78+1000
gorging; forging; 10000                 # p=0.997, r=0.560, 78+1000
gorging; forging; 1000                  # p=0.993, r=0.661, 78+1000
gorging; forging; 100                   # p=0.991, r=0.728, 78+1000
goring; boring; 1000000                 # p=0.992, r=0.264, 999+998
goring; boring; 100000                  # p=0.990, r=0.305, 999+998
gouged; gouges; 1000000                 # p=0.994, r=0.230, 450+316
gouged; gouges; 100000                  # p=0.995, r=0.260, 450+316
gouged; gouges; 10000                   # p=0.992, r=0.311, 450+316
grab; gran; 1000000                     # p=0.995, r=0.286, 995+987
grab; gran; 100000                      # p=0.995, r=0.313, 995+987
grab; gran; 10000                       # p=0.996, r=0.344, 995+987
grab; gran; 1000                        # p=0.993, r=0.374, 995+987
grab; gran; 100                         # p=0.990, r=0.406, 995+987
graced; graces; 1000000                 # p=0.998, r=0.282, 1000+1000
graced; graces; 100000                  # p=0.999, r=0.343, 1000+1000
graced; graces; 10000                   # p=0.999, r=0.412, 1000+1000
graced; graces; 1000                    # p=0.998, r=0.477, 1000+1000
graced; graded; 1000000                 # p=0.998, r=0.222, 1000+1000
graced; graded; 100000                  # p=0.998, r=0.292, 1000+1000
graced; graded; 10000                   # p=0.995, r=0.379, 1000+1000
graced; graded; 1000                    # p=0.991, r=0.482, 1000+1000
graced; graved; 1000000                 # p=0.998, r=0.467, 1000+26
graced; graved; 100000                  # p=0.998, r=0.530, 1000+26
graced; graved; 10000                   # p=0.998, r=0.584, 1000+26
graced; graved; 1000                    # p=0.996, r=0.696, 1000+26
graced; graved; 100                     # p=0.995, r=0.764, 1000+26
graced; graved; 10                      # p=0.995, r=0.843, 1000+26
graced; traced; 1000000                 # p=0.994, r=0.355, 1000+1000
graced; traced; 100000                  # p=0.991, r=0.383, 1000+1000
grace; grade; 1000000                   # p=0.997, r=0.310, 979+976
grace; grade; 100000                    # p=0.996, r=0.359, 979+976
grace; grade; 10000                     # p=0.994, r=0.419, 979+976
graces; braces; 1000000                 # p=0.997, r=0.161, 1000+1000
graces; braces; 100000                  # p=0.993, r=0.211, 1000+1000
graces; braces; 10000                   # p=0.992, r=0.261, 1000+1000
graces; grades; 1000000                 # p=0.996, r=0.235, 1000+993
graces; grades; 100000                  # p=0.996, r=0.285, 1000+993
graces; grades; 10000                   # p=0.992, r=0.357, 1000+993
graded; grades; 1000000                 # p=0.995, r=0.374, 1000+995
graded; grades; 100000                  # p=0.992, r=0.455, 1000+995
graded; grades; 10000                   # p=0.993, r=0.526, 1000+995
graders; traders; 1000000               # p=0.999, r=0.376, 1000+1000
graders; traders; 100000                # p=0.999, r=0.516, 1000+1000
graders; traders; 10000                 # p=0.998, r=0.742, 1000+1000
graders; traders; 1000                  # p=0.996, r=0.792, 1000+1000
graders; traders; 100                   # p=0.995, r=0.830, 1000+1000
graders; traders; 10                    # p=0.995, r=0.874, 1000+1000
grads; brads; 1000                      # p=1.000, r=0.103, 451+45
graduated; graduates; 1000000           # p=0.994, r=0.340, 999+998
graduated; graduates; 100000            # p=0.995, r=0.391, 999+998
graduated; graduates; 10000             # p=0.994, r=0.429, 999+998
grained; trained; 1000000               # p=0.997, r=0.652, 1000+1000
grained; trained; 100000                # p=0.996, r=0.705, 1000+1000
grained; trained; 10000                 # p=0.995, r=0.766, 1000+1000
grained; trained; 1000                  # p=0.993, r=0.826, 1000+1000
grains; trains; 1000000                 # p=1.000, r=0.168, 1000+995
grains; trains; 100000                  # p=0.995, r=0.208, 1000+995
grains; trains; 10000                   # p=0.993, r=0.270, 1000+995
gram; gran; 1000000                     # p=0.998, r=0.305, 1000+987
gram; gran; 100000                      # p=0.998, r=0.326, 1000+987
gram; gran; 10000                       # p=0.997, r=0.342, 1000+987
gram; gran; 1000                        # p=0.995, r=0.375, 1000+987
gram; gran; 100                         # p=0.994, r=0.406, 1000+987
gran; bran; 1000000                     # p=0.997, r=0.154, 987+1000
gran; bran; 100000                      # p=0.997, r=0.178, 987+1000
gran; bran; 10000                       # p=0.998, r=0.210, 987+1000
gran; bran; 1000                        # p=0.996, r=0.242, 987+1000
grander; grandee; 1000000               # p=1.000, r=0.554, 1000+818
grander; grandee; 100000                # p=1.000, r=0.599, 1000+818
grander; grandee; 10000                 # p=1.000, r=0.674, 1000+818
grander; grandee; 1000                  # p=0.998, r=0.739, 1000+818
grander; grandee; 100                   # p=0.995, r=0.786, 1000+818
grassed; grasses; 1000000               # p=0.994, r=0.530, 754+1000
grated; grates; 1000000                 # p=0.997, r=0.380, 1000+530
grated; grates; 100000                  # p=0.997, r=0.423, 1000+530
grated; grates; 10000                   # p=0.997, r=0.491, 1000+530
grated; grates; 1000                    # p=0.994, r=0.546, 1000+530
gratified; gratifies; 1000000           # p=0.996, r=0.692, 373+26
gratified; gratifies; 100000            # p=0.997, r=0.724, 373+26
gratified; gratifies; 10000             # p=0.997, r=0.759, 373+26
gratified; gratifies; 1000              # p=0.997, r=0.802, 373+26
gratified; gratifies; 100               # p=0.994, r=0.820, 373+26
gratified; gratifies; 10                # p=0.991, r=0.847, 373+26
gravel; travel; 1000000                 # p=0.991, r=0.228, 998+994
gravitated; gravitates; 100000          # p=1.000, r=0.137, 771+108
gravitated; gravitates; 1000            # p=0.990, r=0.228, 771+108
grayed; grated; 1000000                 # p=1.000, r=0.510, 136+1000
grayed; grated; 100000                  # p=1.000, r=0.570, 136+1000
grayed; grated; 10000                   # p=1.000, r=0.625, 136+1000
grayed; grated; 1000                    # p=1.000, r=0.689, 136+1000
grayed; grated; 100                     # p=1.000, r=0.757, 136+1000
grayer; grater; 1000000                 # p=1.000, r=0.122, 178+217
grayer; grater; 100000                  # p=1.000, r=0.175, 178+217
grayer; grater; 10000                   # p=1.000, r=0.208, 178+217
grayer; grater; 1000                    # p=1.000, r=0.294, 178+217
grayer; grater; 100                     # p=0.992, r=0.327, 178+217
graying; grating; 1000000               # p=0.998, r=0.411, 189+999
graying; grating; 100000                # p=0.998, r=0.492, 189+999
graying; grating; 10000                 # p=0.997, r=0.560, 189+999
graying; grating; 1000                  # p=0.993, r=0.637, 189+999
grays; brays; 100000                    # p=0.992, r=0.109, 1000+160
graze; braze; 1000000                   # p=1.000, r=0.593, 1000+101
graze; braze; 100000                    # p=0.999, r=0.647, 1000+101
graze; braze; 10000                     # p=0.999, r=0.698, 1000+101
graze; braze; 1000                      # p=0.998, r=0.753, 1000+101
graze; braze; 100                       # p=0.992, r=0.812, 1000+101
graze; braze; 10                        # p=0.992, r=0.852, 1000+101
grazed; brazed; 1000000                 # p=0.996, r=0.403, 1000+204
grazed; brazed; 100000                  # p=0.997, r=0.500, 1000+204
grazed; brazed; 10000                   # p=0.994, r=0.568, 1000+204
grazed; brazed; 1000                    # p=0.992, r=0.651, 1000+204
greased; greases; 1000000               # p=0.995, r=0.270, 534+285
greased; greases; 100000                # p=0.996, r=0.335, 534+285
greased; greases; 10000                 # p=0.997, r=0.416, 534+285
greased; greases; 1000                  # p=0.995, r=0.487, 534+285
greased; greases; 100                   # p=0.992, r=0.579, 534+285
grilled; grilles; 1000000               # p=0.996, r=0.295, 1000+837
grilled; grilles; 100000                # p=0.997, r=0.348, 1000+837
grilled; grilles; 10000                 # p=0.996, r=0.430, 1000+837
grilled; trilled; 1000000               # p=0.997, r=0.324, 1000+169
grilled; trilled; 100000                # p=0.994, r=0.399, 1000+169
grilled; trilled; 10000                 # p=0.991, r=0.479, 1000+169
grills; trills; 100000                  # p=0.994, r=0.116, 1000+523
grills; trills; 10000                   # p=0.991, r=0.151, 1000+523
grins; grind; 1000000                   # p=0.996, r=0.208, 312+1000
grins; grind; 100000                    # p=0.994, r=0.236, 312+1000
griped; groped; 100000                  # p=1.000, r=0.142, 33+157
gripe; grope; 1000000                   # p=1.000, r=0.125, 598+179
gripe; grope; 100000                    # p=0.993, r=0.194, 598+179
gripe; grope; 10000                     # p=0.990, r=0.263, 598+179
griper; groper; 1000                    # p=1.000, r=0.108, 55+103
griper; groper; 100                     # p=1.000, r=0.127, 55+103
gripped; tripped; 1000000               # p=0.994, r=0.170, 1000+998
gripped; tripped; 100000                # p=0.994, r=0.246, 1000+998
gripped; tripped; 10000                 # p=0.996, r=0.340, 1000+998
grippers; trippers; 1000000             # p=0.993, r=0.446, 158+495
grippers; trippers; 100000              # p=0.994, r=0.501, 158+495
grippers; trippers; 10000               # p=0.995, r=0.557, 158+495
gripping; tripping; 100000              # p=0.996, r=0.126, 1000+999
gripping; tripping; 10000               # p=0.997, r=0.186, 1000+999
gritty; grotty; 1000000                 # p=0.997, r=0.320, 1000+32
gritty; grotty; 100000                  # p=0.995, r=0.391, 1000+32
gritty; grotty; 10000                   # p=0.996, r=0.454, 1000+32
gritty; grotty; 1000                    # p=0.994, r=0.521, 1000+32
grooved; grooves; 1000000               # p=0.998, r=0.210, 1000+1000
grooved; grooves; 100000                # p=0.998, r=0.282, 1000+1000
grooved; grooves; 10000                 # p=0.997, r=0.361, 1000+1000
grooved; grooves; 1000                  # p=0.995, r=0.429, 1000+1000
grooved; grooves; 100                   # p=0.990, r=0.511, 1000+1000
gropes; tropes; 1000000                 # p=0.996, r=0.207, 71+1000
gropes; tropes; 100000                  # p=0.996, r=0.251, 71+1000
gropes; tropes; 10000                   # p=0.997, r=0.321, 71+1000
gropes; tropes; 1000                    # p=0.995, r=0.374, 71+1000
gropes; tropes; 100                     # p=0.992, r=0.455, 71+1000
gropes; tropes; 10                      # p=0.992, r=0.570, 71+1000
grope; trope; 1000000                   # p=0.997, r=0.325, 179+1000
grope; trope; 100000                    # p=0.994, r=0.407, 179+1000
grope; trope; 10000                     # p=0.993, r=0.466, 179+1000
groupers; troupers; 1000000             # p=1.000, r=0.145, 299+88
groupers; troupers; 100000              # p=1.000, r=0.191, 299+88
grouping; trouping; 1000000             # p=0.999, r=0.666, 999+24
grouping; trouping; 100000              # p=0.993, r=0.715, 999+24
grouping; trouping; 10000               # p=0.993, r=0.747, 999+24
grow; brow; 1000000                     # p=0.998, r=0.476, 996+1000
grow; brow; 100000                      # p=0.997, r=0.512, 996+1000
grow; brow; 10000                       # p=0.997, r=0.579, 996+1000
grow; brow; 1000                        # p=0.994, r=0.628, 996+1000
grow; brow; 100                         # p=0.991, r=0.685, 996+1000
grows; brows; 1000000                   # p=0.999, r=0.722, 1000+300
grows; brows; 100000                    # p=0.995, r=0.741, 1000+300
grows; brows; 10000                     # p=0.994, r=0.767, 1000+300
grows; brows; 1000                      # p=0.992, r=0.802, 1000+300
grows; brows; 100                       # p=0.991, r=0.831, 1000+300
grows; gross; 1000000                   # p=0.999, r=0.522, 999+996
grows; gross; 100000                    # p=0.999, r=0.549, 999+996
grows; gross; 10000                     # p=0.999, r=0.579, 999+996
grows; gross; 1000                      # p=0.998, r=0.614, 999+996
grows; gross; 100                       # p=0.998, r=0.645, 999+996
grows; gross; 10                        # p=0.996, r=0.676, 999+996
