# v_zna
#згідно v_rod
обстояти v_zna:v_oru
обстрибати v_zna:v_oru:v_dav
обстригати v_zna:v_oru:v_dav
обстригатися v_oru
обстригти v_zna:v_oru:v_dav
обстригтися v_oru
обстрілювати v_zna:v_oru:v_dav
обстрілюватися v_oru
обстріляти v_zna:v_oru:v_dav
обстругати v_zna:v_oru:v_dav
обстругувати v_zna:v_oru:v_dav
обстругуватися v_oru
обстукати v_zna:v_oru:v_dav
обстукувати v_zna:v_oru:v_dav
обступати v_zna:v_oru:v_dav
обступити v_zna:v_oru:v_dav
обстьобати v_zna:v_oru:v_dav
обстьобувати v_zna:v_oru:v_dav
обсувати v_zna:v_oru:v_dav
обсуватися v_oru
обсудити v_zna:v_oru
обсуждати v_zna:v_oru
обсушити v_zna:v_oru:v_dav
обсушитися v_oru
обсушувати v_zna:v_oru:v_dav
обсушуватися v_oru
обсцикати v_zna:v_oru:v_dav
обтекти v_zna
обтерти v_zna:v_oru:v_dav
обтертися v_oru
обтесати v_zna:v_oru:v_dav
обтесатися v_oru
обтесувати v_zna:v_oru:v_dav
обтесуватися v_oru
обтикати v_zna:v_oru:v_dav
обтикати v_zna:v_oru:v_dav
обтикатися v_oru
обтикатися v_oru
обтинати v_zna:v_oru:v_dav
обтинатися v_oru
обтиньковувати v_zna:v_oru:v_dav
обтиньковуватися v_oru
обтинькувати v_zna:v_oru:v_dav
обтирати v_zna:v_oru:v_dav
обтиратися v_oru
обтискати v_zna:v_oru:v_dav
обтискатися v_oru
обтискувати v_zna:v_oru:v_dav
обтискуватися v_oru
обтиснути v_zna:v_oru:v_dav
обтиснутися v_oru
обтікати v_zna:v_oru:v_dav
обтіпати v_zna:v_oru:v_dav
обтіпувати v_zna:v_oru:v_dav
обтіпуватися v_oru
обтісувати v_zna:v_oru:v_dav
обтісуватися v_oru
обтопити v_zna:v_oru:v_dav
обтоплювати v_zna:v_oru:v_dav
обтоптати v_zna:v_oru:v_dav
обтоптувати v_zna:v_oru:v_dav
обточити v_zna:v_oru:v_dav
обточувати v_zna:v_oru:v_dav
обточуватися v_oru
обтріпати v_zna:v_oru:v_dav
обтріпатися v_oru
обтріпувати v_zna:v_oru:v_dav
обтріпуватися v_oru
обтрусити v_zna:v_oru:v_dav
обтруситися v_oru
обтрушувати v_zna:v_oru:v_dav
обтрушуватися v_oru
обтрясати v_zna:v_oru:v_dav
обтрясти v_zna:v_oru:v_dav
обтулити v_zna:v_oru:v_dav
обтулитися v_oru
обтулювати v_zna:v_oru:v_dav
обтупувати v_oru
обтягати v_zna:v_oru:v_dav
обтягатися v_oru
обтягнути v_zna:v_oru:v_dav
обтягнутися v_oru
обтягти v_zna:v_oru:v_dav
обтягтися v_oru
обтягувати v_zna:v_oru:v_dav
обтягуватися v_oru
обтяжати v_zna:v_oru:v_dav
обтяженіший v_oru
обтяжити v_zna:v_oru:v_dav
обтяжитися v_oru
обтяжувати v_zna:v_oru:v_dav
обтяжуватися v_oru
обтяти v_zna:v_oru:v_dav
обувати v_zna:v_oru:v_dav
обуватися v_oru
обумовити v_zna:v_oru:v_dav
обумовлювати v_zna:v_oru:v_dav
обумовлюватися v_oru
обурити v_zna:v_oru
обуритися v_oru:v_dav
обурювати v_zna:v_oru
обурюватися v_oru:v_dav
обути v_zna
обхаркати v_zna:v_oru:v_dav
обхитрити v_zna
обхитрувати v_zna
обхлюпнути v_zna:v_oru:v_dav
обхлюпувати v_zna:v_oru:v_dav
обхлюпуватися v_oru
обходити v_zna:v_oru
обходити v_zna:v_oru
обходитися v_oru:v_dav
обхопити v_zna:v_oru:v_dav
обхоплювати v_zna:v_oru:v_dav
обхоплюватися v_oru
обцвяхувати v_zna:v_oru:v_dav
обціловувати v_zna:v_oru:v_dav
обцілувати v_zna:v_oru:v_dav
обцукровувати v_zna:v_oru:v_dav
обцукровуватися v_oru
обцукрувати v_zna:v_oru:v_dav
обцукруватися v_oru
обцяцькувати v_zna:v_oru:v_dav
обчесати v_zna:v_oru:v_dav
обчикрижити v_zna:v_oru:v_dav
обчикрижитися v_oru
обчикрижувати v_zna:v_oru:v_dav
обчислити v_zna:v_oru:v_dav
обчислитися v_oru
обчислювати v_zna:v_oru:v_dav
обчислюватися v_oru
обчисляти v_zna:v_oru:v_dav
обчислятися v_oru
обчистити v_zna:v_oru:v_dav
обчиститися v_oru
обчищати v_zna:v_oru:v_dav
обчищатися v_oru
обчіплювати v_zna:v_oru:v_dav
обчіплюватися v_oru
обчіпляти v_zna:v_oru:v_dav
обчіплятися v_oru
обчісувати v_zna:v_oru:v_dav
обчовгати v_zna:v_oru:v_dav
обчовгатися v_oru
обчорнити v_zna:v_oru:v_dav
обчухати v_zna:v_oru:v_dav
обчухрати v_zna:v_oru:v_dav
обчухрувати v_zna:v_oru:v_dav
обшалювати v_zna:v_oru:v_dav
обшалюватися v_oru
обшальовувати v_zna:v_oru:v_dav
обшальовуватися v_oru
обшарити v_zna:v_oru:v_dav
обшарпати v_zna:v_oru:v_dav
обшарпатися v_oru
обшарпувати v_zna:v_oru:v_dav
обшарпуватися v_oru
обшарювати v_zna:v_oru:v_dav
обшарюватися v_oru
обшахраювати v_zna
обшахровувати v_zna
обшахрувати v_zna
обшеретувати v_zna:v_oru:v_dav
обшерхнути v_zna:v_oru:v_dav
обшивати v_zna:v_oru:v_dav
обшиватися v_oru
обшити v_zna:v_oru:v_dav
обшитися v_oru
обшкрібати v_zna:v_oru:v_dav
обшкрябати v_zna:v_oru:v_dav
обшкрябувати v_zna:v_oru:v_dav
обшліфувати v_zna:v_oru:v_dav
обшліфуватися v_oru
обшмарувати v_zna:v_oru:v_dav
обшмаруватися v_oru
обшматувати v_zna:v_oru:v_dav
обшморгати v_zna:v_oru:v_dav
обшпарити v_zna:v_oru:v_dav
обшпарювати v_zna:v_oru:v_dav
обшукати v_zna
обшуковувати v_zna:v_oru
обшукувати v_zna:v_oru:v_dav
обшукуватися v_oru
общипати v_zna:v_oru:v_dav
общипувати v_zna:v_oru:v_dav
общипуватися v_oru
овівати v_zna:v_oru:v_dav
овіватися v_oru
овіювати v_zna:v_oru:v_dav
овіяти v_zna:v_oru:v_dav
оволодівати v_oru
оволодіти v_oru
оганьбити v_zna:v_oru
огидати v_oru:v_dav
огиднути v_oru:v_dav
огинати v_zna:v_oru:v_dav
огинатися v_oru
огірчити v_zna:v_oru
огледіти v_zna:v_oru:v_dav
оглушати v_zna:v_oru:v_dav
оглушити v_zna:v_oru:v_dav
оглушувати v_zna:v_oru:v_dav
оглушуватися v_oru
оглядати v_zna:v_oru:v_dav
оглядіти v_zna:v_oru
оглянути v_zna:v_oru:v_dav
оговорити v_zna:v_oru:v_dav
оговорювати v_zna:v_oru:v_dav
оговорюватися v_oru
оголити v_zna:v_oru:v_dav
оголитися v_oru
оголосити v_zna:v_oru:v_dav
оголоситися v_oru
оголошений v_dav
оголошувати v_zna:v_oru:v_dav
оголошуватися v_oru
оголювати v_zna:v_oru:v_dav
оголюватися v_oru
оголяти v_zna:v_oru:v_dav
оголятися v_oru
огорнути v_zna:v_oru:v_dav
огорнутися v_oru
огороджувати v_zna:v_oru:v_dav
огороджуватися v_oru
огородити v_zna:v_oru:v_dav
огородитися v_oru
огортати v_zna:v_oru:v_dav
огортатися v_oru
оготівковувати v_zna:v_oru
оготівковуватися v_oru
ограбувати v_zna
огранити v_zna:v_oru:v_dav
огранитися v_oru
ограновувати v_zna:v_oru:v_dav
ограновуватися v_oru
огранувати v_zna:v_oru:v_dav
огрануватися v_oru
огранювати v_zna:v_oru:v_dav
огребти v_zna:v_oru:v_dav
огризати v_zna:v_oru:v_dav
огризатися v_oru
огризнутися v_oru
огризти v_zna:v_oru:v_dav
огрібати v_zna:v_oru:v_dav
огрівати v_zna:v_oru:v_dav
огріватися v_oru
огріти v_zna:v_oru:v_dav
огрітися v_oru
огрублювати v_zna:v_oru:v_dav
огуджувати v_zna:v_oru:v_dav
огудити v_zna:v_oru:v_dav
од'єднатися v_oru
од'їжджати v_oru
од v_rod
одбивати v_zna:v_oru:v_dav
одбиватися v_oru
одбирати v_zna:v_oru:v_dav
одбити v_zna:v_oru:v_dav
одбитися v_oru
одбігати v_oru
одбілити v_zna:v_oru:v_dav
одбілитися v_oru
одборонити v_zna:v_oru:v_dav
одборонитися v_oru
одбороняти v_zna:v_oru:v_dav
одборонятися v_oru
одбрити v_zna:v_oru
одбувати v_zna:v_oru:v_dav
одбудовувати v_zna:v_oru
одбудувати v_zna:v_oru
одбути v_zna:v_oru:v_dav
одв'язати v_zna:v_oru:v_dav
одв'язувати v_zna:v_oru
одвадити v_zna:v_oru
одважити v_zna
одважувати v_zna
одвалити v_zna:v_oru
одварити v_zna
одвезти v_zna:v_oru:v_dav
одвернути v_zna:v_oru:v_dav
одвернутися v_oru
одвертати v_zna:v_oru:v_dav
одвертатися v_oru
одвести v_zna:v_oru:v_dav
одвикати v_inf
одвикнути v_inf
одвідати v_zna:v_oru
одвідувати v_zna:v_oru
одвісити v_zna:v_oru:v_dav
одвітити v_dav:v_oru
одвітувати v_dav:v_oru
одвічати v_dav:v_oru
одвіювати v_zna:v_oru
одвіяти v_zna:v_oru
одводити v_zna:v_oru
одводитися v_oru
одвозити v_zna:v_oru:v_dav
одвойовувати v_zna:v_oru
одволікати v_inf:v_zna:v_oru
одволікти v_inf:v_zna:v_oru
одволожити v_zna:v_oru
одволожувати v_zna:v_oru
одгадати v_zna
одгадувати v_zna
одганяти v_zna:v_oru
одгвинтити v_zna:v_oru
одгвинчувати v_zna:v_oru
одгетькатися v_oru
одгетькувати v_zna:v_oru
одгетькуватися v_oru
одговорити v_zna:v_oru
одговорювати v_zna:v_oru
одговоряти v_zna:v_oru
одгодовувати v_zna:v_oru
одгонити v_zna:v_oru
одгорнути v_zna:v_oru
одгороджувати v_zna:v_oru
одгороджуватися v_oru
одгородити v_zna:v_oru
одгородитися v_oru
одгортати v_zna:v_oru
одгребти v_zna:v_oru
одгребтися v_oru
одгризати v_zna:v_oru
одгризти v_zna:v_oru
одгрібати v_zna:v_oru
одгукнутися v_oru
одгукуватися v_oru
одгуляти v_zna
оддавати v_zna:v_oru:v_dav
оддаватися v_dav
оддавити v_zna:v_oru:v_dav
оддаляти v_zna:v_oru
оддалятися v_oru
оддарувати v_zna:v_dav
оддати v_zna:v_oru:v_dav
оддатися v_dav
оддерти v_zna:v_oru:v_dav
оддирати v_zna:v_oru:v_dav
одділити v_zna:v_oru
одділитися v_oru
одділяти v_zna:v_oru
одділятися v_oru
оддубасити v_zna:v_oru
оддухопелити v_zna:v_oru
оддячити v_dav:v_oru
оддячувати v_dav:v_oru
одержавити v_zna:v_oru:v_dav
одержавлювати v_zna:v_oru:v_dav
одержати v_zna:v_oru
одержимий v_oru
одержувати v_zna:v_oru
одержуватися v_oru
одерновувати v_zna:v_oru:v_dav
одернувати v_zna:v_oru:v_dav
оджати v_zna:v_oru:v_dav
оджатися v_zna:v_oru:v_dav
оджбурнути v_zna:v_oru
одживити v_zna:v_oru
оджимати v_zna:v_oru
оджити v_zna:v_oru
одзвітувати v_dav:v_oru
одзиватися v_oru
одзначати v_zna:v_oru
одзначатися v_oru
одзначити v_zna:v_oru
одзначити v_zna:v_oru
одзначувати v_zna:v_oru
одзняти v_zna:v_oru
одичавлювати v_zna:v_oru:v_dav
одібрати v_zna
одівати v_zna:v_oru:v_dav
одігнати v_zna:v_oru:v_dav
одігнути v_zna:v_oru
одігравати v_zna:v_oru
одіграти v_zna:v_oru
одігратися v_oru
одігрівати v_zna:v_oru
одігріти v_zna:v_oru
одігрітися v_oru
одігруватися v_oru
одідрати v_zna:v_oru
одізватися v_oru:v_dav
одіймати v_zna:v_oru
одійняти v_zna:v_oru
одікласти v_zna:v_oru
одімкнути v_zna:v_oru:v_dav
одімкнутися v_oru
одімстити v_dav:v_oru
одімщати v_dav:v_oru
одіп'яти v_zna:v_oru:v_dav
одіпнути v_zna:v_oru:v_dav
одіпрати v_zna:v_oru
одіпхнути v_zna:v_oru:v_dav
одірвати v_zna:v_oru:v_dav
одіслати v_zna:v_oru
одіти v_zna:v_oru:v_dav
одітися v_oru
одіткнути v_zna:v_oru
одітнути v_zna:v_oru:v_dav
одказати v_zna:v_dav:v_oru
одказувати v_zna:v_oru:v_dav
одкарбувати v_zna:v_oru
одкачати v_zna:v_oru
одкачувати v_zna:v_oru
одкидати v_zna:v_oru:v_dav
одкидатися v_oru
одкинути v_zna:v_oru:v_dav
одкинутися v_oru
одкладати v_zna:v_oru
одкладатися v_oru
одкласти v_zna
одкликати v_zna:v_oru
одкликатися v_oru
одколоти v_zna:v_oru
одколотися v_oru
одколошматити v_zna:v_oru
одколупнути v_zna:v_oru
одколупувати v_zna:v_oru
одколювати v_zna:v_oru
одкопати v_zna:v_oru
одкопувати v_zna:v_oru
одкоркувати v_zna:v_oru
одкотити v_zna:v_oru
одкотитися v_oru
одкочувати v_zna:v_oru
одкочувати v_zna:v_oru
одкочуватися v_oru
одкраювати v_zna:v_oru
одкраяти v_zna:v_oru
одкреслити v_zna:v_oru
одкривати v_zna:v_oru
одкриватися v_oru
одкрити v_zna:v_oru
одкритися v_oru
одкрутити v_zna:v_oru
одкрутитися v_oru
одкручувати v_zna:v_oru
одкупатися v_oru
одкупити v_zna:v_oru
одкупитися v_oru
одкупляти v_zna:v_oru
одкуплятися v_oru
одкуповуватися v_oru
одкусити v_zna:v_oru:v_dav
одкушувати v_zna:v_oru
одламати v_zna:v_oru
одламувати v_zna:v_oru
одлетіти v_oru
одливати v_zna:v_oru
одлити v_zna:v_oru:v_dav
одлічити v_zna:v_oru:v_dav
одломлювати v_zna:v_oru
одлупити v_zna:v_oru
одлупцювати v_zna:v_oru
одлучати v_zna:v_oru
одлучити v_zna:v_oru
одлюбити v_inf
одлякати v_zna:v_oru
одлякувати v_zna:v_oru
одмалювати v_zna:v_oru
одмахати v_zna:v_oru
одмахнути v_zna:v_oru
одмахнутися v_oru
одмахуватися v_oru
одмежовувати v_zna:v_oru
одмежувати v_zna:v_oru
одмежуватися v_oru
одмивати v_zna:v_oru
одмиватися v_oru
одмикати v_zna:v_oru:v_dav
одмикатися v_oru
одмикувати v_zna:v_oru
одмити v_zna:v_oru
одмитися v_oru
одмінити v_zna:v_oru
одмінювати v_zna:v_oru
одміняти v_zna:v_oru
одмірювати v_zna:v_oru
одміряти v_zna:v_oru:v_dav
одміряти v_zna:v_oru:v_dav
одмірятися v_oru
одмірятися v_oru
одмітати v_zna:v_oru
одмітити v_zna:v_oru
одмічати v_zna:v_oru
одмовити v_inf:v_zna:v_oru
одмовляти v_inf:v_zna:v_oru
одмовлятися v_inf
одморожувати v_zna:v_oru
одморозити v_zna:v_oru
одмотувати v_zna:v_oru
однести v_zna:v_oru:v_dav
однімати v_zna:v_oru
односити v_zna:v_oru:v_dav
одностайний v_oru
одняти v_zna:v_oru
одокремитися v_oru
одокремлювати v_zna:v_oru
одомашнити v_zna:v_oru:v_dav
одомашнювати v_zna:v_oru:v_dav
одомашнюватися v_oru
одомстити v_dav:v_oru
одпадати v_oru
одпарити v_zna:v_oru
одпарювати v_zna:v_oru
одперти v_zna:v_oru
одпилювати v_zna:v_oru
одпиляти v_zna:v_oru
одпиратися v_oru
одписати v_zna:v_oru:v_dav
одписатися v_oru
одписувати v_zna:v_oru:v_dav
одпити v_zna:v_oru
одпихати v_zna:v_oru
одпихатися v_oru
одпихнути v_zna:v_oru
одплатити v_oru
одплачувати v_dav:v_oru
одплачуватися v_oru
одповідати v_zna:v_oru:v_dav
одповісти v_zna:v_oru:v_dav
одпочити v_oru
одправити v_zna:v_oru:v_dav
одправитися v_oru
одправлений v_dav
одправляти v_zna:v_oru:v_dav
одпрацювати v_oru
одпрацюватися v_oru
одпровадити v_zna:v_oru
одпросити v_zna:v_oru
одпроситися v_oru
одпрохатися v_oru
одпрошувати v_zna:v_oru
одпрошуватися v_oru
одпрягати v_zna:v_oru
одпускати v_zna:v_oru:v_dav
одпустити v_zna:v_oru
одпущений v_dav
одраджувати v_inf
одрадити v_inf
одрапортувати v_dav:v_oru
одраховувати v_zna:v_oru
одрахувати v_zna:v_oru
одрекомендувати v_zna:v_dav
одрекомендуватися v_dav
одремонтувати v_zna:v_oru
одривати v_zna:v_oru:v_dav
одриватися v_oru
одригнути v_zna
одригувати v_zna
одрізати v_zna:v_oru:v_dav
одрізати v_zna:v_oru:v_dav
одрізатися v_oru
одрізатися v_oru
одрізнити v_zna
одрізнитися v_oru
одрізняти v_zna
одрізнятися v_oru
одрізувати v_zna:v_oru
одробляти v_zna:v_oru:v_dav
одрубати v_zna:v_oru:v_dav
одрубувати v_zna:v_oru
одружити v_zna:v_oru:v_dav
одружитися v_oru
одружувати v_zna
одрятувати v_zna:v_oru
одсвіжити v_zna:v_oru
одсвічувати v_oru
одсвяткувати v_zna
одсилати v_zna:v_oru:v_dav
одсипати v_zna:v_oru:v_dav
одсипати v_zna:v_oru:v_dav
одсипатися v_oru
одсипатися v_oru
одсікати v_zna:v_oru
одсікти v_zna:v_oru
одсіяти v_zna:v_oru
одскочити v_oru
одслонити v_zna:v_oru
одслужити v_dav
одсмикнути v_zna:v_oru
одсмикувати v_zna:v_oru
одсовувати v_zna:v_oru
одспівати v_zna:v_oru
одспівувати v_zna:v_oru
одставити v_inf:v_zna:v_oru
одставляти v_inf:v_zna:v_oru
одстебнути v_zna:v_oru
одстібати v_zna:v_oru
одстібнутися v_oru
одсторонити v_zna:v_oru
одсторонитися v_oru
одстоювати v_zna:v_oru
одстояти v_zna:v_oru
одстрелюватися v_oru
одстрілювати v_zna:v_oru:v_dav
одстрілюватися v_oru
одстріляти v_zna:v_oru
одстрілятися v_oru
одстрочити v_zna:v_oru
одступати v_oru
одступити v_oru
одсувати v_zna:v_oru
одсуватися v_oru
одсуджувати v_zna:v_oru
одсунути v_zna:v_oru:v_dav
одсунутися v_oru
одсьорбнути v_zna:v_oru
одтарабанити v_zna:v_oru
одтворити v_zna:v_oru
одтинати v_zna:v_oru
одтирати v_zna:v_oru
одтиснути v_zna:v_oru
одтінити v_zna:v_oru
одтіснити v_zna:v_oru
одтісняти v_zna:v_oru
одторгнути v_zna:v_oru
одточити v_zna:v_oru:v_dav
одточувати v_zna:v_oru
одтулити v_zna:v_oru:v_dav
одтягати v_zna:v_oru:v_dav
одтягнути v_zna:v_oru:v_dav
одтягти v_zna:v_oru
одтягувати v_zna:v_oru
одтяти v_zna:v_oru:v_dav
одурити v_zna:v_oru
одурманити v_zna:v_oru:v_dav
одурманитися v_oru
одурманювати v_zna:v_oru:v_dav
одурманюватися v_oru
одурювати v_zna:v_oru:v_dav
одурюватися v_oru
одуховнити v_zna:v_oru:v_dav
одуховнювати v_zna:v_oru:v_dav
одухотворити v_zna:v_oru:v_dav
одухотворитися v_oru
одухотворювати v_zna:v_oru:v_dav
одухотворюватися v_oru
одухотворяти v_zna:v_oru:v_dav
одухотворятися v_oru
одучити v_zna:v_oru:v_dav
одхилити v_zna:v_oru:v_dav
одхилитися v_oru
одхиляти v_zna:v_oru:v_dav
одхилятися v_zna:v_oru:v_dav
одхопити v_zna:v_oru:v_dav
одцуратися v_rod
одчепити v_zna:v_oru:v_dav
одчеплювати v_zna:v_oru
одчесати v_zna:v_oru
одчикрижити v_zna:v_oru
одчинити v_zna:v_oru:v_dav
одчинитися v_oru
одчиняти v_zna:v_oru:v_dav
одчинятися v_oru
одчитати v_zna
одчитувати v_zna
одчіплювати v_zna:v_oru
одчіплятися v_oru
одчужувати v_zna:v_oru
одчухрати v_zna:v_oru
одшити v_zna
одшліфувати v_zna:v_oru
одшмагати v_zna:v_oru
одшпарити v_zna:v_oru
одшпилювати v_zna:v_oru
одшпурнути v_zna:v_oru
одштовхнути v_zna:v_oru
одштовхувати v_zna:v_oru
одщипнути v_zna:v_oru
одягати v_zna:v_oru:v_dav
одягатися v_oru
одягнути v_zna:v_oru:v_dav
одягнутися v_oru
одягти v_zna:v_oru:v_dav
одягтися v_oru
ожвавитися v_oru
ожвавлювати v_zna:v_oru:v_dav
ожвавлюватися v_oru
оженити v_zna
оживати v_oru
оживити v_zna:v_oru:v_dav
оживитися v_oru
оживлювати v_zna:v_oru:v_dav
оживлюватися v_oru
оживляти v_zna:v_oru:v_dav
оживлятися v_oru
ожити v_oru
озаглавити v_zna:v_oru
озаглавлювати v_zna:v_oru
озброїти v_zna:v_oru:v_dav
озброїтися v_oru
озброювати v_zna:v_oru:v_dav
озброюватися v_oru
озватися v_oru:v_dav
озвучений v_dav
озвучити v_zna:v_oru:v_dav
озвучувати v_zna:v_oru:v_dav
озвучуватися v_oru:v_dav
оздобити v_zna:v_oru:v_dav
оздобитися v_oru
оздоблювати v_zna:v_oru:v_dav
оздоблюватися v_oru
оздобляти v_zna:v_oru:v_dav
оздоровити v_zna:v_oru:v_dav
оздоровитися v_oru
оздоровлювати v_zna:v_oru:v_dav
оздоровлюватися v_oru
оздоровляти v_zna:v_oru:v_dav
оздоровлятися v_oru
озеленити v_zna:v_oru:v_dav
озеленитися v_oru
озеленювати v_zna:v_oru:v_dav
озеленюватися v_oru
озернити v_zna:v_oru:v_dav
озернитися v_oru
озиватися v_oru:v_dav
озирати v_zna:v_oru
озирнути v_zna:v_oru
озлити v_zna:v_oru:v_dav
озлобити v_zna:v_oru:v_dav
озлоблювати v_zna:v_oru:v_dav
озлобляти v_zna:v_oru:v_dav
ознаймити v_zna:v_oru:v_dav
ознаймляти v_zna:v_oru:v_dav
ознаймувати v_zna:v_oru:v_dav
ознайомити v_zna:v_oru:v_dav
ознайомлювати v_zna
ознакувати v_zna:v_oru:v_dav
ознаменовувати v_zna:v_oru:v_dav
ознаменовуватися v_oru
ознаменувати v_zna:v_oru
ознаменуватися v_oru
означати v_zna
означатися v_oru
означити v_zna:v_oru:v_dav
означити v_zna:v_oru:v_dav
означитися v_oru
означувати v_zna:v_oru:v_dav
означуватися v_oru
озолотити v_zna:v_oru:v_dav
озолотитися v_oru
озонувати v_zna:v_oru:v_dav
озонуватися v_oru
окантовувати v_zna:v_oru:v_dav
окантовуватися v_oru
окантувати v_zna:v_oru:v_dav
окантуватися v_oru
окарикатурити v_zna:v_oru:v_dav
окарикатурювати v_zna:v_oru:v_dav
окатоличити v_zna
окидати v_zna:v_oru:v_dav
окинути v_zna:v_oru:v_dav
окислити v_zna:v_oru:v_dav
окислитися v_oru
окислювати v_zna:v_oru:v_dav
окислюватися v_oru
окисляти v_zna:v_oru
окиснити v_zna:v_oru:v_dav
окиснитися v_oru
окиснювати v_zna:v_oru:v_dav
окиснюватися v_oru
окільцювати v_zna:v_oru:v_dav
окільцюватися v_oru
окільцьовувати v_zna:v_oru:v_dav
окільцьовуватися v_oru
окладати v_zna:v_oru:v_dav
оклепати v_zna:v_oru:v_dav
окликати v_zna:v_oru
окликатися v_oru
окликнути v_zna:v_oru
оклонити v_zna:v_oru:v_dav
оклоняти v_zna:v_oru:v_dav
оклюдувати v_zna:v_oru:v_dav
оклюдуватися v_oru
оковувати v_zna:v_oru:v_dav
около v_rod
оконтурити v_zna:v_oru:v_dav
оконтуровувати v_zna:v_oru:v_dav
оконтурувати v_zna:v_oru:v_dav
оконтуруватися v_oru
оконтурювати v_zna:v_oru:v_dav
оконтурюватися v_oru
оконфузитися v_oru
окопати v_zna:v_oru:v_dav
окопатися v_oru
окопувати v_zna:v_oru:v_dav
окопуватися v_oru
окошитися v_oru
окрадати v_zna
окрай v_rod
окрасти v_zna
окреслити v_zna:v_oru:v_dav
окреслитися v_oru
окреслювати v_zna:v_oru:v_dav
окреслюватися v_oru
окривати v_zna:v_oru:v_dav
окриватися v_oru
окривдити v_zna
окрилити v_zna:v_oru:v_dav
окрилитися v_oru
окрилювати v_zna:v_oru:v_dav
окрилюватися v_oru
окриляти v_zna:v_oru:v_dav
окрилятися v_oru
окрити v_zna:v_oru:v_dav
окритися v_oru
окрім v_rod:v_inf
окроме v_rod
окропити v_zna:v_oru:v_dav
окропитися v_oru
окроплювати v_zna:v_oru:v_dav
окроплюватися v_oru
окропляти v_zna:v_oru:v_dav
окроплятися v_oru
округ v_rod
округи v_rod
округлити v_zna:v_oru:v_dav
округлитися v_oru
округлювати v_zna:v_oru:v_dav
округлюватися v_oru
округляти v_zna:v_oru:v_dav
округлятися v_oru
окружити v_zna:v_oru
окрутити v_zna:v_oru:v_dav
окрутитися v_oru
оксидувати v_zna:v_oru:v_dav
оксидуватися v_oru
октроювати v_zna:v_oru:v_dav
октроювати v_zna:v_oru:v_dav
октроюватися v_oru
октроюватися v_oru
окувати v_zna:v_oru:v_dav
окулірувати v_zna:v_oru:v_dav
окульбачити v_zna:v_oru:v_dav
окультивувати v_zna:v_oru:v_dav
окультурити v_zna:v_oru:v_dav
окультуритися v_oru
окультурювати v_zna:v_oru:v_dav
окультурюватися v_oru
окупати v_zna:v_oru:v_dav
окупатися v_oru:v_dav
окупити v_zna:v_oru:v_dav
окупитися v_oru:v_dav
окуповувати v_zna:v_oru:v_dav
окуповуватися v_oru
окупувати v_zna:v_oru:v_dav
окупуватися v_oru
окурити v_zna:v_oru:v_dav
окуритися v_oru
окурювати v_zna:v_oru:v_dav
окурюватися v_oru
окутати v_zna:v_oru:v_dav
окутатися v_oru
окути v_zna:v_oru:v_dav
окутувати v_zna:v_oru:v_dav
окутуватися v_oru
окучувати v_zna:v_oru
оливити v_zna:v_oru:v_dav
оливувати v_zna:v_oru:v_dav
олітературити v_zna:v_oru:v_dav
олітературитися v_oru
олюднити v_zna:v_oru:v_dav
олюднювати v_zna:v_oru:v_dav
олюднюватися v_oru
омертвляти v_zna:v_oru:v_dav
омертвлятися v_oru
омивати v_zna:v_oru:v_dav
омиватися v_oru
омилити v_zna:v_oru:v_dav
омилитися v_oru
омилювати v_zna:v_oru:v_dav
омилюватися v_oru
омиляти v_zna:v_oru:v_dav
омилятися v_oru
оминати v_zna:v_oru
оминатися v_oru
оминути v_zna:v_oru
омити v_zna:v_oru:v_dav
омитися v_oru
омовити v_zna:v_oru:v_dav
омовлювати v_zna:v_oru:v_dav
омолоджувати v_zna:v_oru:v_dav
омолоджуватися v_oru
омолодити v_zna:v_oru:v_dav
омолодитися v_oru
омонолічувати v_zna:v_oru
омріювати v_zna
омріяти v_zna
онімечувати v_zna
оновити v_zna:v_oru:v_dav
оновитися v_oru
оновлювати v_zna:v_oru:v_dav
оновлюватися v_oru
оновляти v_zna:v_oru:v_dav
оновлятися v_oru
оп'яняти v_zna:v_oru
опадати v_oru
опалити v_zna:v_oru:v_dav
опалитися v_oru
опалубити v_zna:v_oru:v_dav
опалювати v_zna:v_oru:v_dav
опалюватися v_oru
опаляти v_zna:v_oru:v_dav
опалятися v_oru
опановувати v_zna:v_oru
опановуватися v_oru
опанувати v_zna:v_oru
опануватися v_oru
опаскуджувати v_zna:v_oru:v_dav
опаскуджуватися v_oru
опаскудити v_zna:v_oru:v_dav
опаскудитися v_oru
опасти v_oru
опекти v_zna:v_oru:v_dav
опектися v_oru
операціоналізувати v_zna:v_oru:v_dav
оперезати v_zna:v_oru:v_dav
оперезатися v_oru
оперізувати v_zna:v_oru:v_dav
оперізуватися v_oru
оперіщити v_zna:v_oru:v_dav
оперти v_zna:v_oru:v_dav
опертися v_oru
оперувати v_zna:v_oru:v_dav
оперуватися v_oru
оперяти v_zna:v_oru:v_dav
оперятися v_oru
опечатати v_zna:v_oru:v_dav
опечатувати v_zna:v_oru:v_dav
опечатуватися v_oru
опинатися v_dav
опинитися v_oru
опинятися v_oru
опирати v_zna:v_oru:v_dav
опиратися v_oru:v_dav
описати v_zna:v_oru:v_dav
описувати v_zna:v_oru:v_dav
описуватися v_oru
опитати v_zna
опитувати v_zna:v_oru:v_dav
опитуватися v_oru
опізнавати v_zna:v_oru
