# Mapping en-US <-> en-GB. The spell checker will *not* use this file to decide
# which words are correct, but only to display a more specific error message in case
# a user writing an en-US text uses a en-GB word and vice versa.
absolutize;absolutise
militarize;militarise
militarized;militarised
militarizes;militarises
militarizing;militarising
milligram;milligramme
milligrams;milligrammes
milliliter;millilitre
milliliters;millilitres
millimeter;millimetre
millimeters;millimetres
mineralizable;mineralisable
mineralization;mineralisation
mineralize;mineralise
mineralized;mineralised
mineralizer;mineraliser
mineralizers;mineralisers
mineralizes;mineralises
mineralizing;mineralising
miniaturization;miniaturisation
miniaturize;miniaturise
miniaturized;miniaturised
miniaturizes;miniaturises
miniaturizing;miniaturising
minimization;minimisation
minimize;minimise
minimized;minimised
minimizer;minimiser
minimizers;minimisers
minimizes;minimises
minimizing;minimising
misbehavior;misbehaviour
mischaracterize;mischaracterise
mischaracterized;mischaracterised
mischaracterizes;mischaracterises
mischaracterizing;mischaracterising
misemphasize;misemphasise
misemphasized;misemphasised
misemphasizes;misemphasises
misemphasizing;misemphasising
missionization;missionisation
missionize;missionise
missionized;missionised
missionizes;missionises
missionizing;missionising
mobilizable;mobilisable
mobilization;mobilisation
mobilizations;mobilisations
mobilize;mobilise
mobilized;mobilised
mobilizer;mobiliser
mobilizers;mobilisers
mobilizes;mobilises
mobilizing;mobilising
modeling;modelling
modeled;modelled
modernization;modernisation
modernize;modernise
modernized;modernised
modernizer;moderniser
modernizers;modernisers
modernizes;modernises
modernizing;modernising
modularized;modularised
moisturize;moisturise
moisturized;moisturised
moisturizer;moisturiser
moisturizers;moisturisers
moisturizes;moisturises
moisturizing;moisturising
mold;mould
moldable;mouldable
molds;moulds
molded;moulded
molding;moulding
moldings;mouldings
moldier;mouldier
moldiest;mouldiest
moldy;mouldy
mollusk;mollusc
mollusks;molluscs
monetize;monetise
monetized;monetised
monetizes;monetises
monetizing;monetising
mongrelize;mongrelise
mongrelized;mongrelised
mongrelizes;mongrelises
mongrelizing;mongrelising
monopolization;monopolisation
monopolize;monopolise
monopolized;monopolised
monopolizer;monopoliser
monopolizers;monopolisers
monopolizes;monopolises
monopolizing;monopolising
moralization;moralisation
moralize;moralise
moralized;moralised
moralizer;moraliser
moralizers;moralisers
moralizes;moralises
moralizing;moralising
Moslemize;Moslemise
Moslemized;Moslemised
Moslemizes;Moslemises
Moslemizing;Moslemising
motorization;motorisation
motorize;motorise
motorized;motorised
motorizes;motorises
motorizing;motorising
multicolor;multicolour
multicolored;multicoloured
municipalization;municipalisation
municipalize;municipalise
municipalized;municipalised
municipalizes;municipalises
municipalizing;municipalising
musicalize;musicalise
musicalized;musicalised
musicalizes;musicalises
musicalizing;musicalising
Muslimize;Muslimise
Muslimized;Muslimised
Muslimizes;Muslimises
Muslimizing;Muslimising
mustache;moustache
mustached;moustached
mustaches;moustaches
mutualization;mutualisation
mutualize;mutualise
mutualized;mutualised
mutualizes;mutualises
mutualizing;mutualising
mythicize;mythicise
mythicized;mythicised
mythicizes;mythicises
mythicizing;mythicising
mythologize;mythologise
mythologized;mythologised
mythologizes;mythologises
mythologizing;mythologising
nanization;nanisation
nanogram;nanogramme
nanograms;nanogrammes
nanoliter;nanolitre
nanoliters;nanolitres
nanometer;nanometre
nanometers;nanometres
narcotize;narcotise
narcotized;narcotised
narcotizes;narcotises
narcotizing;narcotising
nasalization;nasalisation
nasalize;nasalise
nasalized;nasalised
nasalizes;nasalises
nasalizing;nasalising
nationalization;nationalisation
nationalizations;nationalisations
nationalize;nationalise
nationalized;nationalised
nationalizer;nationaliser
nationalizers;nationalisers
nationalizes;nationalises
nationalizing;nationalising
nativize;nativise
nativized;nativised
nativizes;nativises
nativizing;nativising
naturalization;naturalisation
naturalize;naturalise
naturalized;naturalised
naturalizes;naturalises
naturalizing;naturalising
nearsighted;short-sighted
nearsightedly;short-sightedly
nebulization;nebulisation
nebulizations;nebulisations
nebulize;nebulise
nebulized;nebulised
nebulizer;nebuliser
nebulizers;nebulisers
nebulizes;nebulises
nebulizing;nebulising
necrotize;necrotise
necrotized;necrotised
necrotizes;necrotises
necrotizing;necrotising
neighbor;neighbour
neighborhood;neighbourhood
neighborhoods;neighbourhoods
neighboring;neighbouring
neighborly;neighbourly
neighbors;neighbours
neologize;neologise
neologized;neologised
neologizes;neologises
neologizing;neologising
neovascularization;neovascularisation
neuron;neurone
neurons;neurones
neutralization;neutralisation
neutralize;neutralise
neutralized;neutralised
neutralizer;neutraliser
neutralizers;neutralisers
neutralizes;neutralises
neutralizing;neutralising
nickelize;nickelise
nickelized;nickelised
nickelizes;nickelises
nickelizing;nickelising
nitrogenize;nitrogenise
nitrogenized;nitrogenised
nitrogenizes;nitrogenises
nitrogenizing;nitrogenising
noise-canceling;noise-cancelling
nomadize;nomadise
nomadized;nomadised
nomadizes;nomadises
nomadizing;nomadising
nominalizable;nominalisable
nominalization;nominalisation
nominalize;nominalise
nominalized;nominalised
nominalizes;nominalises
nominalizing;nominalising
nonpolarizable;nonpolarisable
normalizable;normalisable
normalization;normalisation
normalize;normalise
normalized;normalised
normalizer;normaliser
normalizers;normalisers
normalizes;normalises
normalizing;normalising
Normanization;Normanisation
Normanize;Normanise
Normanized;Normanised
Normanizes;Normanises
Normanizing;Normanising
notarize;notarise
notarized;notarised
notarizes;notarises
notarizing;notarising
novelization;novelisation
novelize;novelise
novelized;novelised
novelizes;novelises
novelizing;novelising
nuclearization;nuclearisation
objectivize;objectivise
objectivized;objectivised
objectivizes;objectivises
objectivizing;objectivising
Occidentalize;Occidentalise
Occidentalized;Occidentalised
Occidentalizes;Occidentalises
Occidentalizing;Occidentalising
odor;odour
odorize;odorise
odorized;odorised
odorizes;odorises
odorizing;odorising
odorless;odourless
odors;odours
offense;offence
offenses;offences
officialize;officialise
officialized;officialised
officializes;officialises
officializing;officialising
ontologize;ontologise
ontologized;ontologised
ontologizes;ontologises
ontologizing;ontologising
onward;onwards
opalize;opalise
opalized;opalised
opalizes;opalises
opalizing;opalising
operationalizable;operationalisable
operationalization;operationalisation
operationalize;operationalise
operationalized;operationalised
operationalizes;operationalises
operationalizing;operationalising
operatize;operatise
operatized;operatised
operatizes;operatises
operatizing;operatising
opsonization;opsonisation
opsonize;opsonise
opsonized;opsonised
opsonizes;opsonises
opsonizing;opsonising
optimizable;optimisable
optimization;optimisation
optimizations;optimisations
optimize;optimise
optimized;optimised
optimizer;optimiser
optimizers;optimisers
optimizes;optimises
optimizing;optimising
organizable;organisable
organization;organisation
organizational;organisational
organizationally;organisationally
organizations;organisations
organize;organise
organized;organised
organizer;organiser
organizers;organisers
organizes;organises
organizing;organising
Orientalization;Orientalisation
orientalize;orientalise
orientalized;orientalised
orientalizes;orientalises
orientalizing;orientalising
oriented;orientated
orthogonalize;orthogonalise
orthogonalized;orthogonalised
orthogonalizes;orthogonalises
orthogonalizing;orthogonalising
orthopedic;orthopaedic
orthopedics;orthopaedics
ostracizable;ostracisable
ostracization;ostracisation
ostracize;ostracise
ostracized;ostracised
ostracizes;ostracises
ostracizing;ostracising
outorganize;outorganise
outorganized;outorganised
outorganizes;outorganises
outorganizing;outorganising
ovariectomize;ovariectomise
ovariectomized;ovariectomised
ovariectomizes;ovariectomises
ovariectomizing;ovariectomising
overcapitalize;overcapitalise
overcapitalized;overcapitalised
overcapitalizes;overcapitalises
overcapitalizing;overcapitalising
overcentralize;overcentralise
overcentralized;overcentralised
overcentralizes;overcentralises
overcentralizing;overcentralising
overdramatize;overdramatise
overdramatized;overdramatised
overdramatizes;overdramatises
overdramatizing;overdramatising
overemphasize;overemphasise
overemphasized;overemphasised
overemphasizes;overemphasises
overemphasizing;overemphasising
overfertilize;overfertilise
overfertilized;overfertilised
overfertilizes;overfertilises
overfertilizing;overfertilising
overgeneralize;overgeneralise
overgeneralized;overgeneralised
overgeneralizes;overgeneralises
overgeneralizing;overgeneralising
overglamorize;overglamorise
overglamorized;overglamorised
overglamorizes;overglamorises
overglamorizing;overglamorising
overhomogenize;overhomogenise
overhomogenized;overhomogenised
overhomogenizes;overhomogenises
overhomogenizing;overhomogenising
overidealize;overidealise
overidealized;overidealised
overidealizes;overidealises
overidealizing;overidealising
overreport;over-report
overreports;over-reports
overreporting;over-reporting
overreported;over-reported
overrepresent;over-represent
overrepresents;over-represents
overrepresented;over-represented
overrepresenting;over-representing
overrepresentation;over-representation
overrepresentations;over-representations
overspecialize;overspecialise
overspecialized;overspecialised
overspecializes;overspecialises
overspecializing;overspecialising
overutilize;overutilise
overutilized;overutilised
overutilizes;overutilises
overutilizing;overutilising
oxidizability;oxidisability
oxidizable;oxidisable
oxidization;oxidisation
oxidize;oxidise
oxidized;oxidised
oxidizer;oxidiser
oxidizers;oxidisers
oxidizes;oxidises
oxidizing;oxidising
ozonization;ozonisation
ozonize;ozonise
ozonized;ozonised
ozonizer;ozoniser
ozonizers;ozonisers
ozonizes;ozonises
ozonizing;ozonising
paganization;paganisation
paganize;paganise
paganized;paganised
paganizer;paganiser
paganizers;paganisers
paganizes;paganises
paganizing;paganising
pajama;pyjama
pajamas;pyjamas
palatalize;palatalise
palatalized;palatalised
palatalizes;palatalises
palatalizing;palatalising
paleogeographical;palaeogeographical
paleogeographically;palaeogeographically
paleogeography;palaeogeography
paleoecology;palaeoecology
palletization;palletisation
palletize;palletise
palletized;palletised
palletizer;palletiser
palletizers;palletisers
palletizes;palletises
palletizing;palletising
parabolize;parabolise
parabolized;parabolised
parabolizes;parabolises
parabolizing;parabolising
parallelization;parallelisation
parallelize;parallelise
parallelized;parallelised
parallelizes;parallelises
parallelizing;parallelising
paralyze;paralyse
paralyzed;paralysed
paralyzes;paralyses
paralyzing;paralysing
parameterization;parameterisation
parasitize;parasitise
parasitized;parasitised
parasitizes;parasitises
parasitizing;parasitising
parenthesize;parenthesise
parenthesized;parenthesised
parenthesizes;parenthesises
parenthesizing;parenthesising
parlor;parlour
parlors;parlours
paresthesia;paraesthesia
partialize;partialise
partialized;partialised
partializes;partialises
partializing;partialising
particularization;particularisation
particularize;particularise
particularized;particularised
particularizes;particularises
particularizing;particularising
passivization;passivisation
passivize;passivise
passivized;passivised
passivizes;passivises
passivizing;passivising
pasteurization;pasteurisation
pasteurize;pasteurise
pasteurized;pasteurised
pasteurizer;pasteuriser
pasteurizers;pasteurisers
pasteurizes;pasteurises
pasteurizing;pasteurising
pathologize;pathologise
pathologized;pathologised
pathologizes;pathologises
pathologizing;pathologising
patinize;patinise
patinized;patinised
patinizes;patinises
patinizing;patinising
patronize;patronise
patronized;patronised
patronizes;patronises
patronizing;patronising
pauperization;pauperisation
pauperizations;pauperisations
pauperize;pauperise
pauperized;pauperised
pauperizes;pauperises
pauperizing;pauperising
paycheck;pay cheque
paychecks;pay cheques
pearlize;pearlise
pearlized;pearlised
pearlizes;pearlises
pearlizing;pearlising
pectizable;pectisable
pectization;pectisation
pectize;pectise
pectized;pectised
pectizes;pectises
pectizing;pectising
peculiarize;peculiarise
peculiarized;peculiarised
peculiarizes;peculiarises
peculiarizing;peculiarising
pedestrianization;pedestrianisation
pedestrianize;pedestrianise
pedestrianized;pedestrianised
pedestrianizes;pedestrianises
pedestrianizing;pedestrianising
pediatric;paediatric
pediatrically;paediatrically
pediatrician;paediatrician
pediatricians;paediatricians
pedophile;paedophile
pedophiles;paedophiles
pelletization;pelletisation
pelletize;pelletise
pelletized;pelletised
pelletizer;pelletiser
pelletizers;pelletisers
pelletizes;pelletises
pelletizing;pelletising
penalization;penalisation
penalize;penalise
penalized;penalised
penalizes;penalises
penalizing;penalising
peptizable;peptisable
peptization;peptisation
peptize;peptise
peptized;peptised
peptizer;peptiser
peptizers;peptisers
peptizes;peptises
peptizing;peptising
peptonization;peptonisation
peptonize;peptonise
peptonized;peptonised
peptonizes;peptonises
peptonizing;peptonising
periodization;periodisation
peroxidize;peroxidise
peroxidized;peroxidised
peroxidizes;peroxidises
peroxidizing;peroxidising
personalize;personalise
personalized;personalised
personalizes;personalises
personalizing;personalising
petagram;petagramme
petagrams;petagrammes
petaliter;petalitre
petaliters;petalitres
petameter;petametre
petameters;petametres
phagocytize;phagocytise
phagocytized;phagocytised
phagocytizes;phagocytises
phagocytizing;phagocytising
philosophize;philosophise
philosophized;philosophised
philosophizer;philosophiser
philosophizers;philosophisers
philosophizes;philosophises
philosophizing;philosophising
phlebotomize;phlebotomise
phlebotomized;phlebotomised
phlebotomizes;phlebotomises
phlebotomizing;phlebotomising
phonemicize;phonemicise
phonemicized;phonemicised
phonemicizes;phonemicises
phonemicizing;phonemicising
phony;phoney
phosphatization;phosphatisation
photoionization;photoionisation
photoionize;photoionise
photoionized;photoionised
photoionizes;photoionises
photoionizing;photoionising
photosensitization;photosensitisation
photosensitize;photosensitise
photosensitized;photosensitised
photosensitizer;photosensitiser
photosensitizers;photosensitisers
photosensitizes;photosensitises
photosensitizing;photosensitising
photosynthesize;photosynthesise
photosynthesized;photosynthesised
photosynthesizes;photosynthesises
photosynthesizing;photosynthesising
physicalize;physicalise
physicalized;physicalised
physicalizes;physicalises
physicalizing;physicalising
picogram;picogramme
picograms;picogrammes
picoliter;picolitre
picoliters;picolitres
picometer;picometre
picometers;picometres
pictorialize;pictorialise
pictorialized;pictorialised
pictorializes;pictorialises
pictorializing;pictorialising
picturize;picturise
picturized;picturised
picturizes;picturises
picturizing;picturising
pidginization;pidginisation
pidginize;pidginise
pidginized;pidginised
pidginizes;pidginises
pidginizing;pidginising
pilgrimize;pilgrimise
pilgrimized;pilgrimised
pilgrimizes;pilgrimises
pilgrimizing;pilgrimising
plagiarization;plagiarisation
plagiarize;plagiarise
plagiarized;plagiarised
plagiarizer;plagiariser
plagiarizers;plagiarisers
plagiarizes;plagiarises
plagiarizing;plagiarising
plasticize;plasticise
plasticized;plasticised
plasticizer;plasticiser
plasticizers;plasticisers
plasticizes;plasticises
plasticizing;plasticising
platinization;platinisation
platinizations;platinisations
platinize;platinise
platinized;platinised
platinizes;platinises
platinizing;platinising
Platonize;Platonise
Platonized;Platonised
Platonizes;Platonises
Platonizing;Platonising
plebeianize;plebeianise
plebeianized;plebeianised
plebeianizes;plebeianises
plebeianizing;plebeianising
pled;pleaded
plow;plough
plowed;ploughed
plows;ploughs
pluralization;pluralisation
pluralize;pluralise
pluralized;pluralised
pluralizes;pluralises
pluralizing;pluralising
poeticize;poeticise
poeticized;poeticised
poeticizes;poeticises
poeticizing;poeticising
poetize;poetise
poetized;poetised
poetizes;poetises
poetizing;poetising
polarizability;polarisability
polarizable;polarisable
polarization;polarisation
polarize;polarise
polarized;polarised
polarizer;polariser
polarizers;polarisers
polarizes;polarises
polarizing;polarising
polemicize;polemicise
polemicized;polemicised
polemicizes;polemicises
polemicizing;polemicising
politicalize;politicalise
politicalized;politicalised
politicalizes;politicalises
politicalizing;politicalising
politicization;politicisation
politicize;politicise
politicized;politicised
politicizes;politicises
politicizing;politicising
polonize;polonise
polonized;polonised
polonizes;polonises
polonizing;polonising
polycythemia;polycythaemia
polygamize;polygamise
polygamized;polygamised
polygamizes;polygamises
polygamizing;polygamising
polymerizable;polymerisable
polymerization;polymerisation
polymerize;polymerise
polymerized;polymerised
polymerizes;polymerises
polymerizing;polymerising
polysulfide;polysulphide
popularization;popularisation
popularize;popularise
popularized;popularised
popularizer;populariser
popularizers;popularisers
popularizes;popularises
popularizing;popularising
posterization;posterisation
posterize;posterise
posterized;posterised
posterizes;posterises
posterizing;posterising
potentialize;potentialise
potentialized;potentialised
potentializes;potentialises
potentializing;potentialising
potentize;potentise
potentized;potentised
potentizes;potentises
potentizing;potentising
practice;practise
practiced;practised
practices;practises
practicing;practising
preconization;preconisation
prerandomization;prerandomisation
prerandomize;prerandomise
pressurization;pressurisation
pressurize;pressurise
pressurized;pressurised
pressurizer;pressuriser
pressurizers;pressurisers
pressurizes;pressurises
pressurizing;pressurising
preterit;preterite
pretorium;praetorium
prioritization;prioritisation
prioritize;prioritise
prioritized;prioritised
prioritizes;prioritises
prioritizing;prioritising
privatization;privatisation
privatizations;privatisations
privatize;privatise
privatized;privatised
privatizes;privatises
privatizing;privatising
problematize;problematise
problematized;problematised
problematizes;problematises
problematizing;problematising
productization;productisation
professionalization;professionalisation
professionalize;professionalise
professionalized;professionalised
professionalizes;professionalises
professionalizing;professionalising
program;programme
programs;programmes
proletarianization;proletarianisation
proletarianize;proletarianise
proletarianized;proletarianised
proletarianizes;proletarianises
proletarianizing;proletarianising
propagandize;propagandise
propagandized;propagandised
propagandizes;propagandises
propagandizing;propagandising
proselytization;proselytisation
proselytize;proselytise
proselytized;proselytised
proselytizer;proselytiser
proselytizers;proselytisers
proselytizes;proselytises
proselytizing;proselytising
provincialization;provincialisation
Prussianization;Prussianisation
Prussianize;Prussianise
Prussianized;Prussianised
Prussianizes;Prussianises
Prussianizing;Prussianising
psalmodize;psalmodise
psalmodized;psalmodised
psalmodizes;psalmodises
psalmodizing;psalmodising
psychoanalyze;psychoanalyse
psychoanalyzed;psychoanalysed
#psychoanalyzes;psychoanalyses
psychoanalyzing;psychoanalysing
psychologize;psychologise
psychologized;psychologised
psychologizes;psychologises
psychologizing;psychologising
publicize;publicise
publicized;publicised
publicizes;publicises
publicizing;publicising
pulverizable;pulverisable
pulverization;pulverisation
pulverize;pulverise
pulverized;pulverised
pulverizer;pulveriser
pulverizers;pulverisers
pulverizes;pulverises
pulverizing;pulverising
puritanize;puritanise
puritanized;puritanised
puritanizes;puritanises
puritanizing;puritanising
pyorrhea;pyorrhoea
quantizable;quantisable
quantization;quantisation
quantize;quantise
quantized;quantised
quantizes;quantises
quantizing;quantising
racemize;racemise
racemized;racemised
racemizes;racemises
racemizing;racemising
racialize;racialise
racialized;racialised
racializes;racialises
racializing;racialising
radicalization;radicalisation
radicalize;radicalise
radicalized;radicalised
radicalizes;radicalises
radicalizing;radicalising
randomization;randomisation
randomize;randomise
randomized;randomised
randomizes;randomises
randomizing;randomising
rapturize;rapturise
rapturized;rapturised
rapturizes;rapturises
rapturizing;rapturising
rasterize;rasterise
rasterized;rasterised
rasterizes;rasterises
rasterizing;rasterising
rationalizable;rationalisable
rationalization;rationalisation
rationalizations;rationalisations
rationalize;rationalise
rationalized;rationalised
rationalizer;rationaliser
rationalizers;rationalisers
rationalizes;rationalises
rationalizing;rationalising
reacclimatize;reacclimatise
reacclimatized;reacclimatised
reacclimatizes;reacclimatises
reacclimatizing;reacclimatising
realizability;realisability
realizable;realisable
realizably;realisably
realization;realisation
realizations;realisations
realize;realise
realized;realised
realizer;realiser
realizers;realisers
realizes;realises
realizing;realising
reauthorize;reauthorise
reauthorized;reauthorised
reauthorizes;reauthorises
reauthorizing;reauthorising
recanalization;recanalisation
recanalize;recanalise
recanalized;recanalised
recanalizes;recanalises
recanalizing;recanalising
recapitalization;recapitalisation
recapitalize;recapitalise
recapitalized;recapitalised
recapitalizes;recapitalises
recapitalizing;recapitalising
recategorization;recategorisation
recategorize;recategorise
recategorized;recategorised
recategorizes;recategorises
recategorizing;recategorising
recognizability;recognisability
recognizable;recognisable
recognizably;recognisably
recognizance;recognisance
recognize;recognise
recognized;recognised
recognizer;recogniser
recognizers;recognisers
recognizes;recognises
recognizing;recognising
recolonization;recolonisation
recolonize;recolonise
recolonized;recolonised
recolonizes;recolonises
recolonizing;recolonising
recolor;recolour
recolored;recoloured
recoloring;recolouring
recolors;recolours
reconceptualize;reconceptualise
reconceptualized;reconceptualised
reconceptualizes;reconceptualises
reconceptualizing;reconceptualising
recontextualize;recontextualise
recontextualized;recontextualised
recontextualizes;recontextualises
recontextualizing;recontextualising
recrystallization;recrystallisation
recrystallize;recrystallise
recrystallized;recrystallised
recrystallizes;recrystallises
recrystallizing;recrystallising
reemploy;re-employ
reemployed;re-employed
reemploying;re-employing
reemploys;re-employs
re-energize;re-energise
re-energized;re-energised
re-energizes;re-energises
re-energizing;re-energising
reenter;re-enter
reentered;re-entered
reentering;re-entering
reenters;re-enters
reestablish;re-establish
reestablished;re-established
reestablishes;re-establishes
reestablishing;re-establishing
reexamine;re-examine
reexamined;re-examined
reexamines;re-examines
reexamining;re-examining
reflection;reflexion
reflections;reflexions
reflectorize;reflectorise
reflectorized;reflectorised
reflectorizes;reflectorises
reflectorizing;reflectorising
refueled;refuelled
refueling;refuelling
regionalization;regionalisation
regionalize;regionalise
regionalized;regionalised
regionalizes;regionalises
regionalizing;regionalising
regularization;regularisation
regularize;regularise
regularized;regularised
regularizes;regularises
regularizing;regularising
rehospitalization;rehospitalisation
rehospitalize;rehospitalise
rehospitalized;rehospitalised
rehospitalizes;rehospitalises
rehospitalizing;rehospitalising
rehumanize;rehumanise
rehumanized;rehumanised
rehumanizes;rehumanises
rehumanizing;rehumanising
reindustrialize;reindustrialise
reindustrialized;reindustrialised
reindustrializes;reindustrialises
reindustrializing;reindustrialising
relabeled;relabelled
relabeling;relabelling
relativize;relativise
relativized;relativised
relativizes;relativises
relativizing;relativising
relearned;relearnt
rematerialize;rematerialise
rematerialized;rematerialised
rematerializes;rematerialises
rematerializing;rematerialising
remilitarization;remilitarisation
remilitarize;remilitarise
remilitarized;remilitarised
remilitarizes;remilitarises
remilitarizing;remilitarising
remineralization;remineralisation
remineralize;remineralise
remineralized;remineralised
remineralizes;remineralises
remineralizing;remineralising
remobilize;remobilise
remobilized;remobilised
remobilizes;remobilises
remobilizing;remobilising
remodeled;remodelled
remodeling;remodelling
remonetize;remonetise
remonetized;remonetised
remonetizes;remonetises
remonetizing;remonetising
renationalization;renationalisation
renationalize;renationalise
renationalized;renationalised
renationalizes;renationalises
renationalizing;renationalising
renormalization;renormalisation
renormalize;renormalise
renormalized;renormalised
renormalizes;renormalises
renormalizing;renormalising
reorganization;reorganisation
reorganizations;reorganisations
reorganize;reorganise
reorganized;reorganised
reorganizer;reorganiser
reorganizers;reorganisers
reorganizes;reorganises
reorganizing;reorganising
reoxidize;reoxidise
reoxidized;reoxidised
reoxidizes;reoxidises
reoxidizing;reoxidising
repolarization;repolarisation
repolarize;repolarise
repolarized;repolarised
repolarizes;repolarises
repolarizing;repolarising
repopularize;repopularise
repopularized;repopularised
repopularizes;repopularises
repopularizing;repopularising
repressurize;repressurise
repressurized;repressurised
repressurizes;repressurises
repressurizing;repressurising
reprivatization;reprivatisation
reprivatize;reprivatise
reprivatized;reprivatised
reprivatizes;reprivatises
reprivatizing;reprivatising
republicanization;republicanisation
republicanize;republicanise
republicanized;republicanised
republicanizes;republicanises
republicanizing;republicanising
resensitize;resensitise
resensitized;resensitised
resensitizes;resensitises
resensitizing;resensitising
resinize;resinise
resinized;resinised
resinizes;resinises
resinizing;resinising
resocialize;resocialise
resocialized;resocialised
resocializes;resocialises
resocializing;resocialising
respectabilize;respectabilise
respectabilized;respectabilised
respectabilizes;respectabilises
respectabilizing;respectabilising
restabilize;restabilise
restabilized;restabilised
restabilizes;restabilises
restabilizing;restabilising
resynthesize;resynthesise
resynthesized;resynthesised
resynthesizes;resynthesises
resynthesizing;resynthesising
retexturize;retexturise
retexturized;retexturised
retexturizes;retexturises
retexturizing;retexturising
reutilize;reutilise
reutilized;reutilised
reutilizes;reutilises
reutilizing;reutilising
revalorize;revalorise
revalorized;revalorised
revalorizes;revalorises
revalorizing;revalorising
revascularization;revascularisation
revisualize;revisualise
revisualized;revisualised
revisualizes;revisualises
revisualizing;revisualising
revitalization;revitalisation
revitalize;revitalise
revitalized;revitalised
revitalizes;revitalises
revitalizing;revitalising
revolutionize;revolutionise
revolutionized;revolutionised
revolutionizes;revolutionises
revolutionizing;revolutionising
rhapsodize;rhapsodise
rhapsodized;rhapsodised
rhapsodizes;rhapsodises
rhapsodizing;rhapsodising
rigor;rigour
rigors;rigours
ritualize;ritualise
ritualized;ritualised
ritualizes;ritualises
ritualizing;ritualising
rivalize;rivalise
rivalized;rivalised
rivalizes;rivalises
rivalizing;rivalising
robotize;robotise
robotized;robotised
robotizes;robotises
robotizing;robotising
romanization;romanisation
romanticization;romanticisation
romanticize;romanticise
romanticized;romanticised
romanticizes;romanticises
romanticizing;romanticising
routinize;routinise
routinized;routinised
routinizes;routinises
routinizing;routinising
rubberize;rubberise
rubberized;rubberised
rubberizes;rubberises
rubberizing;rubberising
ruggedize;ruggedise
ruggedized;ruggedised
ruggedizes;ruggedises
ruggedizing;ruggedising
rumor;rumour
rumors;rumours
rumored;rumoured
Russianize;Russianise
Russianized;Russianised
Russianizes;Russianises
Russianizing;Russianising
rusticize;rusticise
rusticized;rusticised
rusticizes;rusticises
rusticizing;rusticising
sacralize;sacralise
sacralized;sacralised
sacralizes;sacralises
sacralizing;sacralising
salinization;salinisation
salinize;salinise
salinized;salinised
salinizes;salinises
salinizing;salinising
Sanforized;Sanforised
sanitize;sanitise
sanitized;sanitised
sanitizer;sanitiser
sanitizers;sanitisers
sanitizes;sanitises
sanitizing;sanitising
satanize;satanise
satanized;satanised
satanizes;satanises
satanizing;satanising
satinize;satinise
satinized;satinised
satinizes;satinises
satinizing;satinising
satirizable;satirisable
satirize;satirise
satirized;satirised
satirizer;satiriser
satirizers;satirisers
satirizes;satirises
satirizing;satirising
savior;saviour
saviors;saviours
savories;savouries
savory;savoury
scandalization;scandalisation
scandalize;scandalise
scandalized;scandalised
scandalizer;scandaliser
scandalizers;scandalisers
scandalizes;scandalises
scandalizing;scandalising
scenarize;scenarise
scenarized;scenarised
scenarizes;scenarises
scenarizing;scenarising
schematize;schematise
schematized;schematised
schematizes;schematises
schematizing;schematising
schismatize;schismatise
schismatized;schismatised
schismatizes;schismatises
schismatizing;schismatising
sclerotize;sclerotise
sclerotized;sclerotised
sclerotizes;sclerotises
sclerotizing;sclerotising
scrutinize;scrutinise
scrutinized;scrutinised
scrutinizer;scrutiniser
scrutinizers;scrutinisers
scrutinizes;scrutinises
scrutinizing;scrutinising
sectarianize;sectarianise
sectarianized;sectarianised
sectarianizes;sectarianises
sectarianizing;sectarianising
sectionalize;sectionalise
sectionalized;sectionalised
sectionalizes;sectionalises
sectionalizing;sectionalising
sectionize;sectionise
sectionized;sectionised
sectionizes;sectionises
sectionizing;sectionising
secularization;secularisation
secularize;secularise
secularized;secularised
secularizer;seculariser
secularizers;secularisers
secularizes;secularises
secularizing;secularising
securitization;securitisation
securitize;securitise
securitized;securitised
securitizes;securitises
securitizing;securitising
self-centered;self-centred
self-centeredness;self-centredness
self-defense;self-defence
self-defenses;self-defences
self-organize;self-organise
self-organized;self-organised
self-organizes;self-organises
self-organizing;self-organising
self-rising;self-raising
sensationalize;sensationalise
sensationalized;sensationalised
sensationalizes;sensationalises
sensationalizing;sensationalising
sensitization;sensitisation
sensitize;sensitise
sensitized;sensitised
sensitizer;sensitiser
sensitizers;sensitisers
sensitizes;sensitises
sensitizing;sensitising
sentimentalization;sentimentalisation
sentimentalize;sentimentalise
sentimentalized;sentimentalised
sentimentalizes;sentimentalises
sentimentalizing;sentimentalising
septicemia;septicaemia
sepulcher;sepulchre
sepulchered;sepulchred
sepulchering;sepulchring
sepulchers;sepulchres
serializable;serialisable
serialization;serialisation
serializations;serialisations
serialize;serialise
serialized;serialised
serializes;serialises
serializing;serialising
sericitization;sericitisation
sermonize;sermonise
sermonized;sermonised
sermonizes;sermonises
sermonizing;sermonising
serpentinize;serpentinise
serpentinized;serpentinised
serpentinizes;serpentinises
serpentinizing;serpentinising
sexualization;sexualisation
sexualize;sexualise
sexualized;sexualised
sexualizes;sexualises
sexualizing;sexualising
shamanize;shamanise
shamanized;shamanised
shamanizes;shamanises
shamanizing;shamanising
sherardize;sherardise
sherardized;sherardised
sherardizes;sherardises
sherardizing;sherardising
signalization;signalisation
signalize;signalise
signalized;signalised
signalizes;signalises
signalizing;signalising
siliconize;siliconise
siliconized;siliconised
siliconizes;siliconises
siliconizing;siliconising
silverize;silverise
silverized;silverised
silverizes;silverises
silverizing;silverising
simonize;simonise
