# A part-of-speech dictionary that's used additionally to the binary dictionary (*.dict).
# This does not add words to the spell checker, see hunspell/spelling.txt for that.
# File Encoding: UTF-8
# Format: three semicolon-separated fields: fullform;baseform;postags
#from Freeling
#separatorRegExp=;
Ocquerre;Ocquerre;Z e sp
Ocqueville;Ocqueville;Z e sp
Octon;Octon;Z e sp
Odars;Odars;Z e sp
Odenas;Odenas;Z e sp
Oderen;Oderen;Z e sp
Odomez;Odomez;Z e sp
Odos;Odos;Z e sp
Odratzheim;Odratzheim;Z e sp
Oermingen;Oermingen;Z e sp
Oeyregave;Oeyregave;Z e sp
Oeyreluy;Oeyreluy;Z e sp
Offekerque;Offekerque;Z e sp
Offemont;Offemont;Z e sp
Offendorf;Offendorf;Z e sp
Offignies;Offignies;Z e sp
Offin;Offin;Z e sp
Offlanges;Offlanges;Z e sp
Offoy;Offoy;Z e sp
Offranville;Offranville;Z e sp
Offrethun;Offrethun;Z e sp
Offroicourt;Offroicourt;Z e sp
Offwiller;Offwiller;Z e sp
Ogliastro;Ogliastro;Z e sp
Ognes;Ognes;Z e sp
Ognolles;Ognolles;Z e sp
Ognéville;Ognéville;Z e sp
Ogéviller;Ogéviller;Z e sp
Ohain;Ohain;Z e sp
Oherville;Oherville;Z e sp
Ohis;Ohis;Z e sp
Ohlungen;Ohlungen;Z e sp
Ohnenheim;Ohnenheim;Z e sp
Oigney;Oigney;Z e sp
Oignies;Oignies;Z e sp
Oigny;Oigny;Z e sp
Oiry;Oiry;Z e sp
Oisemont;Oisemont;Z e sp
Oisilly;Oisilly;Z e sp
Oisly;Oisly;Z e sp
Oison;Oison;Z e sp
Oisseau;Oisseau;Z e sp
Oissel;Oissel;Z e sp
Oissery;Oissery;Z e sp
Oissy;Oissy;Z e sp
Oisy;Oisy;Z e sp
Oizon;Oizon;Z e sp
Oizé;Oizé;Z e sp
Olargues;Olargues;Z e sp
Olby;Olby;Z e sp
Olcani;Olcani;Z e sp
Olemps;Olemps;Z e sp
Olendon;Olendon;Z e sp
Oletta;Oletta;Z e sp
Olette;Olette;Z e sp
Olivese;Olivese;Z e sp
Olivet;Olivet;Z e sp
Olizy;Olizy;Z e sp
Ollainville;Ollainville;Z e sp
Ollans;Ollans;Z e sp
Olley;Olley;Z e sp
Ollezy;Ollezy;Z e sp
Olliergues;Olliergues;Z e sp
Ollioules;Ollioules;Z e sp
Ollières;Ollières;Z e sp
Olloix;Olloix;Z e sp
Ollé;Ollé;Z e sp
Olmet;Olmet;Z e sp
Olmeto;Olmeto;Z e sp
Olmiccia;Olmiccia;Z e sp
Olmo;Olmo;Z e sp
Olonzac;Olonzac;Z e sp
Oltingue;Oltingue;Z e sp
Olwisheim;Olwisheim;Z e sp
Omblèze;Omblèze;Z e sp
Ombréed'Anjou;Ombréed'Anjou;Z e sp
Omelmont;Omelmont;Z e sp
Omerville;Omerville;Z e sp
Omessa;Omessa;Z e sp
Omet;Omet;Z e sp
Omex;Omex;Z e sp
Omey;Omey;Z e sp
Omicourt;Omicourt;Z e sp
Omissy;Omissy;Z e sp
Ommeray;Ommeray;Z e sp
Ommoy;Ommoy;Z e sp
Omont;Omont;Z e sp
Omonville;Omonville;Z e sp
Omps;Omps;Z e sp
Oms;Oms;Z e sp
Omécourt;Omécourt;Z e sp
Onans;Onans;Z e sp
Onard;Onard;Z e sp
Onay;Onay;Z e sp
Oncieu;Oncieu;Z e sp
Ondes;Ondes;Z e sp
Ondres;Ondres;Z e sp
Oneux;Oneux;Z e sp
Ongles;Ongles;Z e sp
Onglières;Onglières;Z e sp
Onjon;Onjon;Z e sp
Onlay;Onlay;Z e sp
Onnaing;Onnaing;Z e sp
Onnion;Onnion;Z e sp
Onoz;Onoz;Z e sp
Ontex;Ontex;Z e sp
Onville;Onville;Z e sp
Opio;Opio;Z e sp
Oppedette;Oppedette;Z e sp
Oppenans;Oppenans;Z e sp
Oppy;Oppy;Z e sp
Oppède;Oppède;Z e sp
Optevoz;Optevoz;Z e sp
Oradour;Oradour;Z e sp
Orain;Orain;Z e sp
Orainville;Orainville;Z e sp
Oraison;Oraison;Z e sp
Orange;Orange;Z e sp
Oraàs;Oraàs;Z e sp
Orban;Orban;Z e sp
Orbec;Orbec;Z e sp
Orbeil;Orbeil;Z e sp
Orbessan;Orbessan;Z e sp
Orbey;Orbey;Z e sp
Orbigny;Orbigny;Z e sp
Orcemont;Orcemont;Z e sp
Orcenais;Orcenais;Z e sp
Orcet;Orcet;Z e sp
Orcevaux;Orcevaux;Z e sp
Orchamps;Orchamps;Z e sp
Orches;Orches;Z e sp
Orchies;Orchies;Z e sp
Orcier;Orcier;Z e sp
Orcinas;Orcinas;Z e sp
Orcines;Orcines;Z e sp
Orcival;Orcival;Z e sp
Orcières;Orcières;Z e sp
Orconte;Orconte;Z e sp
Ordiarp;Ordiarp;Z e sp
Ordizan;Ordizan;Z e sp
Ordonnac;Ordonnac;Z e sp
Ordonnaz;Ordonnaz;Z e sp
Ore;Ore;Z e sp
Oreilla;Oreilla;Z e sp
Orelle;Orelle;Z e sp
Oresmaux;Oresmaux;Z e sp
Organ;Organ;Z e sp
Orgedeuil;Orgedeuil;Z e sp
Orgeix;Orgeix;Z e sp
Orgelet;Orgelet;Z e sp
Orgerus;Orgerus;Z e sp
Orges;Orges;Z e sp
Orgeux;Orgeux;Z e sp
Orgeval;Orgeval;Z e sp
Orgibet;Orgibet;Z e sp
Orglandes;Orglandes;Z e sp
Orgon;Orgon;Z e sp
Orgueil;Orgueil;Z e sp
Orgères;Orgères;Z e sp
Oricourt;Oricourt;Z e sp
Orieux;Orieux;Z e sp
Orignac;Orignac;Z e sp
Origne;Origne;Z e sp
Orignolles;Orignolles;Z e sp
Origny;Origny;Z e sp
Origné;Origné;Z e sp
Orin;Orin;Z e sp
Orincles;Orincles;Z e sp
Oriocourt;Oriocourt;Z e sp
Oriolles;Oriolles;Z e sp
Orion;Orion;Z e sp
Orist;Orist;Z e sp
Orival;Orival;Z e sp
Orleix;Orleix;Z e sp
Orliac;Orliac;Z e sp
Orliénas;Orliénas;Z e sp
Orlu;Orlu;Z e sp
Orly;Orly;Z e sp
Orléans;Orléans;Z e sp
Orléat;Orléat;Z e sp
Ormancey;Ormancey;Z e sp
Ormenans;Ormenans;Z e sp
Ormersviller;Ormersviller;Z e sp
Ormes;Ormes;Z e sp
Ormesson;Ormesson;Z e sp
Ormoiche;Ormoiche;Z e sp
Ormoy;Ormoy;Z e sp
Ornaisons;Ornaisons;Z e sp
Ornans;Ornans;Z e sp
Ornes;Ornes;Z e sp
Ornex;Ornex;Z e sp
Orniac;Orniac;Z e sp
Ornon;Ornon;Z e sp
Orny;Orny;Z e sp
Ornézan;Ornézan;Z e sp
Oroix;Oroix;Z e sp
Oron;Oron;Z e sp
Oroux;Oroux;Z e sp
Oroër;Oroër;Z e sp
Orphin;Orphin;Z e sp
Orpierre;Orpierre;Z e sp
Orquevaux;Orquevaux;Z e sp
Orret;Orret;Z e sp
Orriule;Orriule;Z e sp
Orrouer;Orrouer;Z e sp
Orrouy;Orrouy;Z e sp
Ors;Ors;Z e sp
Orsan;Orsan;Z e sp
Orsanco;Orsanco;Z e sp
Orsans;Orsans;Z e sp
Orsay;Orsay;Z e sp
Orschwihr;Orschwihr;Z e sp
Orschwiller;Orschwiller;Z e sp
Orsennes;Orsennes;Z e sp
Orsinval;Orsinval;Z e sp
Orsonville;Orsonville;Z e sp
Ortaffa;Ortaffa;Z e sp
Ortale;Ortale;Z e sp
Orthevielle;Orthevielle;Z e sp
Orthez;Orthez;Z e sp
Ortillon;Ortillon;Z e sp
Ortiporio;Ortiporio;Z e sp
Orto;Orto;Z e sp
Ortoncourt;Ortoncourt;Z e sp
Orus;Orus;Z e sp
Orval;Orval;Z e sp
OrvalsurSienne;OrvalsurSienne;Z e sp
Orvault;Orvault;Z e sp
Orve;Orve;Z e sp
Orveau;Orveau;Z e sp
Orville;Orville;Z e sp
Orvilliers;Orvilliers;Z e sp
Orx;Orx;Z e sp
Orçay;Orçay;Z e sp
Orègue;Orègue;Z e sp
Oréed'Anjou;Oréed'Anjou;Z e sp
Osani;Osani;Z e sp
Osches;Osches;Z e sp
Osenbach;Osenbach;Z e sp
Oslon;Oslon;Z e sp
Osmanville;Osmanville;Z e sp
Osmery;Osmery;Z e sp
Osmets;Osmets;Z e sp
Osmoy;Osmoy;Z e sp
Osnes;Osnes;Z e sp
Osny;Osny;Z e sp
Ossages;Ossages;Z e sp
Osse;Osse;Z e sp
Ossen;Ossen;Z e sp
Ossenx;Ossenx;Z e sp
Ossun;Ossun;Z e sp
Ossès;Ossès;Z e sp
Osséja;Osséja;Z e sp
Ostel;Ostel;Z e sp
Ostheim;Ostheim;Z e sp
Osthoffen;Osthoffen;Z e sp
Osthouse;Osthouse;Z e sp
Ostreville;Ostreville;Z e sp
Ostricourt;Ostricourt;Z e sp
Ostwald;Ostwald;Z e sp
Ota;Ota;Z e sp
Othe;Othe;Z e sp
Othis;Othis;Z e sp
Ottange;Ottange;Z e sp
Ottersthal;Ottersthal;Z e sp
Otterswiller;Otterswiller;Z e sp
Ottmarsheim;Ottmarsheim;Z e sp
Ottonville;Ottonville;Z e sp
Ottrott;Ottrott;Z e sp
Ottwiller;Ottwiller;Z e sp
Ouagne;Ouagne;Z e sp
Ouainville;Ouainville;Z e sp
Ouanary;Ouanary;Z e sp
Ouangani;Ouangani;Z e sp
Ouanne;Ouanne;Z e sp
Ouarville;Ouarville;Z e sp
Ouches;Ouches;Z e sp
OucquesLaNouvelle;OucquesLaNouvelle;Z e sp
Oudalle;Oudalle;Z e sp
Oudan;Oudan;Z e sp
Oudeuil;Oudeuil;Z e sp
Oudezeele;Oudezeele;Z e sp
Oudincourt;Oudincourt;Z e sp
Oudon;Oudon;Z e sp
Oudrenne;Oudrenne;Z e sp
Oudry;Oudry;Z e sp
Oueilloux;Oueilloux;Z e sp
Ouerre;Ouerre;Z e sp
Ouessant;Ouessant;Z e sp
Ouffières;Ouffières;Z e sp
Ouge;Ouge;Z e sp
Ouges;Ouges;Z e sp
Ougney;Ougney;Z e sp
Ougny;Ougny;Z e sp
Ouhans;Ouhans;Z e sp
Ouides;Ouides;Z e sp
Ouillon;Ouillon;Z e sp
Ouistreham;Ouistreham;Z e sp
Oulches;Oulches;Z e sp
Oulins;Oulins;Z e sp
Oulles;Oulles;Z e sp
Oullins;Oullins;Z e sp
Oulon;Oulon;Z e sp
Ounans;Ounans;Z e sp
Oupia;Oupia;Z e sp
Our;Our;Z e sp
Ourches;Ourches;Z e sp
Ourde;Ourde;Z e sp
Ourdon;Ourdon;Z e sp
Oursbelille;Oursbelille;Z e sp
Ourton;Ourton;Z e sp
Ousse;Ousse;Z e sp
Oussières;Oussières;Z e sp
Oust;Oust;Z e sp
Ousté;Ousté;Z e sp
Outarville;Outarville;Z e sp
Outines;Outines;Z e sp
Outreau;Outreau;Z e sp
Outrebois;Outrebois;Z e sp
Outremécourt;Outremécourt;Z e sp
Outrepont;Outrepont;Z e sp
Outriaz;Outriaz;Z e sp
Ouvans;Ouvans;Z e sp
Ouveillan;Ouveillan;Z e sp
Ouville;Ouville;Z e sp
Ouzilly;Ouzilly;Z e sp
Ouzous;Ouzous;Z e sp
Ouézy;Ouézy;Z e sp
Ovanches;Ovanches;Z e sp
Oxelaëre;Oxelaëre;Z e sp
Oyes;Oyes;Z e sp
Oyeu;Oyeu;Z e sp
Oyonnax;Oyonnax;Z e sp
Oyrières;Oyrières;Z e sp
Oyré;Oyré;Z e sp
Oysonville;Oysonville;Z e sp
Oyé;Oyé;Z e sp
Oz;Oz;Z e sp
Ozan;Ozan;Z e sp
Oze;Oze;Z e sp
Ozenay;Ozenay;Z e sp
Ozerailles;Ozerailles;Z e sp
Ozeville;Ozeville;Z e sp
Ozillac;Ozillac;Z e sp
Ozières;Ozières;Z e sp
Ozolles;Ozolles;Z e sp
Ozon;Ozon;Z e sp
Ozourt;Ozourt;Z e sp
Oëlleville;Oëlleville;Z e sp
Oô;Oô;Z e sp
Paars;Paars;Z e sp
Pabu;Pabu;Z e sp
Pact;Pact;Z e sp
Pacé;Pacé;Z e sp
Padern;Padern;Z e sp
Padirac;Padirac;Z e sp
Padiès;Padiès;Z e sp
Padoux;Padoux;Z e sp
Pageas;Pageas;Z e sp
Pagney;Pagney;Z e sp
Pagnoz;Pagnoz;Z e sp
Pagolle;Pagolle;Z e sp
Pailhac;Pailhac;Z e sp
Pailharès;Pailharès;Z e sp
Pailherols;Pailherols;Z e sp
Pailhès;Pailhès;Z e sp
Paillart;Paillart;Z e sp
Paillencourt;Paillencourt;Z e sp
Paillet;Paillet;Z e sp
Pailloles;Pailloles;Z e sp
Pailly;Pailly;Z e sp
Paillé;Paillé;Z e sp
Paimbœuf;Paimbœuf;Z e sp
Paimpol;Paimpol;Z e sp
Paimpont;Paimpont;Z e sp
Painblanc;Painblanc;Z e sp
Paissy;Paissy;Z e sp
Pajay;Pajay;Z e sp
Palairac;Palairac;Z e sp
Palaiseau;Palaiseau;Z e sp
Palaiseul;Palaiseul;Z e sp
Palaja;Palaja;Z e sp
Palaminy;Palaminy;Z e sp
Palante;Palante;Z e sp
Palantine;Palantine;Z e sp
Palasca;Palasca;Z e sp
Palazinges;Palazinges;Z e sp
Paley;Paley;Z e sp
Palhers;Palhers;Z e sp
Palinges;Palinges;Z e sp
Palise;Palise;Z e sp
Palisse;Palisse;Z e sp
Palladuc;Palladuc;Z e sp
Pallanne;Pallanne;Z e sp
Palleau;Palleau;Z e sp
Pallegney;Pallegney;Z e sp
Palleville;Palleville;Z e sp
Palluau;Palluau;Z e sp
Palluaud;Palluaud;Z e sp
Pallud;Pallud;Z e sp
Palluel;Palluel;Z e sp
Palmasd'Aveyron;Palmasd'Aveyron;Z e sp
Palneca;Palneca;Z e sp
Palogneux;Palogneux;Z e sp
Paluel;Paluel;Z e sp
Pamandzi;Pamandzi;Z e sp
Pamfou;Pamfou;Z e sp
Pamiers;Pamiers;Z e sp
Pampelonne;Pampelonne;Z e sp
Pamplie;Pamplie;Z e sp
Pamproux;Pamproux;Z e sp
Panassac;Panassac;Z e sp
Panazol;Panazol;Z e sp
Pancheraccia;Pancheraccia;Z e sp
Pancé;Pancé;Z e sp
Pandrignes;Pandrignes;Z e sp
Pange;Pange;Z e sp
Panges;Panges;Z e sp
Panissières;Panissières;Z e sp
Panjas;Panjas;Z e sp
Pannecières;Pannecières;Z e sp
Pannecé;Pannecé;Z e sp
Pannes;Pannes;Z e sp
Pannessières;Pannessières;Z e sp
Panon;Panon;Z e sp
Panossas;Panossas;Z e sp
Pansey;Pansey;Z e sp
Pantin;Pantin;Z e sp
Panzoult;Panzoult;Z e sp
Papaichton;Papaichton;Z e sp
Papleux;Papleux;Z e sp
Paradou;Paradou;Z e sp
Parassy;Parassy;Z e sp
Parata;Parata;Z e sp
Paraza;Paraza;Z e sp
Parbayse;Parbayse;Z e sp
Parcey;Parcey;Z e sp
Parcieux;Parcieux;Z e sp
Parcé;Parcé;Z e sp
Pardailhan;Pardailhan;Z e sp
Pardaillan;Pardaillan;Z e sp
Pardies;Pardies;Z e sp
Pardines;Pardines;Z e sp
Pareid;Pareid;Z e sp
Parempuyre;Parempuyre;Z e sp
Parennes;Parennes;Z e sp
Parent;Parent;Z e sp
Parentignat;Parentignat;Z e sp
Parenty;Parenty;Z e sp
Parfondeval;Parfondeval;Z e sp
Parfondru;Parfondru;Z e sp
Parfondrupt;Parfondrupt;Z e sp
Pargnan;Pargnan;Z e sp
Pargny;Pargny;Z e sp
Pargues;Pargues;Z e sp
Parignargues;Parignargues;Z e sp
Parigny;Parigny;Z e sp
Parigné;Parigné;Z e sp
Paris;Paris;Z e sp
Parisot;Parisot;Z e sp
Parlan;Parlan;Z e sp
Parleboscq;Parleboscq;Z e sp
Parly;Parly;Z e sp
Parmain;Parmain;Z e sp
Parmilieu;Parmilieu;Z e sp
Parnac;Parnac;Z e sp
Parnans;Parnans;Z e sp
Parnay;Parnay;Z e sp
Parnes;Parnes;Z e sp
Paron;Paron;Z e sp
Paroy;Paroy;Z e sp
Parpeville;Parpeville;Z e sp
Parranquet;Parranquet;Z e sp
Parroy;Parroy;Z e sp
Parthenay;Parthenay;Z e sp
Partinello;Partinello;Z e sp
Parux;Parux;Z e sp
ParvesetNattages;ParvesetNattages;Z e sp
Parville;Parville;Z e sp
Parzac;Parzac;Z e sp
Paréac;Paréac;Z e sp
Pasilly;Pasilly;Z e sp
Paslières;Paslières;Z e sp
Pasly;Pasly;Z e sp
Pasques;Pasques;Z e sp
Passa;Passa;Z e sp
PassaisVillages;PassaisVillages;Z e sp
Passavant;Passavant;Z e sp
Passel;Passel;Z e sp
Passenans;Passenans;Z e sp
Passirac;Passirac;Z e sp
Passonfontaine;Passonfontaine;Z e sp
Passy;Passy;Z e sp
Pastricciola;Pastricciola;Z e sp
Patay;Patay;Z e sp
Patornay;Patornay;Z e sp
Patrimonio;Patrimonio;Z e sp
Pau;Pau;Z e sp
Paucourt;Paucourt;Z e sp
Paudy;Paudy;Z e sp
Pauilhac;Pauilhac;Z e sp
Pauillac;Pauillac;Z e sp
Paule;Paule;Z e sp
Paulhac;Paulhac;Z e sp
Paulhaguet;Paulhaguet;Z e sp
Paulhan;Paulhan;Z e sp
Paulhe;Paulhe;Z e sp
Paulhenc;Paulhenc;Z e sp
Paulhiac;Paulhiac;Z e sp
Pauligne;Pauligne;Z e sp
Paulin;Paulin;Z e sp
Paulinet;Paulinet;Z e sp
Paulmy;Paulmy;Z e sp
Paulnay;Paulnay;Z e sp
Paulx;Paulx;Z e sp
Paunat;Paunat;Z e sp
Pauvres;Pauvres;Z e sp
Pavant;Pavant;Z e sp
Pavezin;Pavezin;Z e sp
Pavie;Pavie;Z e sp
Pavilly;Pavilly;Z e sp
Payns;Payns;Z e sp
Payrac;Payrac;Z e sp
Payrignac;Payrignac;Z e sp
Payroux;Payroux;Z e sp
PaysdeBelvès;PaysdeBelvès;Z e sp
Payssous;Payssous;Z e sp
Payzac;Payzac;Z e sp
Pazayac;Pazayac;Z e sp
Paziols;Paziols;Z e sp
Pazy;Pazy;Z e sp
Peaugres;Peaugres;Z e sp
Pech;Pech;Z e sp
Pechbonnieu;Pechbonnieu;Z e sp
Pechbusque;Pechbusque;Z e sp
Pecquencourt;Pecquencourt;Z e sp
Pecqueuse;Pecqueuse;Z e sp
Peigney;Peigney;Z e sp
Peillac;Peillac;Z e sp
Peille;Peille;Z e sp
Peillon;Peillon;Z e sp
Peillonnex;Peillonnex;Z e sp
Peintre;Peintre;Z e sp
Peipin;Peipin;Z e sp
Pellafol;Pellafol;Z e sp
Pelleautier;Pelleautier;Z e sp
Pellefigue;Pellefigue;Z e sp
Pellegrue;Pellegrue;Z e sp
Pelleport;Pelleport;Z e sp
Pellerey;Pellerey;Z e sp
Pellevoisin;Pellevoisin;Z e sp
Pelonne;Pelonne;Z e sp
Pelouse;Pelouse;Z e sp
Pelousey;Pelousey;Z e sp
Peltre;Peltre;Z e sp
Pelves;Pelves;Z e sp
Penchard;Penchard;Z e sp
Pencran;Pencran;Z e sp
Pendé;Pendé;Z e sp
Penguily;Penguily;Z e sp
Penin;Penin;Z e sp
Penmarch;Penmarch;Z e sp
Pennautier;Pennautier;Z e sp
Penne;Penne;Z e sp
Pennedepie;Pennedepie;Z e sp
Pennesières;Pennesières;Z e sp
Penol;Penol;Z e sp
Pensol;Pensol;Z e sp
Penvénan;Penvénan;Z e sp
Peray;Peray;Z e sp
Perceneige;Perceneige;Z e sp
Percey;Percey;Z e sp
PercheenNocé;PercheenNocé;Z e sp
Perchède;Perchède;Z e sp
Percy;Percy;Z e sp
Perdreauville;Perdreauville;Z e sp
Perelli;Perelli;Z e sp
Peri;Peri;Z e sp
Pern;Pern;Z e sp
Pernant;Pernant;Z e sp
Pernay;Pernay;Z e sp
Pernes;Pernes;Z e sp
Pernois;Pernois;Z e sp
Perpezat;Perpezat;Z e sp
Perpignan;Perpignan;Z e sp
Perquie;Perquie;Z e sp
Perreuil;Perreuil;Z e sp
Perreux;Perreux;Z e sp
Perrex;Perrex;Z e sp
Perrier;Perrier;Z e sp
Perrignier;Perrignier;Z e sp
Perrigny;Perrigny;Z e sp
Perrières;Perrières;Z e sp
Perrou;Perrou;Z e sp
Perrouse;Perrouse;Z e sp
Perroy;Perroy;Z e sp
Perruel;Perruel;Z e sp
Perrusse;Perrusse;Z e sp
Perrusson;Perrusson;Z e sp
Pers;Pers;Z e sp
Persac;Persac;Z e sp
Persan;Persan;Z e sp
Persquen;Persquen;Z e sp
Perthes;Perthes;Z e sp
Pertuis;Pertuis;Z e sp
Pervenchères;Pervenchères;Z e sp
Perville;Perville;Z e sp
Pescadoires;Pescadoires;Z e sp
Peschadoires;Peschadoires;Z e sp
Peseux;Peseux;Z e sp
Peslières;Peslières;Z e sp
Pesmes;Pesmes;Z e sp
Pessac;Pessac;Z e sp
Pessan;Pessan;Z e sp
Pessans;Pessans;Z e sp
Pessines;Pessines;Z e sp
Pessoulens;Pessoulens;Z e sp
Petersbach;Petersbach;Z e sp
Petitefontaine;Petitefontaine;Z e sp
Petitmagny;Petitmagny;Z e sp
Petitmont;Petitmont;Z e sp
Petiville;Petiville;Z e sp
Petosse;Petosse;Z e sp
Pettoncourt;Pettoncourt;Z e sp
Pettonville;Pettonville;Z e sp
Peujard;Peujard;Z e sp
Peumerit;Peumerit;Z e sp
Peuplingues;Peuplingues;Z e sp
Peuton;Peuton;Z e sp
Peuvillers;Peuvillers;Z e sp
Pexiora;Pexiora;Z e sp
Pexonne;Pexonne;Z e sp
Pey;Pey;Z e sp
Peymeinade;Peymeinade;Z e sp
Peynier;Peynier;Z e sp
Peypin;Peypin;Z e sp
Peyrabout;Peyrabout;Z e sp
Peyraube;Peyraube;Z e sp
Peyraud;Peyraud;Z e sp
Peyre;Peyre;Z e sp
PeyreenAubrac;PeyreenAubrac;Z e sp
Peyrecave;Peyrecave;Z e sp
Peyregoux;Peyregoux;Z e sp
Peyrehorade;Peyrehorade;Z e sp
Peyreleau;Peyreleau;Z e sp
Peyrelevade;Peyrelevade;Z e sp
Peyremale;Peyremale;Z e sp
Peyrens;Peyrens;Z e sp
Peyrestortes;Peyrestortes;Z e sp
Peyriat;Peyriat;Z e sp
Peyrieu;Peyrieu;Z e sp
Peyrignac;Peyrignac;Z e sp
Peyriguère;Peyriguère;Z e sp
Peyrilhac;Peyrilhac;Z e sp
Peyrilles;Peyrilles;Z e sp
Peyrins;Peyrins;Z e sp
Peyrissac;Peyrissac;Z e sp
Peyrissas;Peyrissas;Z e sp
Peyrière;Peyrière;Z e sp
Peyrole;Peyrole;Z e sp
Peyrolles;Peyrolles;Z e sp
Peyroules;Peyroules;Z e sp
Peyrouse;Peyrouse;Z e sp
Peyrouzet;Peyrouzet;Z e sp
Peyruis;Peyruis;Z e sp
Peyrun;Peyrun;Z e sp
Peyrus;Peyrus;Z e sp
Peyrusse;Peyrusse;Z e sp
Peyssies;Peyssies;Z e sp
Pezens;Pezens;Z e sp
Pezou;Pezou;Z e sp
Pezuls;Pezuls;Z e sp
Pfaffenheim;Pfaffenheim;Z e sp
Pfalzweyer;Pfalzweyer;Z e sp
Pfastatt;Pfastatt;Z e sp
Pfetterhouse;Pfetterhouse;Z e sp
Pfulgriesheim;Pfulgriesheim;Z e sp
Phaffans;Phaffans;Z e sp
Phalempin;Phalempin;Z e sp
Phalsbourg;Phalsbourg;Z e sp
Philippsbourg;Philippsbourg;Z e sp
Philondenx;Philondenx;Z e sp
Phlin;Phlin;Z e sp
Pia;Pia;Z e sp
Piacé;Piacé;Z e sp
Piana;Piana;Z e sp
Pianello;Pianello;Z e sp
Piano;Piano;Z e sp
Piazzali;Piazzali;Z e sp
Piazzole;Piazzole;Z e sp
Piblange;Piblange;Z e sp
Pibrac;Pibrac;Z e sp
Picarreau;Picarreau;Z e sp
Picauville;Picauville;Z e sp
Pichanges;Pichanges;Z e sp
Picherande;Picherande;Z e sp
Picquigny;Picquigny;Z e sp
Piedicroce;Piedicroce;Z e sp
Piedigriggio;Piedigriggio;Z e sp
Piedipartino;Piedipartino;Z e sp
Piencourt;Piencourt;Z e sp
Piennes;Piennes;Z e sp
Pierlas;Pierlas;Z e sp
Pierreclos;Pierreclos;Z e sp
Pierrecourt;Pierrecourt;Z e sp
Pierrefeu;Pierrefeu;Z e sp
Pierrefiche;Pierrefiche;Z e sp
Pierrefiques;Pierrefiques;Z e sp
Pierrefitte;Pierrefitte;Z e sp
Pierrefonds;Pierrefonds;Z e sp
Pierrefort;Pierrefort;Z e sp
Pierregot;Pierregot;Z e sp
Pierrelatte;Pierrelatte;Z e sp
Pierrelaye;Pierrelaye;Z e sp
Pierrelongue;Pierrelongue;Z e sp
Pierremande;Pierremande;Z e sp
Pierremont;Pierremont;Z e sp
Pierrepont;Pierrepont;Z e sp
Pierrerue;Pierrerue;Z e sp
Pierres;Pierres;Z e sp
Pierreval;Pierreval;Z e sp
Pierrevert;Pierrevert;Z e sp
Pierreville;Pierreville;Z e sp
Pierrevillers;Pierrevillers;Z e sp
Pierric;Pierric;Z e sp
Pierry;Pierry;Z e sp
Pietracorbara;Pietracorbara;Z e sp
Pietralba;Pietralba;Z e sp
Pietraserena;Pietraserena;Z e sp
Pietricaggio;Pietricaggio;Z e sp
Pietrosella;Pietrosella;Z e sp
Pietroso;Pietroso;Z e sp
Pieusse;Pieusse;Z e sp
Piffonds;Piffonds;Z e sp
Pigna;Pigna;Z e sp
Pignan;Pignan;Z e sp
Pignans;Pignans;Z e sp
Pignicourt;Pignicourt;Z e sp
Pignols;Pignols;Z e sp
Pigny;Pigny;Z e sp
Pihem;Pihem;Z e sp
Pillac;Pillac;Z e sp
Pillemoine;Pillemoine;Z e sp
Pillon;Pillon;Z e sp
Pimbo;Pimbo;Z e sp
Pimelles;Pimelles;Z e sp
Pimorin;Pimorin;Z e sp
Pimprez;Pimprez;Z e sp
Pin;Pin;Z e sp
Pinas;Pinas;Z e sp
Pinay;Pinay;Z e sp
Pincé;Pincé;Z e sp
Pindray;Pindray;Z e sp
Pindères;Pindères;Z e sp
Pinet;Pinet;Z e sp
Pineuilh;Pineuilh;Z e sp
Piney;Piney;Z e sp
Pino;Pino;Z e sp
Pinols;Pinols;Z e sp
Pinon;Pinon;Z e sp
Pinsac;Pinsac;Z e sp
Pinsaguel;Pinsaguel;Z e sp
Pintac;Pintac;Z e sp
Pinterville;Pinterville;Z e sp
Pintheville;Pintheville;Z e sp
Piobetta;Piobetta;Z e sp
Pioggiola;Pioggiola;Z e sp
Piolenc;Piolenc;Z e sp
Pionnat;Pionnat;Z e sp
Pionsat;Pionsat;Z e sp
Pipriac;Pipriac;Z e sp
Piquecos;Piquecos;Z e sp
Pirajoux;Pirajoux;Z e sp
Pirey;Pirey;Z e sp
Pirmil;Pirmil;Z e sp
Pirou;Pirou;Z e sp
Pis;Pis;Z e sp
Pisany;Pisany;Z e sp
Piscop;Piscop;Z e sp
Piseux;Piseux;Z e sp
Pisieu;Pisieu;Z e sp
Pisseleu;Pisseleu;Z e sp
Pisseloup;Pisseloup;Z e sp
Pissos;Pissos;Z e sp
Pissotte;Pissotte;Z e sp
Pissy;Pissy;Z e sp
Pisy;Pisy;Z e sp
Pitgam;Pitgam;Z e sp
Pithiviers;Pithiviers;Z e sp
Pithon;Pithon;Z e sp
Pittefaux;Pittefaux;Z e sp
Pizay;Pizay;Z e sp
Pizieux;Pizieux;Z e sp
Piève;Piève;Z e sp
Piégon;Piégon;Z e sp
Piégut;Piégut;Z e sp
Plabennec;Plabennec;Z e sp
Placey;Placey;Z e sp
Placé;Placé;Z e sp
Plagne;Plagne;Z e sp
Plagnole;Plagnole;Z e sp
